"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-04-05 14:25:43-03","UNESC","CRI","13891","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","parahybunense","Campylocentrum parahybunense","(Barb.Rodr.) Rolfe","Alexandre Medeiros","2018","02","04","Alexandre Medeiros","892","2018","02","04","Brasil","Santa Catarina","Balneário Camboriú","Barra APA Costa Brava","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Flores brancas Habitat: Epífita Habito: Herbácea","CRI012502","CRI012502",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","418481","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","parahybunense","Campylocentrum parahybunense","(Barb.Rodr.) Rolfe","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","5615","1921","06","08","Brazil","São Paulo","Sao Paulo","Bosque da Saude, Sao Paulo","-46.622763","-23.61166",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418481","NY00418481_01","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA
"3","2020-11-04 12:17:23-03","ESALQ","ESA","101895","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","parahybunense","Campylocentrum parahybunense",NA,"Breier, W.",NA,NA,NA,"Braidotti, J.C.","60.0","2005","03","25","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,"ESA101895",NA,"Magnoliophyta",NA,NA,NA,"38804","auto",NA,NA,NA
"4","2020-11-04 12:17:23-03","ESALQ","ESA","101894","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","parahybunense","Campylocentrum parahybunense",NA,NA,NA,NA,NA,"Carboni, M.","57.0","2005","03","22","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,"ESA101894",NA,"Magnoliophyta",NA,NA,NA,"38804","auto",NA,NA,NA
"5","2020-11-04 12:17:23-03","ESALQ","ESA","101896","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","parahybunense","Campylocentrum parahybunense",NA,"Forster, W.","2005",NA,NA,"Destefani, A.C.C.","109.0","2005","03","24","Brasil","São Paulo","Barra do Turvo",NA,"-48.5046997070312","-24.7563991546631",NA,NA,NA,"ESA101896",NA,"Magnoliophyta",NA,NA,NA,"38172","auto",NA,NA,NA
"6","2019-08-27 13:26:31-03","IAP","PACA-AGP","42936","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","parahybunense","Campylocentrum parahybunense","Rodr.","Pabst","1954","09","03","Rambo, B.",NA,"1949","08","12","Brasil","RS","Novo Hamburgo","Schwabenschneis","-51.1305999755859","-29.6783008575439",NA,NA,"Habitat: In silva primaeva ad arbores Fenofase: fruto deciso","PACA042936",NA,"Magnoliophyta","Orchidales",NA,NA,"20722","auto","Liliatae",NA,NA
"7","2019-08-27 13:26:31-03","IAP","PACA-AGP","1695","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","parahybunense","Campylocentrum parahybunense","Rodr.","Pabst","1954","09","03","C. Orth SJ",NA,"1934","09","13","Brasil","RS","São Leopoldo","Dois Irmãos","-51.1472015380859","-29.7602996826172",NA,NA,"Habitat: In silva Fenofase: flor Hábito: epífito","PACA001695",NA,"Magnoliophyta","Orchidales",NA,NA,"10287","auto","Liliatae",NA,NA
"8","2019-08-27 13:26:31-03","IAP","PACA-AGP","93546","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","cf. parahybunense","Campylocentrum cf. parahybunense","(Barb. Rodr.) Rolfe","V. F. Nunes","1991","10","22","C. Steffen",NA,"1988","10","10","Brasil","RS","Sapiranga","Picada Verão","-51.0069007873535","-29.6380996704102",NA,NA,"HASU 144. Habitat: Higrófita, luz difusa. Hábito: epífita","PACA093546",NA,"Magnoliophyta","Orchidales",NA,NA,"11711","auto","Liliatae",NA,NA
"9","2019-08-27 13:26:31-03","IAP","PACA-AGP","26462","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","parahybunense","Campylocentrum parahybunense","Rodr.","Pabst","1954","09","03","Henz, E.",NA,"1944",NA,NA,"Brasil","RS","Montenegro","Pareci","-51.4611015319824","-29.6886005401611",NA,NA,"Habitat: In silva Fenofase: flor Hábito: epífito","PACA026462",NA,"Magnoliophyta","Orchidales",NA,NA,"21601","auto","Liliatae",NA,NA
"10","2019-11-21 14:40:39-03","UFJF","CESJ","60719","PreservedSpecimen","Plantae","Orchidaceae","Campylocentrum","parahybunense","Campylocentrum parahybunense","(Barb.Rodr.) Rolfe","L. Menini Neto","2011","07","16","D.E.F. Barbosa; L. Menini Neto; F.R. Silva","13","2011","07","16","Brasil","Minas Gerais","Chácara","Fazenda Fortaleza de Santana, Interior de Floresta Estacional Semidecidual, próximo ao curso d'água.","-43.182222","-21.655833","-43.182222","-21.655833","Interior de floresta, próximo ao curso d'água. Epífita, fruto imaturo verde.","CESJ060719",NA,"Angiosperma",NA,"América do Sul",NA,NA,NA,NA,"750","800"
