"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","county","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","year","month","day","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:43:57-03","E","E","324612","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Hassler, E.","12302","E. Tropical South America","PY","Central","Ypacaray","herbarium specimen of unspecif","BGBASE:337911","<a href=http://data.rbge.org.uk/herb/E00324612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00324612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:57-03","E","E","247213","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Meyer, T.","3924","Temperate South America","AR","Provincia de Tucumán",NA,"herbarium specimen of unspecif","BGBASE:266681","<a href=http://data.rbge.org.uk/herb/E00247213 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247213","430","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02429054","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","G. T. Prance","26179","South America","Brazil","Mato Grosso",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2649380' target='other'> <mi>dwc_moreinfo</mi></a>","NY02429054",NA,NA,"Magnoliophyta","Rosales","(J.Poiss.) Taub.","1979","06","13","Road to Santa Isabel from Jofre.","-56.92","-17.12","NY02429054_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01021580","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","G. T. Prance","s.n.","South America","Brazil","Mato Grosso",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103732' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021580",NA,NA,"Magnoliophyta","Rosales","(J.Poiss.) Taub.","1979","06",NA,"Pantanal, Rio Paraguai. Fazenda Acurizal. Plot B","-57.53","-17.87","NY01021580_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01021581","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","G. T. Prance","s.n.","South America","Brazil","Mato Grosso",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103733' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021581",NA,NA,"Magnoliophyta","Rosales","(J.Poiss.) Taub.","1979","06",NA,"Pantanal, Rio Paraguai. Fazenda Acurizal. Plot B","-57.53","-17.87","NY01021581_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01021579","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","G. T. Prance","s.n.","South America","Brazil","Mato Grosso",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103726' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021579",NA,NA,"Magnoliophyta","Rosales","(J.Poiss.) Taub.","1979","06",NA,"Pantanal, Rio Paraguai. Fazenda Acurizal. Plot B","-57.53","-17.87","NY01021579_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01021582","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","G. T. Prance","s.n.","South America","Brazil","Mato Grosso",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103734' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021582",NA,NA,"Magnoliophyta","Rosales","(J.Poiss.) Taub.","1979","06",NA,"Pantanal, Rio Paraguai. Fazenda Acurizal. Plot B","-57.53","-17.87","NY01021582_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:50:07-03","EAO","IAN","92817","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Meyes, T","3924","Southern America","Argentina","Tucuman",NA,NA,NA,NA,"IAN092817",NA,NA,"Dicotiledônea",NA,"(Poiss.) Aubl.","1941","10",NA,"Common name Palo Blancoo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-26 18:09:56-03","CPAN-UFMS","COR","5431","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Bezerra, M. A. O.","31",NA,"Brasil","Mato Grosso do Sul","Ladário",NA,NA,"Árvore Habito: Árvore",NA,"85","85",NA,NA,"(Poiss.) Taub.","1996","11","14","Morro Ladário","-57.6016998291016","-19.0046997070312",NA,"Damasceno, G.","23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:26:38-03","NBC","NL-BOTANY","L.1581496","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Hassler E",NA,"Southern America","Paraguay",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1581496 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1581496",NA,NA,NA,"Rosales","(Poiss.) Taub.","1913","09","01","Paraguaria Centralis: In regione lacus Ypacaray.",NA,NA,"NL-L1581496",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
