"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","669634","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp","S. D. Knapp","G. G. Hatschbach","23909","1970","02","25","South America","Brazil","Paraná","Morretes","Serra Marumbi.","-48.8342","-25.4769","800","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669634","NY00669634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","172002","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp",NA,"P. I. Oliveira","285","1981",NA,NA,"South America","Brazil","Paraná",NA,"Est. Marumbi (mun. Morretes)","-48.918884","-25.439421",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00172002","NY00172002_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","781562","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp","S. D. Knapp","O. dos S. Ribas","1355","1996","03","10","South America","Brazil","Paraná","Guaratuba","Alto da Serra, Rio Itararé.","-48.5744","-25.8831",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781562","NY00781562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00828980","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp","S. D. Knapp","J. C. Lindeman","5833","1967","08","02","South America","Brazil","Paraná",NA,"On slope of Pico de Garatuva, Serro do Mar.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00828980","NY00828980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","669635","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp","L. A. Mentz","O. dos S. Ribas","1355","1996","03","10","South America","Brazil","Paraná","Guaratuba","Alto da serra, rio Itararé.","-48.5744","-25.8831",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669635","NY00669635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00825335","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp","S. D. Knapp","J. G. Jardim","3165","2000","11","03","South America","Brazil","Bahia","Ribeirao do Largo","Rod. Itambé/Encruzilhada, entrada para fazendas de café 22.3 km. Regiã do Tomba","-40.75111111","-15.3283333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=923799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00825335","NY00825335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1085522","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp",NA,"P. I. Oliveira","285","1981","02","11","South America","Brazil","Paraná","Morretes","Estaçao Marumbi","-48.918884","-25.439421",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1234927' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085522","NY01085522_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-02-10 11:46:21-02","BM","SOLANACEAE_SOURCE_BR","26018","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp","Knapp, S.","Colombo, L.R.; et al","s.n.","1994","06","15","Southern America","Brazil","Paraná",NA,"Sertanópolis, Fazenda Ferraz.",NA,NA,NA,NA,NA,"Arbusto 1.70 m alt.; flores brancas, frutos verdes.; Interior da mata.","BM000935398",NA,NA,"Dicotyledoneae","1998","01","01",NA,NA,NA,NA,NA
"9","2015-02-10 11:46:21-02","BM","SOLANACEAE_SOURCE_BR","26020","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp","Knapp, S.","Hatschbach, G.","24053","1970","03","24","Southern America","Brazil","Paraná","Bocaiúva do Sul","Sesmaria, Rio Capivari, ao oeste.","-49.115","-25.2061",NA,NA,NA,"Arbusto 1.70 m, flor alva.; Interior úmido da mata pluvial sombria.","BM000935400",NA,NA,"Dicotyledoneae","1993","01","01","61623","auto",NA,NA,NA
"10","2015-02-10 11:46:21-02","BM","SOLANACEAE_SOURCE_BR","26019","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","gertii","Solanum gertii","S.Knapp","Knapp, S.","Nishimura, J.K.; et al","s.n.","1993","10","06","Southern America","Brazil","Paraná",NA,"Londrina, Parque Arthur Thomas.",NA,NA,NA,NA,NA,"Árvore 3.0 m alt.; flores brancas e frutos verdes imaturos.; Beira do caminho.","BM000935399",NA,NA,"Dicotyledoneae","1998","01","01",NA,NA,NA,NA,NA
