"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:17-03","E","E","184934","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","verbascifolia","Byrsonima verbascifolia","Ratter, J.A.; Sanaiotti, T.M.","1993","11","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:191814","<a href=http://data.rbge.org.uk/herb/E00184934 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00184934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00893835","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","subterranea","Byrsonima subterranea","E. P. Heringer","1980","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893835","Magnoliophyta","Malpighiales","Brade & Markgr.","E. P. Heringer","17876","Goiás","Luziânia","Margem do Rio Vermelho.","-47.9503","-16.2528","NY00893835_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00909323","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","subterranea","Byrsonima subterranea","E. P. Heringer","1979","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909323","Magnoliophyta","Malpighiales","Brade & Markgr.","M. C. H. Mamede","2103","Distrito Federal","Brasília","Região do São Bartolomeu.","-47.9294","-15.7797","NY00909323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02282404","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","subterranea","Byrsonima subterranea","H. S. Irwin","1970","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244331' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282404","Magnoliophyta","Malpighiales","Brade & Markgr.","E. P. Queiroz","25004","Goiás","Catalão","Contraforte Central, ca. 25 km N.E. of Catalão","-47.78292","-18.00698",NA,"875","875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00893834","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","subterranea","Byrsonima subterranea","E. P. Heringer","1980","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893834","Magnoliophyta","Malpighiales","Brade & Markgr.","T. de S. Filgueiras","5662","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","NY00893834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00909325","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","subterranea","Byrsonima subterranea","E. P. Heringer","1979","10","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909325","Magnoliophyta","Malpighiales","Brade & Markgr.","M. C. H. Mamede","2207","Distrito Federal","Brasília","Região do Rio São Bartolomeu.","-47.9294","-15.7797","NY00909325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02282401","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","subterranea","Byrsonima subterranea","H. S. Irwin","1972","01","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244323' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282401","Magnoliophyta","Malpighiales","Brade & Markgr.","E. P. Queiroz","34004","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 21 km E. of Pirenópolis.","-48.75395","-15.85",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02282487","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","subterranea","Byrsonima subterranea","H. S. Irwin","1968","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244318' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282487","Magnoliophyta","Malpighiales","Brade & Markgr.","E. P. Queiroz","19227","Goiás","Cocalzinho de Goiás","20 km N.W. of Corumbá de Goiás, near Pico dos Pirineus. Serra dos Pirineus.","-48.95","-15.88","NY02282487_01","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02282488","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","subterranea","Byrsonima subterranea","H. S. Irwin","1968","01","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244319' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282488","Magnoliophyta","Malpighiales","Brade & Markgr.","E. P. Queiroz","19396","Goiás","Cocalzinho de Goiás","Pico dos Pirineus, ca. 20 km N.W. of Corumbá de Goiás, near road to Niquelândia.","-48.95","-15.88","NY02282488_01","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 13:32:00-03","NY","NYBG","475583","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","verbascifolia","Byrsonima verbascifolia","I. Silberbauer-Gottsberger",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475583","Magnoliophyta","Malpighiales",NA,"W. R. Anderson","733","São Paulo","Botucatu","18 km north of Botucatu, (14 km east of Sao Manuel). Along the S. Manuel-Piracicaba highway. Near ex-RR station, 13 de maio","-48.42","-22.75","NY00475583_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
