"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1579476","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","C. M. Taylor","J. R. Pirani","3041","1994","02","19","South America","Brazil","Espírito Santo","Conceiçao da Barra","Reserva Biológico do Córrego Grande (IBAMA), a 31 km de Pedro Canário (na Avenida Aracruz) e 6 km da Base do IBAMA.","-39.803704","-18.260749","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997997' target='other'> <mi>dwc_moreinfo</mi></a>","NY01579476","NY01579476_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","471187","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","C. M. Taylor","W. W. Thomas","12043","1999","02","06","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, 3 km S of entrance along road on N side of park.","-39.4133","-16.8633333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=735707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471187","NY00471187_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1017558","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","D. C. Zappi","J. A. Kallunki","352","1993","01","20","South America","Brazil","Espírito Santo","Linhares","BR-101, km 122, N of Linhares. Reserva Florestal CVRD, Bloco 2.20 I, Est. X-2.","-40.05","-19.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216289' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017558","NY01017558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","416406","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","C. M. Taylor","W. W. Thomas","12023","1999","02","06","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, 3 km S of entrance along road on N side of park.","-39.4133","-16.8633333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=735708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00416406","NY00416406_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017464","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","fulgens","Psychotria fulgens","Müll.Arg.",NA,"G. G. Hatschbach","48704","1984","12","07","South America","Brazil","Espírito Santo","Linhares","Rancho Alto.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1212347' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017464","NY01017464_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:26:59-03","NBC","NL-BOTANY","WAG.1291287","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Psychotria","fulgens","Psychotria fulgens","Müll.Arg.",NA,"Hatschbach GG; Silva JM",NA,"1984","12","07","Southern America","Brazil",NA,NA,"Rancho Alto (mun. Linhares) Espirito Santo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1291287 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1291287","NL-WAG1291287",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-24 17:09:53-03","UFES","SAMES","4990","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","Ribeiro,M.","Rocha,T.L.; Ribeiro,M.;Oliveira,I.R.","53","2010","08","22",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta de Tabuleiro, Km 5 a 6 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,"Frutos marrons. Habito: Árvore","SAMES04990",NA,NA,NA,NA,"2012","09","05","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"8","2021-03-24 17:09:53-03","UFES","SAMES","4987","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","Ribeiro,M.","Ribeiro,M.; Menezes,L.F.T.;Giaretta,A.O.;Amaral,M.V.","90","2010","02","10",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227",NA,"Inflorescência amarela. Habito: Árvore","SAMES04987",NA,NA,NA,NA,"2012","05","02","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"9","2021-03-24 17:09:53-03","UFES","SAMES","4985","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","Ribeiro,M.","Rocha,T.L.; Martins,R.;Broggio,I.S.;Ribeiro,M.","112","2011","03","19",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227",NA,"Frutos laranja. Habito: Arbusto","SAMES04985",NA,NA,NA,NA,"2012","05","02","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"10","2021-03-24 17:09:53-03","UFES","SAMES","4988","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","Ribeiro,M.","Ribeiro,M.; Martins,R.;Broggio,I.S.;Rocha,T.L.;","475","2011","03","20",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227",NA,"Infrutescência de cor amarela, fruto roxo escuro. Habito: Árvore","SAMES04988",NA,NA,NA,NA,"2011","09","14","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"11","2021-03-24 17:09:53-03","UFES","SAMES","4989","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.",NA,"Silva,W.B.; Ribeiro,M.","27","2012","02","02",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre tabuleiro, estrada interna Km 4 ao 13.","-39.7322006225586","-18.5932998657227",NA,"Flores laranjas. Habito: Arbusto","SAMES04989",NA,NA,NA,NA,NA,NA,NA,"-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"12","2021-03-24 17:09:53-03","UFES","SAMES","4984","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","Ribeiro,M.","Oliveira,I.R.; Penha,J.S.;Rocha,T.L.","64","2010","08","21",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre tabuleiro, Km4 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,"Inflorescência amarela-avermelhada. Habito: Arbusto","SAMES04984",NA,NA,NA,NA,"2010","08","21","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"13","2021-03-24 17:09:53-03","UFES","SAMES","4986","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","Menezes,L.F.T.","Menezes,L.F.T.","1997","2012","05","28",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama. Floresta alta de tabuleiro.","-40.0978012084961","-19.1968994140625",NA,"Flores esverdeadas. Habito: Arvoreta","SAMES04986",NA,NA,NA,NA,"2012","05","28","-400066667.0","-190038889.0","33715","auto",NA,NA,NA,NA
"14","2021-03-24 17:09:53-03","UFES","SAMES","4982","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","Ribeiro,M.","Lobão,A.Q.; Menezes,L.F.T.;Giaretta,A.O.;Figueiredo,D.D.","1463","2009","02","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro.","-39.7322006225586","-18.5932998657227",NA,"Raque da inflorescência verde, flores laranjas. Habito: Arvoreta","SAMES04982",NA,NA,NA,NA,"2012","02","29","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"15","2021-03-24 17:09:53-03","UFES","SAMES","4981","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","Ribeiro,M.","Marcarini,L.; Ribeiro,M.;Coelho,R.","3","2011","08","20",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227",NA,"Flores vermelhas, pedicelo amarelo. Habito: Arbusto","SAMES04981",NA,NA,NA,NA,"2011","11","20","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"16","2021-03-24 17:09:53-03","UFES","SAMES","4983","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Arg.) Standl.","Oliveira,I.R.","Oliveira,I.R.; Menezes,L.F.T.;Ribeiro,M.;Amaral,M.V.","30","2010","02","09",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre tabuleiro, Km 4 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,"Inflorescência laranja. Habito: Árvore","SAMES04983",NA,NA,NA,NA,"2010","02","09","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"17","2021-03-01 16:39:43-03","UNICAMP","UEC","179744","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Palicourea","fulgens","Palicourea fulgens","(Müll.Hal) Standl.","Oliveira, JA","Flores, TB; Romão, GO","1191","2012","08","27",NA,"Brazil","Espírito Santo","Conceição da Barra","Reserva Biológica de Córrego Grande - Estrada no meio da reserva.","-39.823694","-18.282278",NA,"Arvoreta, ca. 2m de alt. Flores laranja","UEC117966","UEC117966",NA,NA,NA,"2018","10","09","-39.823694","-18.282278",NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:39:56-03","UNICAMP","UEC","110231","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Psychotria","fulgens","Psychotria fulgens","Müll.Arg.","Zappi, DC","Zappi, DC; et al.","446","1999","11","25",NA,"Brazil","Espírito Santo","Santa Leopoldina","estrada para santa teresa, propiedade de Floriano Bremekamp","-40.548611","-20.056667",NA,"arbusto 1,5 m, botões laranja-forte, inflorescência avermelhada; mata de pedreira, floresta semidecidua sobre rochas","UEC116779","UEC116779","600","600",NA,"1999",NA,NA,"-40.548611","-20.056667",NA,NA,NA,NA,NA,NA
