"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1519729","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","R. Ortiz-Gentry","R. A. X. Borges","572","2007","01","16","South America","Brazil","Bahia","Almadina","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Proprietário Senhor Francisco.","-39.6033","-14.7058","650","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1763753' target='other'> <mi>dwc_moreinfo</mi></a>","NY01519729","NY01519729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1686508","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","R. Ortiz-Gentry","J. G. Jardim","4363","2005","02","12","South America","Brazil","Bahia","Arataca","Serra das Lontras, ca. 7 km no ramal que liga o povoado de Itatinguí à serra das Lontras","-39.3417","-15.1736","600","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1763963' target='other'> <mi>dwc_moreinfo</mi></a>","NY01686508","NY01686508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1182861","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","M. A. Nadruz Coelho","M. A. Nadruz Coelho","2268","2009","01","14","South America","Brazil","Rio de Janeiro","Magé","Parquen Nacional da Serra dos Orgãos. Distrito de Piabetá, PARNASO, trilha para Petrópolis.","-43.1553","-22.5753","216","216","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410334' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182861","NY01182861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:20-03","UFRJ","RFA","24548","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Cláudia Magalhães Vieira","F. M. de B. Pereira","32/13","2000","05","23",NA,"Brasil","Rio de Janeiro","Macaé","5° distrito, Fazenda carreira comprida","-42.038889","-22.347222","32","32",NA,"Liana, folhas verdes e quase não possui folhas, fruto preto em suas raízes junto ao solo , quando cortadas produzem tinta vermelhas","RFA41677",NA,"42º2'20''W","22º20'50''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:20-03","UFRJ","RFA","26647","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","J. M. A. Braga","F. de B. Pereira","mar-70","2001","02","02",NA,"Brasil","Rio de Janeiro","Sapucaia","luminosidade média","-42.850278","-22.078889","797","797",NA,"Planta Trepadeira, folha verde, flor branca exudado rosa, sobre solo argiloso, comum no local","RFA41685",NA,"42º51'1''W","22º4'44''S","2001","08","22",NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:20-03","UFRJ","RFA","29662","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","João Marcelo j. Braga","A. Quinet","21/131","2001","11","29",NA,"Brasil","Rio de Janeiro","Macaé","8° Distrito/Sana, Av Principal/Cabeceira do Sana","-42.173889","-22.2625",NA,NA,NA,"Liana, folha discolor verde, flor verde, comum no local","RFA41699",NA,"42º10'26''W","22º15'45''S","2006","04","18",NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:29-03","UFRJ","RFA","6003","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","P. Occhioni","O. Costa",NA,NA,NA,NA,NA,"Brasil",NA,"Brasil","Cultivada na residência do Prof. O. Costa.",NA,NA,NA,NA,NA,"Volúvel","RFA45958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:20-03","UFRJ","RFA","24593","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Alexandre Quinet","A. Quinet","jan-14","2000","05","21",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada da Fola grande","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Liana","RFA41667",NA,"43º30'97''W","22º57'95''S",NA,NA,NA,"57442","auto",NA,NA,NA,NA
"9","2020-11-13 09:20:20-03","UFRJ","RFA","32616","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"R.C. Lopes; D.M.C.Santos,H.M.Dias,N.T.Rios,P.P.Melo,R.T.Santos...","193","2006","04","13",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari (APA), paralelo à Av. Estado da Guanabara","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Treoadeira, folhas alternas. Frutos verdes","RFA21339",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"10","2019-10-09 11:20:51-03","UFBA","ALCB","100645","PreservedSpecimen","Plantae","Dicotyledon",NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Guedes, ML","Guedes, ML; Queiroz, EP; Gomes, FS; Mattos Andrade, PE de","18209","2011","05","10","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Av. Paralela, Green Ville, parcela 13, ind. 701","-38.5","-12.966667",NA,NA,NA,"Lenhosa. Folhas coriáceas, discolores, face abaxial com indumento esbranquiçado.; estádio médio de regeneração","ALCB021091","ALCB021091","-38.5","-12.966667","2011","07",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:20:51-03","UFBA","ALCB","122470","PreservedSpecimen","Plantae","Dicotyledon",NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Carvalho, GM","Carvalho, GM; Daneu, L; Gomes, LC; Paixão, JL da","418","2010","09","06","Southern America","Brasil","Bahia","Porto Seguro","RPPN Estação Veracel. Interior de Floresta Alta, Platô.","-39.25","-16.5","100","100",NA,"Folhas discolores. Frutos imaturos verdes.; Floresta Alta.","ALCB007037","ALCB007037","-39.25","-16.5","2010","09",NA,NA,NA,NA,NA,NA,NA
