"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","720547","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","juliflorum","Piper juliflorum","Nees & Mart.","D. Monteiro","250","2008","03","21","South America","Brazil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce, estrada da Bicuiba","-40.0436","-19.1542","48","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720547","NY00720547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","556769","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","juliflorum","Piper juliflorum","Nees & Mart.","J. Vidal","30","1924","12","06","South America","Brazil","Espírito Santo",NA,"Reeve",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556769","NY00556769_01","T. G. Yuncker",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:11:35-03","NBC","NL-BOTANY","U 0238715","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Piper","juliflorum","Piper juliflorum","Nees & Mart.","Wied-Neuwied MAP zu",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200238715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0238715","NL-U0238715","Yuncker TG","Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:18:12-03","ESALQ","ESA","104428","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Piperaceae","Piper","juliflorum","Piper juliflorum",NA,"Rando, J.G.","189.0","2006","04","07",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"ESA104428",NA,"Lorenzo, L. et al.",NA,NA,"48094","auto",NA,NA,NA,NA,NA
"5","2019-06-27 10:26:19-03","UFES","VIES","9649","S","Plantae",NA,NA,"Piperaceae","Piper","juliflorum","Piper juliflorum","Nees & Mart.","Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","2714","1992","02","19",NA,"Brasil","Espírito Santo","Aracruz","Portocel.","-40.2733001708984","-19.8202991485596",NA,NA,NA,"VIES009649","VIES009649",NA,NA,NA,"37987","auto",NA,NA,NA,NA,NA
"6","2019-06-27 10:26:19-03","UFES","VIES","9648","S","Plantae",NA,NA,"Piperaceae","Piper","juliflorum","Piper juliflorum","Nees & Mart.","Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","3354","1992","04","29",NA,"Brasil","Espírito Santo","Aracruz","Retiro.","-40.2733001708984","-19.8202991485596",NA,NA,NA,"VIES009648","VIES009648",NA,NA,NA,"37987","auto",NA,NA,NA,NA,NA
"7","2020-04-27 16:11:07-03","UFES","VIES","9647","S","Plantae",NA,NA,"Piperaceae","Piper","juliflorum","Piper juliflorum","Nees & Mart.","Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","2562","1992","01","08",NA,"Brasil","Espírito Santo","Linhares","Comboios.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"VIES009647","VIES009647","Pereira, O.J.",NA,NA,"48094","auto","1992","01","08",NA,NA
"8","2020-07-10 09:48:53-03","MBML","MBML-HERBARIO","42865",NA,"Plantae",NA,NA,"Piperaceae","Piper","juliflorum","Piper juliflorum","Nees & Mart.","D. Monteiro; A.F.P. Machado, M.D.M. Viana-Filho & T.T.Carrijo","250","2008","03","21",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce, estrada da Bicuíba, 48m.s.m. Mata de tabuleiro","-40.043611","-19.154167",NA,NA,"Arbusto ca 1,5m alt., na margem da estrada, semi ciófilo, lâmina discolor, espiga eretas, verdes","MBML042865",NA,"D. Monteiro/VI-2011",NA,NA,NA,NA,NA,NA,NA,"40W2'37","19S9'15"
"9","2021-02-25 10:13:13-03","CVRD","CVRD","10153","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","juliflorum","Piper juliflorum","Nees & Mart.","Lucas, E.","844","2006","11","30","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"<ll>dwc_commonname:</ll> Pipe de cobra","CVRD010153",NA,"Elsie F. Guimaraes","Magnoliopsida",NA,"48094","auto","2008","03","01",NA,NA
"10","2021-02-25 10:13:13-03","CVRD","CVRD","12397","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","juliflorum","Piper juliflorum","Nees & Mart.","Rando, J.G.","189","2006","04","07","América do Sul","BRASIL","ES","Linhares","Taxonomia de Campo USP, UNICAMP, ESAlq","-40.0722007751465","-19.3910999298096",NA,NA,"Subarbusto com 1,1m alt. Inflorescência jovem verde. <ll>dwc_commonname:</ll> Pipe de cobra","CVRD012397",NA,"Lorenzo, L.; Freire, G.Q.; Rodrigues, C.D.N.; Ogrzewalska M.","Magnoliopsida",NA,"48094","auto","2006","04","14",NA,NA
"11","2020-07-23 12:18:12-03","CEPLAC","CEPEC","146998","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","juliflorum","Piper juliflorum",NA,"D. Monteiro","250",NA,NA,NA,NA,"Brasil","Espírito Santo","LINHARES",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"D. Monteiro",NA,NA,"48094","auto",NA,NA,NA,NA,NA
