"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","stateProvince","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","relatedCatalogItem","dayIdentified","individualCount","fieldNumber"
"1","2016-09-27 06:01:00-03","NY","NYBG","273665","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","virescens","Pouteria virescens","isotype","Forest Dept. British Guiana","F1512","1943","11","17","South America","Guyana","107 m. Bartica-Potaro Road","-59.151785","5.320323","sheet","It is unclear if D. B. Fanshawe is the collector <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273665","NY00273665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01251509","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"G. T. Prance","22879","1974","10","13","South America","Brazil","BR 319, Km 380, Manaus-Porto Velho Road, 2 km south of rio Jutaí.","-62.1301103","-5.5141899","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251509","NY01251509_01","Baehni","T. D. Pennington","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01251507","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"A. P. da Silva","s.n.","1989","10","11","South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468799' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251507","NY01251507_01","Baehni","T. D. Pennington","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01251510","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"E. J. Ferreira","126/57","1957","10","02","South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468802' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251510","NY01251510_01","Baehni","T. D. Pennington","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01251511","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"A. A. de Oliveira","146","1991","10","11","South America","Brazil","Distrito Agropecuario, 90 km NNE de Manaus. Reserva 1501 (km 41), Arvore nº A* 935; S* 1836.","-59.6854736","-2.3153702","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468803' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251511","NY01251511_01","Baehni","T. D. Pennington","Amazonas","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 06:01:00-03","NY","NYBG","273664","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","virescens","Pouteria virescens","holotype","Forest Dept. British Guiana","F1512","1943","11","17","South America","Guyana","107 m. Bartica-Potaro Road","-59.151785","5.320323","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273664","NY00273664_01",NA,"C. Baehni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01251512","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"L. H. P. Martins","43","1997","09","19","South America","Brazil","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Vertente.","-60.0250015258789","-3.10193991661072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328249' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251512","NY01251512_01","Baehni","T. D. Pennington","Amazonas",NA,NA,"Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01251508","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"C. A. Sothers","818","1996","03","07","South America","Brazil","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Vertente.","-60.0250015258789","-3.10193991661072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328258' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251508","NY01251508_01","Baehni","T. D. Pennington","Amazonas",NA,NA,"Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01251506","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"B. A. Krukoff","8863","1936","10","26","South America","Brazil","Basin of Rio Solimoes, basin of creek Belém","-68.8724975585938","-3.37832999229431","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468798' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251506",NA,"Baehni","T. D. Pennington","Amazonas",NA,NA,"São Paulo de Olivença","362329","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:49:38-03","EAO","IAN","113145","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"Rodrigues, WA","3772","1961",NA,NA,"Southern America","Brasil","Serra do Navio.","-52.916667","-0.916667",NA,NA,"IAN113145",NA,"Baehni","Rodrigues, WA","Amapá",NA,NA,NA,NA,NA,"1961","-52.916667","-0.916667",NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:49:38-03","EAO","IAN","100004","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"Fróes, RL","33802","1957","11","11","Southern America","Brasil","Região do Rio Madeira. Rio Marimarí; mata virgem; terra firme.",NA,NA,NA,"Árvore de 12m de altura; látex.","IAN100004",NA,"Baehni",NA,"Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:49:38-03","EAO","IAN","100878","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"Fróes, RL","34153","1958","03","05","Southern America","Brasil","Rio Gurupi. Mata de terra firme. Terreno baixo.",NA,NA,NA,"Árvore de 15m de altura; frutos. Madeira.","IAN100878",NA,"Baehni","Pires, JM","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:49:38-03","EAO","IAN","134860","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","virescens","Pouteria virescens",NA,"Silva, NT da","2998","1970","03","25","Southern America","Brasil","Estrada entre Pilão e Repartimento, km 47, à margem de igarapé. Mata de terra firme.",NA,NA,NA,NA,"IAN134860",NA,"Baehni",NA,"Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
