"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","eventTime","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1182423","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana","Taub.","L. Rossi","M. A. Nadruz Coelho","564","1989","12","18","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima. Entrada p/ Sitio Sophronites","-42.05","-22","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402496' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182423","NY01182423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1182555","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana","Taub.","L. Rossi","L. Riedel","565",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406795' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182555","NY01182555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-20 14:40:53-03","UPM","MACK","737","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana","Taub.","S. J. De Sordi","R. J. F. Garcia","3158","2007","10","03",NA,"Brasil","SP","Santos","área da Santa Casa de Misericórdia, vale do Jurubatuba, mata","-46.3300018310547","-23.9599990844727",NA,NA,NA,NA,NA,NA,"2007","12","26836","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:20:10-03","ESALQ","ESA","20465","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana",NA,"Rossi, L.","Catharino, E.L.M. et al.","2049.0","1994","09","29",NA,"Brasil","São Paulo","Bananal",NA,"-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,"ESA020465",NA,"2005",NA,"26795","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:20:10-03","ESALQ","ESA","17903","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana",NA,"Rossi, L.","Assis, M.A. et al.","364.0","1994","08","28",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA017903",NA,"2005",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:20:10-03","ESALQ","ESA","123716","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana",NA,"Colletta, G.D.","Colletta, G.D. ; Ferreira, M.A.P.","1104.0","2013","05","01",NA,"Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), UHE Fumaça, trilha do Chagas.","-47.5","-23.9599990844727",NA,NA,NA,"Árvore, 3m","ESA123716",NA,"2013","05","41034","auto","17",NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:04:25-03","JBP","HPL","11059","S","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana","Taub.","G.A.D.C. Franco","R.T. Polisel","442","2007","09","15",NA,"Brasil","SP","Juquitiba","Coletado na estrada dos Carmos, rumo à represa do França, km 3,9, na beira da estrada, sub-bosque da mata (S 23° 58' 0; W 47 6' 0, 700m).","-47.06","-23.93",NA,NA,NA,NA,NA,NA,"2008","09","24559","auto","18",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:42:16-03","UNICAMP","UEC","166704","S","Plantae","Magnoliopsida",NA,"Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana","Taub.","Tamashiro, JY","Padgurschi, MCG; Tamashiro, JY; Belinello, R","1637","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM- Núcleo Santa Virgínia - Parcela K.","-45.067778","-23.325556","1093","1093",NA,"K1778 Árvore, ca. 9 m, sem flores ou frutos. Abundância: 5 ind ha(-1).; Floresta Ombrófila Densa Montana.","UEC039927","UEC039927","2009",NA,NA,NA,NA,"-45.067778","-23.325556",NA,NA,NA,NA,NA
"9","2021-03-01 16:42:16-03","UNICAMP","UEC","073129","S","Plantae","Magnoliopsida",NA,"Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana","Taub.","Rossi, L","Assis, MA; Furlan, A; Carneiro, CE; Farinaccio, MA; Scudeller, VV; Cavalcanti, DC","364","1994","08","28",NA,"Brazil","São Paulo","Ubatuba","Trilha da Fazenda Capricórnio","-45.083333","-23.4",NA,NA,NA,"Árvore até 5m dentro da mata. Flores femininas brancas.; Em plantação de cacau.",NA,NA,"2009","08",NA,NA,NA,"-45.083333","-23.4",NA,NA,NA,NA,NA
"10","2021-03-01 16:42:16-03","UNICAMP","UEC","115673","S","Plantae","Magnoliopsida",NA,"Thymelaeaceae","Daphnopsis","schwackeana","Daphnopsis schwackeana","Taub.","Tamashiro, JY","Hanazaki, N; Peroni, N; Teixeira, B","131","1999","06","22",NA,"Brazil","São Paulo","Ilha Comprida","Pedrinhas","-47.705","-24.895",NA,NA,NA,"Arbusto. &nf;Uso local: artesanato/ construção. &nf;Status: Nativa; Floresta Ombrófila Densa das Terras Baixas. Capoeira, beira de rio.",NA,NA,NA,NA,NA,NA,NA,"-47.705","-24.895",NA,NA,NA,NA,NA
