"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","stateProvince","decimalLongitude","decimalLatitude","imagecode","fieldNumber","verbatimLongitude","verbatimLatitude","class","sex"
"1","2020-09-23 10:40:19-03","E","E","296748","PreservedSpecimen","Plantae","Lecythidaceae","Couratari","uaupensis","Couratari uaupensis","isotype","Spruce, Richard","2510","E. Tropical South America","BR","Prope Panurè ad Rio Vaupès.","herbarium specimen of unspecif","BGBASE:314882","<a href=http://data.rbge.org.uk/herb/E00296748 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","757","PreservedSpecimen","Plantae","Lecythidaceae","Allantoma","uaupensis","Allantoma uaupensis","isotype","R. Spruce","2510","South America","Brazil","Prope Panurè ad Rio Uaupès","sheet",NA,"A duplicate of this collection seen at W by G. T. Prance and S. A. Mori. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000757","Magnoliophyta","Ericales","(Spruce ex O.Berg) S.A.Mori, Y.-Y.Huang & Prance","S. A. Mori","1852","10","Amazonas","-68.5121369","0.2251762","NY00000757_01 NY00000757_02",NA,NA,NA,NA,NA
"3","2015-11-01 21:45:22-02","MNHN","RECOLNAT_MNHN_P","P02284975","PreservedSpecimen",NA,"Lecythidaceae","Cariniana","uaupensis","Cariniana uaupensis",NA,"Spruce, R.",NA,NA,"Brésil","Prope Panuré, Rio Kaupès","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02284975' target='other'> <mi>dwc_moreinfo</mi></a>","P02284975",NA,NA,"(Spruce ex O.Berg) Miers",NA,"1852","10",NA,NA,NA,"P02284975_01","2510",NA,NA,NA,NA
"4","2015-11-02 21:02:30-02","MNHN","RECOLNAT_MNHN_P","P02284976","PreservedSpecimen",NA,"Lecythidaceae","Cariniana","uaupensis","Cariniana uaupensis",NA,"Spruce, R.",NA,NA,"Brésil","Prope Panuré, Rio Kaupès","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02284976' target='other'> <mi>dwc_moreinfo</mi></a>","P02284976",NA,NA,"(Spruce ex O.Berg) Miers",NA,"1852","10",NA,NA,NA,"P02284976_01","2510",NA,NA,NA,NA
"5","2020-08-31 08:53:42-03","INPA","INPA","75866","S","Plantae","Lecythidaceae","Couratari","uaupensis","Couratari uaupensis",NA,"Spruce, R","2510","Southern America","Brasil","Panurè, Prope Panuré ad Rio Waupés.",NA,NA,NA,"INPA0075866","Dicotyledon Asterids","Ericales","Spruce ex O.Berg",NA,"1852","10","Amazonas","-68.512137","0.225176","INPA0075866 INPA0075866_e",NA,"-68.512137","0.225176",NA,NA
"6","2019-09-04 18:19:22-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Lecythidaceae","Couratari","uaupensis","Couratari uaupensis","Isotype","R. Spruce","2510","South America","Brazil",NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA
"7","2019-09-05 15:32:30-03","F","FMNH-SEEDPLANTS","V0061849F","PreservedSpecimen","Plantae","Lecythidaceae","Couratari","uaupensis","Couratari uaupensis","Isotype","R. Spruce","2510","South America","Peru",NA,NA,NA,NA,"V0061849F","Spermatophyta",NA,NA,NA,NA,NA,NA,"-74.14","-9.1839","V0061849F_01",NA,NA,NA,"Dicotyledoneae",NA
"8","2016-08-23 10:59:38-03","NHMLondon","NHM-LONDON-BOT","BM000953865","S","Plantae","Lecythidaceae","Cariniana","uaupensis","Cariniana uaupensis","Isotype","Richard Spruce; b.1817; d.1893; Spruce","2510",NA,"Brasil",NA,NA,"NHMUK:ecatalogue:472136","<a href=http://www.nhm.ac.uk/services/media-store/asset/3c62d823515ef656dc5b1d2ea8e1089f6eb3b40a/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"(Spruce ex O.Berg) Miers",NA,"1853","03",NA,"-53.08982","-10.773109",NA,NA,"-53.08982","-10.773109",NA,NA
"9","2010-08-16 16:36:11-03","GH","HU-HERB","GH 00075227","PreservedSpecimen","Plantae","Lecythidaceae","Couratari","uaupensis","Couratari uaupensis","Isotype","R. Spruce","2510","South America","Brazil","Prope Panure ad Rio Uaupes","Sheet",NA,NA,NA,NA,NA,"Spruce ex O. Berg",NA,"1852","10",NA,NA,NA,NA,"2510",NA,NA,NA,"undetermined"
"10","2014-09-23 10:58:11-03","G","G","G00369158","S","Plantae","Lecythidaceae","Cariniana","uaupensis","Cariniana uaupensis","ISOTYPUS of Couratari uaupensis O. Berg","Spruce, R.","2510","AMERIQUE DU SUD","Brazil",NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00369158",NA,NA,"(O. Berg) Miers","?",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"-53.08972222","-10.77305556",NA,NA
"11","2014-09-23 10:58:11-03","G","G","G00369157","S","Plantae","Lecythidaceae","Cariniana","uaupensis","Cariniana uaupensis","ISOTYPUS of Couratari uaupensis O. Berg","Spruce, R.","2510","AMERIQUE DU SUD","Brazil",NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00369157",NA,NA,"(O. Berg) Miers","?",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"-53.08972222","-10.77305556",NA,NA
"12","2014-09-23 10:58:11-03","G","G","G00369159","S","Plantae","Lecythidaceae","Cariniana","uaupensis","Cariniana uaupensis","ISOTYPUS of Couratari uaupensis O. Berg","Spruce, R.","2510","AMERIQUE DU SUD","Brazil",NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00369159",NA,NA,"(O. Berg) Miers","?",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"-53.08972222","-10.77305556",NA,NA
