"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","779049","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","J. A. Kallunki","J. M. Pires","3441","1951","07","25","South America","Brazil","Bahia","Quemimada.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779049","NY00779049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01806816","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","O. Kosovsky","J. L. Paixão","89","1998","11","18","South America","Brazil","Bahia","Area do CEPEC, km 22 da Rod. Ilhéus/Itabuna (BR 415). Quadra do Arboreto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2219584' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806816","NY01806816_01","Ilhéus","-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","779048","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","J. W. Nowicke","J. S. Blanchet","s.n.","1831",NA,NA,"South America","Brazil","Bahia","In Brasilia intratropica circa Bahia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779048","NY00779048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","779042","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","J. A. Kallunki","A. M. V. de Carvalho","4209","1993","02","20","South America","Brazil","Bahia","Monte Tabor. Hotel Serra do Ouro. Serra do Ouro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779042","NY00779042_01","Jacobina","-40.5181","-11.1808","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","779052","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","J. W. Nowicke","B. J. Pickel","s.n.","1931","07","22","South America","Brazil","Pernambuco","Tapera.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779052","NY00779052_01",NA,"-35.18","-8.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","779038","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","A. E. Burkart","A. L. Woolston","210","1953","10","26","South America","Paraguay","San Pedro","Alto Pataguay: Primavera.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","779045","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","R. M. Harley","R. M. Harley","18632","1977","02","13","South America","Brazil","Bahia","Serra do Sincorá. 15-20 km from Andaraí, along the road to Itaeté which branches East off the road to Mucugé.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779045","NY00779045_01",NA,"-41.2","-12.85","500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","779047","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","K. M. Becker","N. T. da Silva","58298","1964","07","08","South America","Brazil","Bahia","CEPLAC","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779047","NY00779047_01","Itabuna","-39.2803","-14.7858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","779043","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","R. L. Liesner","G. Davidse","11793","1976","04","01","South America","Brazil","Bahia","3 km W of Itapicuru along Highway BA-402 to Olindina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779043","NY00779043_01",NA,NA,NA,"160","160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","779039","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","J. W. Nowicke","M. Bang","1589","1892",NA,NA,"South America","Bolivia",NA,"Vicinity Guanai.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","779050","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","C. Grey-Wilson","R. M. Harley","16204","1974","02","19","South America","Brazil","Bahia","Serra de Itiuba about 6 km E of Itiuba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779050","NY00779050_01",NA,"-39.8","-10.68","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01806796","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","maypurensis","Microtea maypurensis","(Kunth) G.Don","O. Kosovsky","J. G. Jardim","1042","1997","04","02","South America","Brazil","Bahia","Universidade Estadual de Santa Cruz - UESC, área próxima a torre administrativa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2219361' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806796","NY01806796_01","Ilhéus","-39.1719","-14.7972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
