"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","894420","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Echinocoryne","echinocephala","Echinocoryne echinocephala","(H.Rob.) H.Rob.","G. G. Hatschbach","36861","1975","05","25","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros.","-47.4581","-13.7975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=962047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894420","NY00894420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","894419","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Echinocoryne","echinocephala","Echinocoryne echinocephala","(H.Rob.) H.Rob.","H. S. Irwin","12438","1966","02","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=962044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894419","NY00894419_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","274806","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonia","echinocephala","Vernonia echinocephala","H.Rob.","H. S. Irwin","32220","1971","03","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 20 km. north of Alto do Paraíso","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=662011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274806","NY00274806_01","1250","1250","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:25:48-03","UNICAMP","UEC","74849","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","echinocephala","Vernonia echinocephala","H.Rob.","Fonseca, ML; Oliveira, FCA; Cardoso, E; Oliveira, NR","292","1995","06","06",NA,"Brazil","Goiás",NA,"Chapada dos Veadeiros, Estrada de Chao, ca. 30KM de Goianesia para Vila Propicio. Parcelas 3 e 4","-48.908333","-15.415",NA,"Subarbusto ca. 0,90m. alt. Capítulos lilases.","UEC050269","UEC050269",NA,NA,NA,"Soares, PN","-48.908333","-15.415",NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:25:48-03","UNICAMP","UEC","177021","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","echinocephala","Vernonia echinocephala","H.Rob.","Morokawa, R","259","2009","03","29",NA,"Brazil","Goiás","Alto Paraíso de Goiás","RPPN Cara preta.","-47.5099983215332","-14.1324996948242",NA,"Subarbusto. flores roxas.","UEC068731","UEC068731",NA,NA,NA,"Nakajima, JN",NA,NA,"2016","06","44724","auto",NA,NA
"6","2020-12-21 16:15:47-03","MBM","MBM","36821","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Echinocoryne","echinocephala","Echinocoryne echinocephala","(H. Rob.) H. Rob.","Hatschbach, G.","36861","1975","05","25","Southern America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros","-47.4583015441895","-13.7974996566772",NA,NA,"MBM036821","MBM036821",NA,NA,NA,"Pruski, J.",NA,NA,NA,NA,"92497","auto",NA,NA
"7","2020-12-21 16:15:47-03","MBM","MBM","133386","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Echinocoryne","echinocephala","Echinocoryne echinocephala","(H. Rob.) H. Rob.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","53878","1990","02","12","Southern America","Brazil","Goiás","Alto Paraíso","Rod. GO-327, 5-10km O de Alto Paraíso",NA,NA,NA,NA,"MBM133386","MBM133386",NA,NA,NA,"Damatteis, M.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","3702524","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Echinocoryne","echinocephala","Echinocoryne echinocephala","(H. Rob.) H. Rob.","B. Loeuille & C. Siniscalchi","848","2013","7","24","South America - Neotropics","Brazil","Goiás","Alto Paraíso De Goiás","Chapada dos Veadeiros. Estrada GO 118, ca. 22 km de Alto Paraiso de Goias. Reserva Particular do Patrimonio Natural Cara Preta. Cerrado.","-47.5239","-14.0085",NA,NA,"US01925750","US01925750_01","1502",NA,NA,"Loeuille, B.",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"9","2020-09-12 05:00:02-03","US","US","2718763","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Echinocoryne","echinocephala","Echinocoryne echinocephala","(H. Rob.) H. Rob.","H. S. Irwin, J. W. Grear, R. Souza & R. Reis dos Santos","12438","1966","2","9","South America - Neotropics","Brazil","Goiás",NA,"Planalto do Brasil, Chapada dos Veadeiros, Estado de Goias, ca. 20 km. W. of Veadeiros, Goias",NA,NA,NA,NA,"US01629971","US01629971_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"10","2020-09-12 05:00:02-03","US","US","2850715","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Echinocoryne","echinocephala","Echinocoryne echinocephala","(H. Rob.) H. Rob.","G. Hatschbach","36861","1975","5","25","South America - Neotropics","Brazil","Goiás",NA,"Chapada des Veadeiros (mun. Cavalcante) Goais",NA,NA,NA,NA,"US01629970","US01629970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"11","2020-09-02 16:21:10-03","Cenargen","CEN","88405","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Echinocoryne","echinocephala","Echinocoryne echinocephala","(H.Rob.) H.Rob.","Dijalma Barbosa da Silva","333","2014","05","07",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Parque Nacional da Chapada dos Veadeiros (PNCV), estrada que vai para Pouso Alto, local a 1km do ponto anterior, à direita da estrada. Área com muitas Eriocaulaceae (Paepalanthus)","47.4941666","10.9663888","Exsicatas","Foram coletadas folhas para extração do óleo essencial. Exsicata referente ao depósito de subamostra, em atendimento ao Conselho de Gestão do Patrimônio Genético (CGEN).","CEN00088405","CEN00088405","1535","1535",NA,"B. M. T. Walter","47.4941666","10.9663888","2016","09",NA,NA,NA,"2"
