"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","375787","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","T. D. Pennington","W. A. Ducke","22231","1926","05","22","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2423043","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"V. Fernandez","7","1989","04","16","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2679993' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423043","Rio de Janeiro","Horto Florestal, encosta voltada para o JBRJ, Pedra do Marinheiro","-43.2075004577637","-22.9027996063232","57442","NY02423043_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1281788","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"E. F. Guimarães","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1742439' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281788","Rio de Janeiro","Jardim Botânico do Rio de Janeiro.","-43.2075004577637","-22.9027996063232","57442","NY01281788_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:32:36-03","UFRJ","RFA","31319","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","C. M. Oliveira","C.M. Vieira; M.A. Louzada, I. Aximoff & J. C. Gomes","1492","2003","02","19",NA,"Brasil","Rio de Janeiro",NA,"Coletas da amostragem fitossociológica., Parcela: A; Ind.: 88; Altura: 40m; CAP: 255cm","RFA20510","Silva Jardim","REBIO Poço das Antas, proximidades da trilha para a Pelonha","-42.3917007446289","-22.6508007049561","29995",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:24:58-03","UFBA","ALCB","049740","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araújo, MH","Pacheco, LM","117","2001","11","22","Southern America","Brasil","Bahia",NA,"8,0 m. Latescente, látex com sabor adocicado. Folhas discolores, cartáceas. Estéril.; Estádio primário de desenvolvimento.",NA,"Santa Cruz Cabrália","Extremo Sul, Estação Veracruz","-39.016667","-16.266667",NA,NA,NA,"2011","06","30","-39.016667","-16.266667",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:24:58-03","UFBA","ALCB","121317","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Gomes, FS","Gomes, FS","1534","2013","03","27","Southern America","Brasil","Bahia",NA,"látex leitoso, Folhas cartáceas. 35.2, parcela 01","ALCB049669","Una",NA,"-39.195278","-15.297222",NA,"ALCB049669",NA,"2013","11",NA,"-39.195278","-15.297222",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:24:58-03","UFBA","ALCB","121443","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Gomes, FS","Gomes, FS","1662","2013","05","18","Southern America","Brasil","Bahia",NA,"Material estéril. 120.2, parcela 01.","ALCB052623","Mascote",NA,"-39.364722","-15.715",NA,"ALCB052623",NA,"2013","12",NA,"-39.364722","-15.715",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:24:58-03","UFBA","ALCB","89102","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araújo, MH","Paixão, JL da; Sambuichi, R","1499","2008","10","22","Southern America","Brasil","Bahia",NA,"ca. de 18m de al. folhas jovens e velhas atacadas. (Manchas escuras e errugadas). Flhores com pétalas esverderadas e estames amarelos. botões esverdeados. Nome popular: Buranhém. Material em álcool.; Cabruca",NA,"Ilhéus","Litoral Sul, Fazenda Retiro, estrada ILhéus/Uruçuca, km 14","-39.154444","-14.706667",NA,NA,NA,"2011","06","30","-39.154444","-14.706667",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U 0006713","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Pennington TD","Constantino D; Occhioni P",NA,"1926","05","22","Southern America","Brazil","Rio de Janeiro",NA,"ad urbem in silvis collinis<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006713",NA,"Rio de Janeiroprope Hortum Botanicum",NA,NA,NA,"NL-U0006713",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","isolectotype","4611 A",NA,NA,NA,NA
"10","2019-02-15 11:50:25-02","IPA","IPA","69656","S","Plantae","Plantae",NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araújo, M.H.","Oliveira, M.; Grillo, A.A.; Grillo, A.A.","1171","2002","10","16","Southern America","Brasil","Alagoas",NA,"Árvore ca. 35m de altura. Ocasional. resina transparente adocicada. P22 V7 nº 51.; Vegetação arbórea-arbustiva densa, interior da mata.","IPA0069656","Ibateguara","Usina Serra Grande, Coimbra.","-35.9393997192383","-8.97249984741211","16798",NA,"auto","2012","06","27",NA,NA,NA,NA,NA,NA,NA,NA,NA
