"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","individualCount","fieldNumber","typeStatus","relatedCatalogItem"
"1","2021-04-05 14:33:57-03","UNESC","CRI","2467","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga","L. B. Smith","R. M. Klein","1962","12","09","Brasil","Santa Catarina","Porto União","-51.078611","-26.238611","51º4'43''W","26º14'19''S","Habito: erva","CRI007013","CRI007013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00864341","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga",NA,"M. A. Chase","1925","02","19","Brazil","Minas Gerais","Juiz de Fora","-43.377068","-21.736337",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955851' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864341","NY00864341_01","Magnoliophyta","Poales","8503","South America","Juiz de Fóra","675","675","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00864339","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga",NA,"G. G. Hatschbach","1985","03","14","Brazil","Mato Grosso do Sul","Eldorado","-54.2833","-23.7869",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864339","NY00864339_01","Magnoliophyta","Poales","49013","South America","Rio Iguatemi",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","662308","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga",NA,"G. G. Hatschbach","1983","01","13","Brazil","Paraná","Pitanga","-51.7614","-24.7572",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662308","NY00662308_01","Magnoliophyta","Poales","46007","South America","Borboleta",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","662316","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga",NA,"E. M. Zardini","1991","02","09","Paraguay","Paraguarí",NA,"-56.77","-26",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662316",NA,"Magnoliophyta","Poales","26389","South America","National Park Ybyucu'i. Northeastern area of park, Arroyo Corrientes",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","662304","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga",NA,"D. S. D. de Araújo","1976","11","19","Brazil","Rio de Janeiro","Itaboraí","-42.8592","-22.7444",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662304","NY00662304_01","Magnoliophyta","Poales","1357","South America","Rio Guapi-mirim",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","662309","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga",NA,"L. B. Smith","1956","11","09","Brazil","Santa Catarina","Campo Alegre","-49.2656","-26.1925",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662309","NY00662309_01","Magnoliophyta","Poales","7503","South America","Lower fazenda of Ernesto Scheide, Campo Alegre","900","900","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00864317","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga",NA,"H. S. Irwin","1969","02","24","Brazil","Minas Gerais",NA,"-43.5802","-16.82315",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864317","NY00864317_01","Magnoliophyta","Poales","23818","South America","Serra do Espinhaço, Serra dos Três Irmãos, ca. 33 km west of Montes Claros, road to Agua Boa.","1000","1000","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","662310","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga",NA,"L. B. Smith","1956","12","17","Brazil","Santa Catarina","Porto Uniao","-51.0781","-26.2383",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662310","NY00662310_01","Magnoliophyta","Poales","8639","South America","East of Valoes (Irineópolis) on the road to Canoinhas","750","750","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","662302","PreservedSpecimen","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga",NA,"R. M. Harley","1974","02","04","Brazil","Bahia",NA,"-41.35","-13.02",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662302","NY00662302_01","Magnoliophyta","Poales","15961","South America","By Rio Cumbuca ca. 3km. S. of Mucugé, near site of small dam on road to Cascavel","850","850","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
