"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","561697","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata","O.Berg","G. M. Barroso","D. S. D. de Araújo","6191","1984","04","11","South America","Brazil","Rio de Janeiro","Angra dos Reis","Ilha Grande, RBEPS.","-44.3181","-23.0069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561697","NY00561697_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","567101","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata catharinensis","D.Legrand","C. M. D. E. Legrand","R. Reitz","4056","1957","10","05","South America","Brazil","Santa Catarina","Garuva","Mina Velha, Garuva, S. Francisco do Sul","-48.8547","-26.0269","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567101","NY00567101_01","catharinensis","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","561699","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata","O.Berg","G. M. Barroso","B. D. Sucre","8496","1972","02","23","South America","Brazil","Rio de Janeiro",NA,"Estrada do Alto da Boa Vista - Corcovado.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561699","NY00561699_01",NA,"530","530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","561694","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata","O.Berg","E. F. Guimarães; C. L. F. Ichaso","B. D. Sucre","9121","1972","05","17","South America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561694","NY00561694_01",NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","561698","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata","O.Berg",NA,"B. D. Sucre","8496","1972","02","23","South America","Brazil","Rio de Janeiro",NA,"Estado da Guanabara, Estrada Alto da Boa Vista - Corcovado.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561698","NY00561698_01",NA,"530","530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","561695","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata","O.Berg","G. M. Barroso","B. D. Sucre","4696","1969","02","08","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Vertente oeste do morro do Sumaré.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561695","NY00561695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01090537","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata","O.Berg","M. Sobral","P. Fiaschi","2028","2004","03","18","South America","Brazil","Bahia","Uruçuca","Estrada de Serra Grande para Uruçuca. Área do inventário do plano de manejo. Mata da torre do celular.","-39.115","-14.4997","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223197' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090537","NY01090537_01",NA,"380","380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02695285","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata","O.Berg","A. R. L. Lourenço","P. Fiaschi","3575","2011","01","24","South America","Brazil","Espírito Santo","Mimoso do Sul","Perto do limite do km 50 e 51 da rodovia ES-391, ca. 1.5 km NW da ponte sobre o Rio Pratinha; Fazenda Pratinha. Trecho de Floresta Estacional Semidecidual.","-41.35061","-21.08908","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2972895' target='other'> <mi>dwc_moreinfo</mi></a>","NY02695285","NY02695285_01",NA,"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","561700","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata","O.Berg","G. M. Barroso","B. D. Sucre","8808","1972","04","12","South America","Brazil","Rio de Janeiro",NA,"Estado da Guanabara, Mata da Estrada da Vista Chineza.","-43.257166","-22.971675","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561700","NY00561700_01",NA,"330","330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","561696","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","lanceolata","Calyptranthes lanceolata catharinensis","D.Legrand","C. M. D. E. Legrand","G. G. Hatschbach","17891","1967","11","20","South America","Brazil","Paraná","Guaratuba","Praia do Mendanha","-48.5744","-25.8831","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561696","NY00561696_01","catharinensis","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
