"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","533505","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Anathallis","montipelladensis","Anathallis montipelladensis","(Hoehne) F.Barros","R. M. Harley","27522","1988","12","16","South America","Brazil","Bahia","Agua Quente. Pico das Almas. Vertente oeste. Entre Paramirim das Crioulas e a face NNW do pico","-42","-13.52","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533505","NY00533505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:28:31-03","UFBA","ALCB","75244","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Anathallis","montipelladensis","Anathallis montipelladensis","(Hoehne) F.Barros","Guedes, ML; Santos, JS; Carvalho, G; Valadão, RM; Alunos de Botânica III","12733","2006","10","14","Southern America","Brasil","Bahia","Chapada Diamantina","-41.65","-13.233333",NA,NA,NA,"rupícula. Folhas crassas, verde-vináceas. Flores brancas. Ocasionais.","ALCB007702","ALCB007702","Carvalho, DN","2014","04","07","Abaíra","-41.65","-13.233333",NA,NA,NA,NA
"3","2020-12-11 11:44:19-03","UFMG","BHCB","13148","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Anathallis","montipelladensis","Anathallis montipelladensis","(Hoehne) F.Barros","Braga, MMN","s.n.","1988","05",NA,"Southern America","Brasil","Minas Gerais","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Epífita em Vellozia; flores amarelas; Campo rupestre","BHCB011998",NA,NA,"2013","12","03","Ouro Branco",NA,NA,"13809","auto",NA,NA
"4","2020-09-17 15:32:39-03","MBML","MBML-HERBARIO","16678",NA,"Plantae",NA,NA,"Orchidaceae","Anathallis","montipelladensis","Anathallis montipelladensis","(Hoehne) F. Barros","A. P. Fontana; et al","321","2002","03","30",NA,"Brasil","Espírito Santo","São Lourenço","-40.620556","-19.931111",NA,NA,NA,"Sobre galho caído na mata, folhas verdes carnosas. Inflorescência e flores verdes amareladas.","MBML016678","MBML016678","H.L. Silva/16-01-2020",NA,NA,NA,"Santa Teresa","40W37'14","19S55'52",NA,NA,NA,NA
"5","2020-09-17 15:32:39-03","MBML","MBML-HERBARIO","4747",NA,"Plantae",NA,NA,"Orchidaceae","Anathallis","montipelladensis","Anathallis montipelladensis","(Hoehne) F. Barros","H. Q. Boudet Fernandes","2511","1988","05","19",NA,"Brasil","Espírito Santo","Valão de São Lourenço, Reserva Florestal da Prefeitura","-40.610278","-19.923889",NA,NA,NA,"Epífita em ramos espesso caido no chao, flores branca amareladas, folha semi-roliça, mata primária, meio de encosta. Herb/alcool/culta.","MBML004747","MBML004747","H.L. Silva/16-01-2020",NA,NA,NA,"Santa Teresa","40W36'37","19S55'26",NA,NA,NA,NA
"6","2019-10-07 09:20:08-03","UEFS","HUEFS","220122","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Pleurothallis","montipelladensis","Pleurothallis montipelladensis","Hoehne","Brito, A.L.T.","2362",NA,NA,NA,NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,"HUEFS0220122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA
"7","2019-11-21 10:13:43-03","IBt","SP","292363","S","Plantae",NA,NA,"Orchidaceae","Pleurothallis","montipelladensis","Pleurothallis montipelladensis","Hoehne","Harley, RM; Stannard, BL; Pirani, JR; Furlan, A","27522","1988","12","16",NA,"Brasil","Bahia","Pico das Almas, Vertente oeste, entre Paramirim das Crioulas e a face NNW do pico","-42","-13.516667","1200","1200",NA,NA,NA,NA,"Brito, ALT","1994",NA,NA,"Água Quente","-42","-13.516667",NA,NA,NA,NA
"8","2019-11-21 10:13:43-03","IBt","SP","22463","S","Plantae",NA,NA,"Orchidaceae","Pleurothallis","montipelladensis","Pleurothallis montipelladensis","Hoehne","Edwall, G","CGG6020","1907","01",NA,NA,"Brasil","São Paulo","Morro Pelado","-47.8199996948242","-22.25",NA,NA,NA,NA,"SP002363","SP002363","Hoehne, FC","1929",NA,NA,"Itirapina",NA,NA,"22843","auto",NA,"Holotype"
