"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1795761","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Sessea","brasiliensis","Sessea brasiliensis","Toledo","isosyntype","F. C. Hoehne","s.n. [=herb. SP 29746]","1932","06","16","South America","Brazil","São Paulo","São Paulo","Parque do Estrado, Jardim Botânico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2024094' target='other'> <mi>dwc_moreinfo</mi></a>","NY01795761","NY01795761_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:49:54-03","EAO","IAN","131765","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Sessea","brasiliensis","Sessea brasiliensis","Toledo",NA,"Rodrigues, A","s.n.","1968","12","26","Southern America","Brasil",NA,NA,"Pinheirinho S. Cantareira, próximo à casa do guarda.",NA,NA,NA,NA,"IAN131765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-26 18:09:51-03","CPAN-UFMS","COR","12508","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Sessea","brasiliensis","Sessea brasiliensis","Toledo",NA,"F.F. d#?#Eça Neves","852","1999","01","26",NA,"Brasil","São Paulo","Jundiaí","Serra do Japi; Base de Estudos de Ecologia e Educação Ambiental 'Miguel Castarde'; Trilha do Mirante","-46.8800010681152","-23.1800003051758",NA,"Árvore com cerca de 5 m de altura; frutos verdes Habito: Árvore",NA,NA,"17840","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:20:00-03","ESALQ","ESA","87711","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Sessea","brasiliensis","Sessea brasiliensis","Tol.",NA,"Hodgson, A.",NA,"1961","05","31",NA,"Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"ESA087711","ESA087711","53584","auto","Mattos, J.","1963","01","01",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:20:00-03","ESALQ","ESA","76323","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Sessea","brasiliensis","Sessea brasiliensis",NA,NA,"Rodrigues, R.R.",NA,"1993","05","28",NA,"Brasil","São Paulo","São Roque",NA,"-47.1300010681152","-23.5200004577637",NA,NA,"ESA076323","ESA076323","15567","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:20:00-03","ESALQ","ESA","31885","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Sessea","brasiliensis","Sessea brasiliensis",NA,NA,"Souza, V.C.; Rodrigues, R.R.; Souza, J.P.; Sanches, I.D.; Astorino, A.; Magossi, R.; Petrini, M.; Tavares Jr., J.E.","11264.0","1996","06","01",NA,"Brasil","São Paulo","Nazaré Paulista","Estrada em torno da Represa Atibainha. Mata mesófila semidecídua.","-463.578","-231.425",NA,"Árvore, ca. 6 m alt.; flores alvas.","ESA031885","ESA031885",NA,NA,"Stehmann, J.R.","1999",NA,NA,"-463,578","-231,425","800","800",NA,NA
"7","2020-11-04 11:20:00-03","ESALQ","ESA","6541","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Sessea","brasiliensis","Sessea brasiliensis",NA,NA,"Moraes, P.L.R.","421.0","1989","01","01",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA006541","ESA006541","27904","auto","Moraes, P.L.R.","1999",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:20:00-03","ESALQ","ESA","83605","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Sessea","brasiliensis","Sessea brasiliensis","Toledo",NA,"Koscinski, M.",NA,"1933","10","01",NA,"Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"ESA083605","ESA083605","53584","auto","Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:20:00-03","ESALQ","ESA","7255","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Sessea","brasiliensis","Sessea brasiliensis",NA,NA,"Rodrigues, R.R. ; Morellato-Fonzar, L.P.C.",NA,"1986","06","11",NA,"Brasil","São Paulo","Jundiaí",NA,"-46.8800010681152","-23.1800003051758",NA,NA,"ESA007255","ESA007255","17840","auto","Rodrigues, R.R.","1999",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:20:00-03","ESALQ","ESA","33834","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Sessea","brasiliensis","Sessea brasiliensis",NA,NA,"Goldenberg, R. et al.","372.0","1996","06","13",NA,"Brasil","São Paulo","São José dos Campos",NA,"-45.8800010681152","-23.1700000762939",NA,NA,"ESA033834","ESA033834","39297","auto","Stehmann, J.R.","1999",NA,NA,NA,NA,NA,NA,NA,NA
