"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount","class","verbatimLongitude","verbatimLatitude","sex"
"1","2020-09-23 10:40:41-03","E","E","285993","PreservedSpecimen","Plantae","Leguminosae","Lupinus","parvifolius","Lupinus parvifolius","isotype","Gardner, George","4502","1905","01","13","E. Tropical South America","BR","Minas Gerais","Minas Geraes.","herbarium specimen of unspecif","BGBASE:304575","<a href=http://data.rbge.org.uk/herb/E00285993 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","16145","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius","isotype","G. Gardner","4502","1840","08",NA,"South America","Brazil","Minas Gerais","In vallibus saxosis angustis prope Cidade Diamartina","sheet",NA,"Shuttl. 1842 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=659561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016145","Magnoliophyta","Fabales","Gardner","NY00016145_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01057577","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"H. S. Irwin","22413","1969","01","22","South America","Brazil","Minas Gerais","Ca. 26km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057577","Magnoliophyta","Fabales","Gardner","NY01057577_01","R. Monteiro","-43.7","-18.38","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01057581","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"G. G. Hatschbach","30227","1972","08","12","South America","Brazil","Minas Gerais","Cons. Mata","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143019' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057581","Magnoliophyta","Fabales","Gardner","NY01057581_01","R. Monteiro","-43.6003","-18.2494",NA,NA,"Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01057579","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"B. Maguire","49175","1960","08","12","South America","Brazil","Minas Gerais","Road between Diamantina and Gouveia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143009' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057579","Magnoliophyta","Fabales","Gardner","NY01057579_01","R. Monteiro","-43.6719","-18.348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01057580","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"G. G. Hatschbach","30227","1972","08","12","South America","Brazil","Minas Gerais","Cons. Mata","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143015' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057580","Magnoliophyta","Fabales","Gardner","NY01057580_01","R. Monteiro","-43.6003","-18.2494",NA,NA,"Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01057578","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"H. S. Irwin","22413","1969","01","22","South America","Brazil","Minas Gerais","Ca. 26km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143008' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057578","Magnoliophyta","Fabales","Gardner","NY01057578_01","R. Monteiro","-43.7","-18.38","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","16146","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius","isotype","G. Gardner","4502","1836",NA,NA,"South America","Brazil","Minas Gerais","In vallibus saxosis angustis prope Cidade Diamartina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=659562' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016146","Magnoliophyta","Fabales","Gardner","NY00016146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:50-03","UFRJ","RFA","19746","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"G.G. Hatschbach","30227","1972","08","12",NA,"Brasil","Minas Gerais","Conselheiro Mata",NA,NA,"Arbusto pouco ramoso, 2m, flor anil. Rara","RFA16553",NA,NA,"Gardner",NA,"R.C. Barneby","-43.6002998352051","-18.2493991851807",NA,NA,"Diamantina","1977","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:41:48-03","EAO","IAN","108008","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","parvifolius","Lupinus parvifolius",NA,"Magalhães, MG","18178","1960","08",NA,"Southern America","Brasil","Minas Gerais","Serra a 30 km entre Diamantina para Gouvêia.",NA,NA,NA,"IAN108008","Dicotiledônea",NA,"Gardner",NA,"Pires, JM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
