"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2016-10-21 09:31:00-02","NY","NYBG","679859","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Praecereus","euchlorus","diffusus","Praecereus euchlorus diffusus","(Britton & Rose) N.P.Taylor","J. E. Madsen","J. E. Madsen","7447","2000","10","15","South America","Ecuador","Loja","Km 2-7 NE of La Toma on gravel roads.","-79.33","-3.97","1600","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=846988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679859","NY00679859_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-02 16:28:43-03","CPAN-UFMS","COR","5914","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Praecereus","euchlorus",NA,"Praecereus euchlorus","(F.A.C.Weber) N.P.Taylor","DamascenoJunior, G. A.","Damasceno Jr, G. A.; Velasquez, J. S.; Gonçalves, P. V.;da Matta, C.; Santos, J.;Ribeiro, J. A.",NA,"2002","05","13",NA,"Brasil","Mato Grosso do Sul","Baía do Castelo","-57.580278","-18.883056","90","90",NA,"Arbusto escandente; fruto verde Habito: Arbusto escandente",NA,NA,"Corumbá","57º34'49''W","18º52'59''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-26 18:07:30-03","CPAN-UFMS","COR","5915","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Praecereus","euchlorus",NA,"Praecereus euchlorus","(F.A.C.Weber) N.P.Taylor","N. P. Taylor","Damasceno Jr, G. A.; Ishii, I. H.",NA,"2001","10","14",NA,"Brasil","Mato Grosso do Sul","Fazenda São Sebastião do Paraíso. Área 5 de Fitossociologia","-57.52","-19.104167","120","120",NA,"Arbusto; fruto verde Habito: Arbusto",NA,NA,"Ladário","57º31'12''W","19º6'15''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-26 18:07:30-03","CPAN-UFMS","COR","5406","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Praecereus","euchlorus",NA,"Praecereus euchlorus","(F.A.C.Weber) N.P.Taylor","Damasceno Júnior, G. A.","Bezerra, M. A. O.; Mozeto, A. A.; Peixoto, J. L.; Damasceno Júnior, G. A.","118","1997","06","20",NA,"Brasil","Mato Grosso do Sul","Próximo ao morro do Castelo.","-57.6533012390137","-19.0091991424561","85","85",NA,"Árvore Habito: Árvore",NA,NA,"Corumbá",NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:07:30-03","CPAN-UFMS","COR","13501","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Praecereus","euchlorus",NA,"Praecereus euchlorus","(F.A.C.Weber) N.P.Taylor","Damasceno-Junior, G.A.","Damasceno, G.A.Jr; Ferreira, V.L.","1354","1998","02","27",NA,"Brasil","Mato Grosso do Sul","Estrada da Manga próx. a faz. Bandalta. Bancada Laterítica (Lagedo); Litólico e rico em Fe; Plano - levemente inclinado.","-57.6016998291016","-19.0046997070312","150","150",NA,"Com Flor: creme; Com fruto:rosado, carnoso com polpa branca",NA,NA,"Ladário",NA,NA,"23141","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0105514","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Praecereus","euchlorus","euchlorus","Praecereus euchlorus euchlorus",NA,"Taylor NP","Ritter F",NA,"1965","01","01","Southern America","Brazil","São Paulo","Brazil, Sao Paulo, Piedae.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200105514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0105514",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","holotype",NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:04:12-03","ESALQ","ESA","35278","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Praecereus","euchlorus",NA,"Praecereus euchlorus","(Weber) N.P.Taylor","Taylor, N.P.","Souza, J.P. ; Souza, V.C.","368.0","1996","02","14",NA,"Brasil","São Paulo","5 Km de Teodoro Sampaio em direção a Planalto do Sul. Formação arbóreo-arbustiva com Cereus como elemento de destaque.","-521.147","-22.291","300","300",NA,"Planta até 1, 5 m alt.; sépalas com ápice avermelhado; pétalas e estames alvos.","ESA035278","ESA035278_1 ESA035278_2","Teodoro Sampaio","-521,147","-22,291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:04:12-03","ESALQ","ESA","16538","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Praecereus","euchlorus",NA,"Praecereus euchlorus","(Weber) N.P.Taylor","Taylor, N.P.","Souza, V.C. et al.","4966.0","1993","12","03",NA,"Brasil","São Paulo",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA016538","ESA016538","Piracicaba",NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-10-22 12:52:11-03","ASU","ASU-PLANTS","ASU0108224","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Praecereus","euchlorus",NA,"Praecereus euchlorus","(F.A.C. Weber ex K. Schum.) N.P. Taylor","M. Arakaki","A. Gentry; Camilo Díaz, Carol Blaney","61282","1988","2","5",NA,"Peru","Cajamarca","Road to Chirinos near Río Chinchipe.","-78.833333","-5.416667","600",NA,NA,"Arching thin-stemmed cactus 3m, flowers greenish white, fruits green.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:42:03-03","UFMS","CGMS","31106","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Praecereus","euchlorus",NA,"Praecereus euchlorus","(F.A.C.Weber) N.P.Taylor","G.A. Damasceno-Junior; A.Pott","M. Rocha; C.S. Robles; F. Bao; G.A. Damasceno-Junior; M.L. Bueno","18","2010","11","22",NA,"Brasil","Mato Grosso do Sul","Baía do Castelo.","-57.5166667","-18.6488889","89","89",NA,"Fruto imaturo verde. Habitat: Beira do Rio Paraguai. Solo argiloso. Relevo barranco. Habito: Arbusto.","CGMS1060523",NA,"Corumbá","-57,5166667","-18,6488889",NA,NA,NA,NA,"2010","11","22",NA,NA,NA
