"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00983935","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & Mattos","A. M. V. de Carvalho","Dionísio","180","South America","Brazil","Jardim Bot. Rio de Janeiro, prov. Minas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983935","NY00983935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00983900","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & Mattos","A. M. V. de Carvalho","E. P. Heringer","2397","South America","Brazil","Coronel Pacheco, Mata da Fazenda Boa Ventura","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983900","NY00983900_01","1946","07","26","Minas Gerais","Coronel Pacheco","-43.2656","-21.5881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00983899","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & Mattos","A. M. V. de Carvalho","E. P. Heringer","2397","South America","Brazil","Coronel Pacheco, Mata da Fazenda Boa Ventura","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983899","NY00983899_01","1946","07","26","Minas Gerais","Coronel Pacheco","-43.2656","-21.5881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00983910","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & Mattos","A. M. V. de Carvalho","T. B. Cavalcanti","2032","South America","Brazil","Fazenda Santo Antonio do Fundao; as margens do Rio Santo Antonio. Bacia de inundação","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983910","NY00983910_01","1996","07","12","Goiás","Ipameri","-48.5","-17.87","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00983934","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & Mattos","A. M. V. de Carvalho","L. T. Costa","4","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117906' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983934","NY00983934_01","1950","12",NA,"Minas Gerais","Paracatú","-46.8744","-17.2222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00983909","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & Mattos","A. M. V. de Carvalho","Y. E. J. Mexia","4878","South America","Brazil","Viçosa. Road to São Miguel, near km 8; Corriga Sujo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983909","NY00983909_01","1930","07","21","Minas Gerais","Viçosa","-42.8817","-20.7542","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:30:29-03","UFRJ","RFA","17850","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos","A.M. Carvalho","E.P. Heringer","15390",NA,"Brasil","Cultivada na Estação Biológica do Instituto de Biologia, com 10 anos",NA,"Árvore com 10 m de altura ,esgalhada , flores cremes perfumadas ,em cachos densos pendentes nas pontas dos ramos. madeira de lei, perfumada","RFA15110",NA,"1976","02","28","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-22 11:46:30-03","IPA","IPA","7752","S","Plantae","Plantae",NA,"Leguminosae-Pap.","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos","Carvalho, A.M. de","Filho, A.M.","s.n.","Southern America","Brasil","Jardim Botânico",NA,"Árvore ca. 20m de altura; circunferência próximo do solo 1,40m; diâmetro do cerne 0,25m; espessura alburno 0,10m. (Há um exemplar nativo nas matas do jardim)","IPA0007752",NA,"1944","11",NA,"Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:17:21-03","UFV","VIC","10725","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A. Mattos","Rizzini, C.T.","Heringer, E.P.; et al.","2758",NA,"Brasil","Fazenda Água Limpa - UnB, Plantada em quintal.",NA,"Árvore, c.a. de 8,0 metros de altura, flores e botões florais alvos e perfumados. Estames 9.","VIC010725","VIC010725","1979","11","14","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto","1980","08","04",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:36:24-03","UFJF","CESJ","65415","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A. Matos","B.E. Conde","B.E. Conde","427","América do Sul","Brasil","São Sebastião da Boa Vista, Coletada em meio a mata que beira a nascente da cachoeira.",NA,"Arbórea (aprox 10m), flores brancas e madeira de aroma de amendoim. Utilizada localmente para a produção de colheres para angú e para demais usos ritualísticos, como banhos de descarrego e proteção espiritual..","CESJ065415",NA,"2013","07","03","Minas Gerais","Santos Dumont","-43.5525016784668","-21.4566993713379",NA,NA,"25699","auto","2014","07","06",NA,NA,NA,NA,NA,NA,NA
