"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","typeStatus","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","921351","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","treitubensis","Huperzia treitubensis","(Silveira) B.Øllg.","B. Øllgaard; P. G. Windisch","A. C. Brade","20402","1950","07","13","South America","Brazil","Minas Gerais","São Thomé das Letras","Baependi","-44.9853","-21.7222","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00921351","NY00921351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:38:32-02","BGBM","B","B 20 0112297","S","Plantae",NA,NA,"Lycopodiaceae","Huperzia","treitubensis","Huperzia treitubensis","B.Øllg.","P. G. Windisch","A. A. da Silveira","2606","1897","11",NA,"Middle and South America","Brazil",NA,NA,"In campis in Sera do Papagaio, Minas Geraes.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200112297 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200112297","B200112297","2011","07","isotype",NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:50:23-03","UFJF","CESJ","3071","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Huperzia","treitubensis","Huperzia treitubensis","(Silveira) B. Øllgaard","R.F. Novelino","A.C. Brade","s.n.","1950","07","12","América do Sul","Brasil","Minas Gerais","São Tomé das Letras","Baependi, 1300m.","-44.9852981567383","-21.7222003936768",NA,NA,NA,NA,"CESJ003071",NA,"1990","05",NA,"21","16076","auto",NA,NA,NA,NA
"4","2021-03-01 16:43:48-03","UNICAMP","UEC","46854","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","treitubensis","Phlegmariurus treitubensis","(Silveira) B.Ollg.","Gissi, DS","Semir, J; Martins, AB; Bernacci, LC; Dutilh, JHA","19537","1987","07","01",NA,"Brazil","Minas Gerais","São Tomé das Letras",NA,"-44.9852981567383","-21.7222003936768","1300","1300",NA,"Campo rupestre.&nf;Crescendo em fenda de rocha, em local úmido.","UEC052402","UEC052402","2015","09",NA,NA,"16076","auto",NA,NA,NA,NA
"5","2019-11-19 14:08:15-03","UFRPE","PEUFR","5999","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","treitubensis","Huperzia treitubensis","(Silveira) B. Øllg.","I.C. Leão Barros","Andrade-Lima",NA,"1974","12","28",NA,"Brasil","Pernambuco","Taquaritinga do Norte",NA,"-36.0442008972168","-7.90305995941162",NA,NA,NA,"Epífita","PEUFR005999",NA,"1944","09",NA,"26","25558","auto",NA,NA,NA,NA
"6","2019-11-06 09:56:07-03","UFOP","OUPR","10258","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","treitubensis","Phlegmariurus treitubensis","(Silveira) B.Øllg.","Almeida, T.E.","Schwacke, C.A.W.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"Serra da Ibitipoca, Alto da serra",NA,NA,NA,NA,NA,NA,NA,NA,"2013","04",NA,"17",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:32:03-03","MBM","MBM","277066","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","treitubensis","Huperzia treitubensis","(Silveira) B. Ollg.","Pita, P.B.","Krieger, L.","2667","1972","07",NA,"Southern America","Brazil","Minas Gerais","Ibitipoca","Parque Estadual de Ibitipoca",NA,NA,NA,NA,NA,NA,"MBM277066","MBM277066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-01-12 13:09:42-02","MNHN","RECOLNAT_MNHN_P","P00559225","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","treitubensis","Phlegmariurus treitubensis","(Silveira) B.Øllg.",NA,"Silveira, A.A. da",NA,"1897","4",NA,NA,"Brésil",NA,NA,"Minas : Serra da Treituba",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559225' target='other'> <mi>dwc_moreinfo</mi></a>","P00559225","P00559225_01",NA,NA,NA,NA,NA,NA,"2210",NA,NA,NA
"9","2015-09-18 05:56:32-03","MNHN","RECOLNAT_MNHN_P","P00559243","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","treitubensis","Phlegmariurus treitubensis","(Silveira) B.Øllg.",NA,"Silveira, A.A. da",NA,"1897","11",NA,NA,"Brésil",NA,NA,"Minas : Serra do Papagais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559243' target='other'> <mi>dwc_moreinfo</mi></a>","P00559243","P00559243_01",NA,NA,NA,NA,NA,NA,"2606",NA,NA,NA
"10","2020-10-01 14:14:50-03","JBB","HEPH","35331","S","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","treitubensis","Phlegmariurus treitubensis","(Silveira) B.Øllg.","Gissi, D","Faria, JEQ; Lima, HC; Correia, C; Barbosa-Silva, RG","9012","2018","11","18","Southern America","Brasil","Goiás","Pirenópolis","Serra dos Pireneus, base dos Três Picos","-48.837778","-15.793056","1302","1302",NA,NA,NA,NA,"2018","11",NA,NA,NA,NA,NA,"-48.837778","-15.793056",NA
"11","2015-12-09 08:55:21-02","F","FMNH-PTERIDOPHYTES","C0658804F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Huperzia","treitubensis","Huperzia treitubensis","(Silveira) B. Øllg.",NA,NA,NA,NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,"-44","-18",NA,NA,NA,NA,"C0658804F","C0658804F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycopsida"
