"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","maximumElevationInMeters","class","individualCount","dayIdentified","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1281354","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & S.L.Jung","P. Fiaschi","S. J. da Silva Neto","779","1995","07","11","South America","Brazil","Rio de Janeiro","Itatiaia","Maromba. Trilha para cachoeira Itaporani.","-44.75","-22.25","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1687684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281354","NY01281354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02641677","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & S.L.Jung",NA,"P. Fiaschi","3910","2012","03","07","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Estrada para o Atelier das Artes. Trilha para os Três Picos, início na antigo Hotel Simon.","-44.60569","-22.76356","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2914275' target='other'> <mi>dwc_moreinfo</mi></a>","NY02641677","NY02641677_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:22:31-03","UNICAMP","UEC","073615","S","Plantae","Magnoliopsida",NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Koch, I; Goldenberg, R","232","1995","04","07",NA,"Brazil","São Paulo","Queluz","9Km ao norte de Queluz; beira do Rio das Cruzes.","-44.766667","-22.45",NA,NA,"Mata. Árvore de 9m de altura; flores brancas.","UEC109241","UEC109241","2006","-44.766667","-22.45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:22:31-03","UNICAMP","UEC","73615","S","Plantae","Magnoliopsida",NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Koch, I; Goldenberg, R","232","1995","04","07",NA,"Brazil","São Paulo","Queluz","9Km ao norte de Queluz; beira do Rio das Cruzes.","-44.766667","-22.45",NA,NA,"Mata. Árvore de 9m de altura; flores brancas.","UEC109241","UEC109241","2006","-44.766667","-22.45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:22:31-03","UNICAMP","UEC","74709","S","Plantae","Magnoliopsida",NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Koch, I; Goldenberg, R","232","1995","04","07",NA,"Brazil","São Paulo","Queluz","9Km ao norte de Queluz; beira do Rio das Cruzes.","-44.766667","-22.45",NA,NA,"Mata. Árvore de 9m de altura; flores brancas.","UEC109218","UEC109218","2006","-44.766667","-22.45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:22:31-03","UNICAMP","UEC","130200","S","Plantae","Magnoliopsida",NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Arzolla, FARDP","116","2000","05","04",NA,"Brazil","São Paulo","Mairiporã","Parque Estadual da Cantareira, Região de águas claras.","-46.5800018310547","-23.3099994659424",NA,NA,"Arvoreta 2,5m altura, botões florais e flores brancas.","UEC109239","UEC109239","2011",NA,NA,"11","15840","auto",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:22:31-03","UNICAMP","UEC","130201","S","Plantae","Magnoliopsida",NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Arzolla, FARDP","120","2000","03","22",NA,"Brazil","São Paulo","Mairiporã","Parque Estadual da Cantareira, Região de águas claras.","-46.5800018310547","-23.3099994659424",NA,NA,"Arvoreta flores brancas.","UEC109238","UEC109238","2011",NA,NA,"11","15840","auto",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:22:37-03","UNICAMP","UEC","85868","S","Plantae","Magnoliopsida",NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Rossi, L; Cordeiro, I; Pastore, JFB; Silva, ELS","1477","1994","03","31",NA,"Brazil","São Paulo","Pindamonhangaba","Ribeirão Grande - Fazenda São Sebastião, Mata pluvial montana, mata de encosta.","-45.4599990844727","-22.9200000762939","900",NA,"Arvoreta cerca de 2m de altura, inflorescência e botões verdes, margem de riacho.","UEC109227","UEC109227","2011",NA,NA,"11","24176","auto","900",NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3677101","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.",NA,"P. Fiaschi & G. M. Antar","3910","2016","3","7","South America","Brazil","Río de Janeiro",NA,NA,"-44.6057","-22.4302","1200",NA,NA,"US01242195","US01242195_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"10","2021-03-15 18:25:04-03","USP","SPF","212858","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Fiaschi, P","3845","2012","01","13",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Estrada para o Atelier das Artes. Trilha para os Três Picos, início na antigo Hotel Simon.","-44.605694","-22.430222","1200",NA,"Arvoreta 3-5 m alt. Inflorescência com ramos verdes. Pouco frequente. Amostra em sílica-gel.; Floresta Ombrófila Densa Montana (Mata Atlântica). Floresta de encosta rica em bambus, antes da cachoeira Bela Vista.","SPF00212858","SPF00212858","2012","-44.605694","-22.430222","01",NA,NA,"1200",NA,NA,"13",NA,NA
"11","2021-03-15 18:25:04-03","USP","SPF","212860","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.",NA,"Fiaschi, P","3910","2012","03","07",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Estrada para o Atelier das Artes. Trilha para os Três Picos, início na antigo Hotel Simon.","-44.605694","-22.430222","1200",NA,"Arvoreta pouco frequente, ca. 4 m alt. Folhas discolores, com nervura principal bem clara na face abaxial. Inflorescências com ramos vináceos, principalmente na porção proximal, porção distal dos ramos verde-clara. Botões florais ver","SPF00212860","SPF00212860",NA,"-44.605694","-22.430222",NA,NA,NA,"1200",NA,NA,NA,NA,NA
"12","2019-11-13 11:15:38-03","USP","SPF","196537","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Brade, AC","14594","1935","05","24",NA,"Brasil","Rio de Janeiro","Itatiaia","Rio Bonito.","-44.5633010864258","-22.4960994720459","900",NA,NA,"SPF00196537","SPF00196537","2006",NA,NA,"09","19648","auto","900",NA,NA,NA,NA,NA
"13","2019-11-13 11:15:38-03","USP","SPF","99217","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Rossi, L","1477","1994","03","31",NA,"Brasil","São Paulo","Pindamonhangaba","Ribeirão Grande. Fazenda São Sebastião do Ribeirão Grande.","-45.4599990844727","-22.9200000762939","900",NA,NA,"SPF00099217","SPF00099217","2006",NA,NA,"05","24176","auto","900",NA,NA,NA,NA,NA
"14","2021-03-15 18:25:04-03","USP","SPF","222830","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Dendropanax","nebulosus","Dendropanax nebulosus","Fiaschi & Jung-Mend.","Fiaschi, P","Silva-Luz, CL","111","2010","11","30",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Cantareira, Núcleo Águas Claras. Av. Senador José Emírio de Marais. Divisa dos municípios de São Paulo e Mairiporã. ca. de 200 m do início da trilha para Pedra Grande. Lado direito da estrada.","-46.6300010681152","-23.5400009155273",NA,NA,"Arvoreta ca. 2,5 m alt. Inflorescências muito jovens. Voucher para estudos anatômicos.; Floresta ombrófila densa antropizada, com muitos pinheiros.","SPF00222830","SPF00222830","2010",NA,NA,"11","53584","auto",NA,NA,NA,"30",NA,NA
