"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:26:04-03","UNESC","CRI","11300","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","L. A. Funez","2012","11","19","L.A. Funez; A.E. Zermiani","1261","2012","11","19","Brasil","Santa Catarina","Rodeio","Marguem do Rio Itajaí-Açu.","-49.359722","-26.949722","49º21'35''W","26º56'59''S","84","84","Floresta Ombrófila Densa Habitat: mata ciliar Habito: árvore","CRI009711","CRI009711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:04-03","UNESC","CRI","6737","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","R. Reitz",NA,NA,NA,"R. Reitz","7412","1970","09","12","Brasil","Santa Catarina","Blumenau","Beira do Rio Itajaí-açu.","-49.066389","-26.92","49º3'59''W","26º55'12''S","64","64",NA,"CRI009717","CRI009717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:08-03","UNESC","CRI","3687","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","R. Záchia",NA,NA,NA,"R. Záchia","1484","1993","10","08","Brasil",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,"CRI009713","CRI009713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:08-03","UNESC","CRI","14324","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","Kassner-Filho, A.",NA,NA,NA,"Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1364","2017","10","27","Brasil","Santa Catarina","Rio Fortuna",NA,"-49.103611","-28.133889","49º6'13''W","28º8'2''S","147","147","flor creme Habitat: beira de rio Habito: árvore","CRI013505","CRI013505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:08-03","UNESC","CRI","2823","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","R. Reitz","1983",NA,NA,"R. R. Klein","11891","1980","10","21","Brasil","Rio Grande do Sul","São Lourenço do Sul",NA,"-51.978611","-31.365833","51º58'43''W","31º21'57''S",NA,NA,NA,"CRI009715","CRI009715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:08-03","UNESC","CRI","6828","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","R. M. Klein","1983","01","01","R. M. Klein","11891","1980","10","21","Brasil","Rio Grande do Sul","São Lourenço do Sul","Rio Camaquã.","-51.978611","-31.365833","51º58'43''W","31º21'57''S","6","6","Habito: arbórea","CRI009714","CRI009714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:08-03","UNESC","CRI","6429","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow; E. N. Garcia",NA,"1997","10","04","Brasil","Rio Grande do Sul","Arroio Grande","Barragem do Chasqueiro.","-53.087222","-32.238056","53º5'14''W","32º14'17''S",NA,NA,"Habito: arbórea","CRI009709","CRI009709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:08-03","UNESC","CRI","8213","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","Vanilde Citadini-Zanette","2008","10","30","Alencar Luzzietti Semler",NA,"2008","09","30","Brasil","Santa Catarina","Nova Veneza",NA,"-49.508056","-28.709444","49º30'29''W","28º42'34''S",NA,NA,NA,"CRI009718","CRI009718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:08-03","UNESC","CRI","3686","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","R. Záchia",NA,NA,NA,"R. Záchia","1425","1993","09","12","Brasil","Rio Grande do Sul","Manoel Viana",NA,"-55.484167","-29.586944","55º29'3''W","29º35'13''S",NA,NA,NA,"CRI009716","CRI009716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:26:04-03","UNESC","CRI","2825","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","R. Reitz",NA,NA,NA,"R. M. Klein",NA,"1974","12","26","Brasil","Santa Catarina","Blumenau","Limite Blumenau-Gaspar.","-49.066389","-26.92","49º3'59''W","26º55'12''S","64","64",NA,"CRI009712","CRI009712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:26:04-03","UNESC","CRI","14248","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","Funez, L.A.","2012","11","19","Funez, L.A.; Zermiani, A.E.","1261","2012","11","19","Brasil","Santa Catarina","Rodeio","Margem do Rio Itajaí-Açu. Margem do Rio Itajaí-Açu.","-49.359722","-26.949722","49º21'35''W","26º56'59''S","84","84",NA,"CRI013359","CRI013359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
