"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00907328","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","modesta","Eugenia modesta","DC.","C. M. D. E. Legrand","H. S. Irwin","28986a","1971","01","24","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 9 km W. of Barão de Cocais, at base of Serra da Caraça","-43.4775","-19.93955","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907328","NY00907328_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-01-12 11:09:00-02","NY","NYBG","00907274","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","modesta","Eugenia modesta",NA,"F. F. Mazine","L. R. Landrum","4296","1982","02","02","South America","Brazil","Minas Gerais","Caeté, Serra da Piedade. Km 1-5 on road to top of Serra","-43.75","-19.92","1200","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907274","NY00907274_01","Caeté",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00907830","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","modesta","Eugenia modesta","DC.","C. M. D. E. Legrand","E. Pereira","202","1953","10","05","South America","Brazil","Mato Grosso do Sul","Fazenda Marilândia","-57.6531","-19.0094",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907830","NY00907830_01","Corumbá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-01-12 11:09:00-02","NY","NYBG","00907275","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","modesta","Eugenia modesta",NA,"F. F. Mazine","L. R. Landrum","4276","1982","02","02","South America","Brazil","Minas Gerais","Caeté, Serra da Piedade. Km 1-5 on road to top of Serra","-43.75","-19.92","1200","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907275","NY00907275_01","Caeté",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01095595","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","modesta","Eugenia modesta","DC.","M. Sobral","Grupo Pedra do Cavalo","873","1980","10",NA,"South America","Brazil","Bahia","Roncador. Cahoeira/Bahia - Vale dos Rios - Paraguaçu e Jacuipe.","-39.08","-12.53","40","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1506397' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095595","NY01095595_01","Cachoeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00907828","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","racemulosa","Eugenia racemulosa","O.Berg","M. Sobral","H. S. Irwin","29633","1971","02","02","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 3 km N. of Mariana, road to Santa Bárbara","-43.41805556","-20.37495","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907828","NY00907828_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00907829","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","racemulosa","Eugenia racemulosa","O.Berg","M. Sobral","H. S. Irwin","30403","1971","01","15","South America","Brazil","Minas Gerais","Serra do Espinhaço, upper shrub covered slopes of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.7263889","-19.83305","1850","1850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907829","NY00907829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","557570","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","racemulosa","Eugenia racemulosa","O.Berg",NA,"A. G. Ferreira","R1186","1968","04","25","South America","Brazil","Mato Grosso","6 km N of the Base Camp of the Expedition. Close to the Xavantina-Sao Felix road","-51.87","-12.9",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557570","NY00557570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00907804","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","racemulosa","Eugenia racemulosa","O.Berg","M. Sobral","H. S. Irwin","29318","1971","01","28","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 12 km W. of Barão de Cocais, base of Serra da Caraça","-43.4927778","-20.1263","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907804","NY00907804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00907803","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","racemulosa","Eugenia racemulosa","O.Berg","M. Sobral","H. S. Irwin","29041","1971","01","24","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 10 km W. of Barão de Cocais","-43.4927778","-20.1263","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907803","NY00907803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
