"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","occurrenceRemarks","continentOcean","typeStatus","class","order","individualCount","phylum","fieldNumber","sex","preparationType"
"1","2020-04-27 16:08:55-03","UFES","VIES","10359","S","Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade","Kollmann, L.J.C.","2010","08","19","Kollmann, L.J.C.; Pizziolo, R.M.","12001","2010","08","19","Brasil","Espírito Santo","Santa Teresa","Alto do Rio Perdido.","-40.6002998352051","-19.9356002807617","23813","800","800","VIES010359","VIES010359","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:08:55-03","UFES","VIES","10384","S","Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade","Kollmann, L.J.C.","2010","11","01","Kollmann, L.J.C.","12074","2010","11","01","Brasil","Espírito Santo","Santa Teresa","Alto do Rio Perdido.","-40.6002998352051","-19.9356002807617","23813","800","800","VIES010384","VIES010384","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-16 08:38:43-03","UTFPR","HCF","16343","S","Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade","L. Kollmann","2009","01","19","L. Kollmann","11475","2009","01","19","Brasil","ES","Viana","Arredores da REBIO. São Paulo Viana,","-40.5375","-20.319167",NA,"507","507",NA,NA,NA,"40°32'15 W","20°19'09 S","planta subarbustiva, rupícola, heliófita, tricomas ferrugíneos, folha verde brilhosa na face adaxial. Flores brancas com indumento ferrugíneo na face abaxial.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:18:01-03","MBM","MBM","392623","PreservedSpecimen","Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade","Kollmann, L.","2009","01","19","Kollmann, L.; Fontana, A.P.; Goldenberg, R.; Forzza, R.C.; Fontana, A.P.; Goldenberg, R.; Forzza, R.C.","11475","2009","01","19","Brazil","Espírito Santo","Viana","São Paulo Viana, Arredores da REBIO, beira de estrada","-40.5375","-20.319167",NA,"507","507","MBM392623","MBM392623",NA,"-40.5375","-20.319167","Planta subarbustiva rupícola, heliófila, tricomas ferrugineos, folha verde brilhosa na face adaxial, flores brancas com indumento ferrugineona face abaxial.; Floresta Ombrófila Densa Montana.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-11 17:18:15-03","UFPR","UPCB","66057","PreservedSpecimen","Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade",NA,NA,NA,NA,"Kollmann, L.","11534","2009","04","11","Brasil","Espírito Santo","Viana","BLOQUEADO",NA,NA,NA,"507","507",NA,NA,NA,"9999","9999","Subarbusto 1,5m rupícola ao sol, folhas verde brilhosa na face adaxial, frutos verdes, flores brancas, folhas ferrugíneas na face abaxial..",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","40034",NA,"Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade","L. Kollmann/01-07-2010",NA,NA,NA,"M. C. Souza; A.P. Fontana, C.N.Fraga, R.F. Monteiro & .M.M. Saavedra","586","2008","01","15","Brasil","Espírito Santo","São Roque do Canaã","Distrito Alto Santa Julia. Misterioso. Pedra dos Três Carneiros, afloramento rochoso","-40.7575","-19.770833",NA,"586","586","MBML040034","MBML040034",NA,"40W45'27","19S46'15","Planta herbácea de 1m alt., flores com pétalas brancas. Habitat: Mata Atlântica. Hábito/Forma de Vida: arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","39335",NA,"Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade","L. Kollmann/10-2009",NA,NA,NA,"L. Kollmann; & A.P.Fontana","11838","2009","11","10","Brasil","Espírito Santo","Cariacica",NA,"-40.4199981689453","-20.2639007568359","18507",NA,NA,"MBML039335","MBML039335","auto",NA,NA,"Rupícola ao sol, folhas verdes, ferrugíneas na face abaxial, flores amarelas. Floração em cultivo.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","51124",NA,"Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade","L. Kollmann/07-12-2005",NA,NA,NA,"A. P. Fontana; S.M. Venzel & T.S. Coser","1848","2005","12","06","Brasil","Espírito Santo","Santa Teresa","Caldeirão, Fazenda da Onça, Propriedade do Sr. Ervídio Hortelã. Mata ciliar no Rio Santa Maria do Rio Doce","-40.6002998352051","-19.9356002807617","23813",NA,NA,"MBML051124","MBML051124","auto",NA,NA,"Rupestre, heliófila. Flores masculinas com botões brancos.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","12611",NA,"Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade","L. Kollmann/10-08-2000",NA,NA,NA,"V. Demuner; et al","1009","2000","05","10","Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis","-40.678056","-19.814167",NA,NA,NA,"MBML012611","MBML012611",NA,"40W40'41","19S48'51","Arbusto 2m, flores com asas verdes, pétalas brancas, antera amarela. Folha face dorsal, pecíolo e caule ferrugínea. Sobre a rocha, pouco sombreado.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","11309",NA,"Plantae","Begoniaceae","Begonia","kuhlmannii","Begonia kuhlmannii","Brade","L. Kollmann/09-07-2001",NA,NA,NA,"V. Demuner; et al","96","1999","10","13","Brasil","Espírito Santo","Santa Teresa","Pedra Alegre","-40.824722","-19.888889",NA,NA,NA,"MBML011309","MBML011309",NA,"40W49'29","19S53'20","Planta com botões florais, flores bege e frutos esverdeados. Localizada em cima da Pedra do Cruzeiro, ambiente aberto e ensolarado.",NA,NA,NA,NA,NA,NA,NA,NA,NA
