"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01081574","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","scandens","Merostachys scandens","Send.","isotype","T. Sendulsky","1319","1973","12","06","South America","Brazil","São Paulo","Sao Paulo","10 km south of center of city of Sao Paulo, in grounds of the Instituto de Botânica, Parque do Estado","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237993' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081574","NY01081574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00915502","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","scandens","Merostachys scandens","Send.",NA,"T. Sendulsky","1320","1973","12","06","South America","Brazil","São Paulo","Sao Paulo","10 km south of center of city of Sao Paulo, in grounds of the Instituto de Botânica, Parque do Estado.","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915502","NY00915502_01","R. Vinícius-Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:18:44-03","ESALQ","ESA","101354","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Merostachys","scandens","Merostachys scandens","Send.",NA,"Breier, T.B.","833.0","2003","01","07",NA,"Brasil","São Paulo","Assis",NA,"-50.4099998474121","-22.6599998474121",NA,NA,"ESA101354",NA,"Vinícius-Silva, R.","23972","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:18:44-03","ESALQ","ESA","86678","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Merostachys","scandens","Merostachys scandens","Send.",NA,"Silva, J.M.; Lucas, E.; Mazine, F.F.","3854.0","2003","11","04",NA,"Brasil","Paraná","Tibagi",NA,"-50.4136009216309","-24.5093994140625",NA,NA,"ESA086678",NA,"Vinícius-Silva, R.","56988","auto","2019","06","03",NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:16-02","BGBM","B","B 10 0421644","S","Plantae",NA,NA,"Gramineae","Merostachys","scandens","Merostachys scandens","Send.","isotype",NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,"São Paulo, Parque do Estado.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100421644 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100421644","B100421644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:19:00-03","UFV","VIC","48759","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","scandens","Merostachys scandens","Send.",NA,"Vinícius-Silva, R.; Neves, G.S.","125","2017","06","26",NA,"Brasil","São Paulo","São Paulo","Instituto de Botânica, Parque Estadual Fontes do I, trilha principal com início próximo ao CERAD","-46.6300010681152","-23.5400009155273",NA,"Indivíduo com, aproximadamente, 5-7 m de altura. Colmos inicialmente eretos e, posteriormente, inclinando sobre a vegetação. Entrenós com 50-60 cm de comprimento; verde com máculas amarelas, escabros. Planta encontrada em borda de mata","VIC048759","VIC048759","Vinícius-Silva, R.","53584","auto","2017","06","26","-466177","-236413","821","821",NA,NA,NA
"7","2021-03-01 16:20:32-03","UNICAMP","UEC","75763","S","Plantae","Liliopsida",NA,"Poaceae","Merostachys","scandens","Merostachys scandens","Send.",NA,"Souza, WS","1227","1987","11","26",NA,"Brazil","Paraná","Paranaguá","Ilha do Mel, Mar de Dentro-Miguel (Figueira).","-48.5092010498047","-25.5200004577637",NA,"Escandente atingindo até o dossel da floresta, próximo à base do Morro do Meio.","UEC083899","UEC083899",NA,"24916","auto","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-09 15:31:01-03","UNICAMP","UEC","137326","S","Plantae","Liliopsida",NA,"Poaceae","Merostachys","scandens","Merostachys scandens","Send.",NA,"Breier, TB; Bahrami, AK","833","2003","01","07",NA,"Brazil","São Paulo","Assis","Estação Ecológica Assis, Parcelas permanentes.","-50.4099998474121","-22.6599998474121",NA,NA,"UEC063240","UEC063240",NA,"23972","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:20:32-03","UNICAMP","UEC","139580","S","Plantae","Liliopsida",NA,"Poaceae","Merostachys","scandens","Merostachys scandens","Send.","isotypus","Sendulsky, T","1319","1973","12","06",NA,"Brazil","São Paulo","São Paulo","10 km south of center of city of São Paulo, in ground of the Instituto de Botânica, parque do estado","-46.6300010681152","-23.5400009155273",NA,"Native, growing spontaneously inside secondary forest","UEC055572","UEC055572","Sendulsky, T","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-01-20 15:05:15-02","MNHN","RECOLNAT_MNHN_P","P00640781","PreservedSpecimen",NA,NA,NA,"Poaceae","Merostachys","scandens","Merostachys scandens","Send.","isotype","Sendulsky, T.",NA,"1973","12","6",NA,"Brésil","Rio de Janeiro",NA,"State of sao Paulo. 10 km south of center of city of Sao Paulo, in grounds of the institute de Botanica, Parquo do Estado",NA,NA,"hb","1 specimen sur 2 parts: 1/2 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00640781' target='other'> <mi>dwc_moreinfo</mi></a>","P00640781","P00640781_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1319",NA,NA
"11","2015-09-27 13:13:03-03","MNHN","RECOLNAT_MNHN_P","P00640782","PreservedSpecimen",NA,NA,NA,"Poaceae","Merostachys","scandens","Merostachys scandens","Send.","isotype","Sendulsky, T.",NA,"1973","12","6",NA,"Brésil","Rio de Janeiro",NA,"State of sao Paulo. 10 km south of center of city of Sao Paulo, in grounds of the institute de Botanica, Parquo do Estado",NA,NA,"hb","1 specimen sur 2 parts: 2/2 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00640782' target='other'> <mi>dwc_moreinfo</mi></a>","P00640782","P00640782_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1319",NA,NA
