"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","396524","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata","(Vell.) C.Presl","J. Almeida","1291","1972","02","25","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada do Pico da Tijuca-Meu Recanto","-43.2075","-22.9031","440","440","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396524","NY00396524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03075464","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata","(Vell.) C.Presl","M. G. Bovini","830","1995","06","28","South America","Brazil","Rio de Janeiro","Paraty","Trilha para Pedra Rolada, ca. 300 m APA Cairuçú. APA Cairuçú","-44.7131004333496","-23.2178001403809",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3301646' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075464","NY03075464_01","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-05-17 10:20:00-03","NY","NYBG","02680589","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata",NA,"J. M. A. Braga","2190","1995","03","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Alto da Boa Vista, trilha para o Bico do Papagaio.","-43.2075004577637","-22.9027996063232",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2948950' target='other'> <mi>dwc_moreinfo</mi></a>","NY02680589","NY02680589_01","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03075155","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata","(Vell.) C.Presl","J. A. Oliveira","383","2013","08","06","South America","Brazil","Espírito Santo","Castelo","Mata ciliar alterada com pasto. Parque Estadual do Forno Grande","-41.0844444","-20.5091667","1129","1129","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3292429' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075155","NY03075155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02680624","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata","(Vell.) C.Presl","A. Quinet","258","1999","10","08","South America","Brazil","Rio de Janeiro","Duque de Caxias","Rio Pedra BRanca. Reserva da Petrobras","-43.233333","-22.516667",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2949041' target='other'> <mi>dwc_moreinfo</mi></a>","NY02680624","NY02680624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","396526","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata","(Vell.) C.Presl","M. S. Menandro","136","1988","09","06","South America","Brazil","Minas Gerais","Rio Vermelho","Fazenda Vargem do Machado","-43.0092","-18.2936",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396526","NY00396526_01",NA,NA,"P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02710370","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata","(Vell.) C.Presl","M. Gomes","1120","2015","11","28","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca, próximo a um pequeno córrego.","-43.266389","-22.968333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995809' target='other'> <mi>dwc_moreinfo</mi></a>","NY02710370","NY02710370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396525","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata","(Vell.) C.Presl","A. Gehrt","19740","1922","08","08","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra","-46.4097","-23.71",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396525","NY00396525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","396523","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata","(Vell.) C.Presl","C. Lemos","28178","1931","09","11","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra","-46.4097","-23.71",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396523","NY00396523_01",NA,NA,"P. C. Standley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02692642","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","stipulata","Bathysa stipulata","(Vell.) C.Presl","M. Gomes","516","1992","10","26","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Proximidades do alojamento.","-42.833333","-22.433333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987849' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692642","NY02692642_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
