"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","county","locality","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","67497","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Glaziova","insignis","Glaziova insignis","Hort","possible type","A. F. M. Glaziou","2757","South America","Brazil","Rio de Janeiro","sheet","Herb. Mus. Paris. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067497","NY00067497_01 NY00067497_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 17:24:00-03","NY","NYBG","00568020","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Lytocaryum","insigne","Lytocaryum insigne",NA,NA,"S. de V. A. Pessôa","350","South America","Brazil","Rio de Janeiro","sheet","Parcela 1A, microp. 10d, ind. 1955 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568020","NY00568020_01","1988","11","01","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, nacente do Rio das Flores","-42.05","-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:51:29-03","EAO","IAN","60389","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Arecaceae","Cocos","insignis","Cocos insignis","Mart. ex H.Wendl.",NA,"Glaziou, AFM","11637","Southern America","Brasil",NA,NA,NA,"IAN060389","IAN060389 IAN060389_e IAN060389_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:23:33-03","MN","R","44691","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","Mart. ex H. Wendl.",NA,"Glaziou, A.F.M.",NA,NA,"Brasil","Rio de Janeiro",NA,"Herb. J. de Saldanha; Gabinete de Botânica da Escola Polytechnica, 5293","R000044691","R000044691_001 R000044691_002","1879","03","25",NA,NA,NA,NA,"Glassman, S.F.","1966","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:42:01-03","JBP","HPL","11197","S","Plantae",NA,NA,"Arecaceae","Lytocaryum","insigne","Lytocaryum insigne",NA,NA,"H. Lorenzi","6538",NA,"Brasil","ES",NA,NA,NA,NA,"2008","11","14","Vargem Alta","Coletada a 5 km da estrada de Vargem Alta-ES, proximidade de Cachoeira de Itapemirim -ES, em Mata Atlântica, sobre terreno de encosta de solo com areia branca.","-40.936694","-20.513306","H. Lorenzi","2008","11","14","40° 56' 12,1 W","20° 30' 47,9 S","990","990",NA,NA,NA,NA,NA
"6","2016-02-02 14:38:51-02","BGBM","B","B 18 0001951","S","Plantae",NA,NA,"Palmae","Syagrus","insignis","Syagrus insignis","Becc.",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Cocos insignis; Instituto de Biologia Vegetal <a href=http://herbarium.bgbm.org/object/B180001951 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B180001951",NA,NA,NA,NA,NA,"Jardim Botanico Rio de Janeiro, Brasilien.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:38:51-02","BGBM","B","B 18 0002657","S","Plantae",NA,NA,"Palmae","Syagrus","insignis","Syagrus insignis","Becc.",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Ministerio da Agricultura, Industria e Commercio, Serviço de Plantas vivas e sementes; Cocos insignis; peso 15 grs <a href=http://herbarium.bgbm.org/object/B180002657 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B180002657",NA,NA,NA,NA,NA,"Jardim Botanico do Rio de Janeiro [Brasilien].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:10:06-03","UFES","VIES","29098","S","Plantae",NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Devansaye) Becc.",NA,"Assis, A.M.; Cribari, R.S.; Santos, R.; Santos, J.P.","4560",NA,"Brasil","Espírito Santo",NA,NA,"VIES029098","VIES029098","2018","07","28","Vargem Alta","RPPN Águia Branca.","-40.998611","-20.458889",NA,NA,NA,NA,"40º59'55''W","20º27'32''S","1200","1200",NA,NA,NA,NA,NA
"9","2020-12-21 16:13:34-03","MBM","MBM","169620","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Lytocaryum","insigne","Lytocaryum insigne","(Drude) Tol.",NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","61145","Southern America","Brazil","Espírito Santo",NA,NA,"MBM169620","MBM169620 MBM169620_1 MBM169620_2","1994","10","08","Alfredo Chaves","São Bento de Urânia","-40.749698638916","-20.6350002288818","Noblick, L.R.",NA,NA,NA,NA,NA,NA,NA,"32447","auto",NA,NA,NA
"10","2020-12-21 16:13:36-03","MBM","MBM","408412","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Rob.) Becc.",NA,"Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","1167","Southern America","Brazil","Rio de Janeiro",NA,"Palmeira arborescente 2,5 m alt. crescendo em Refúgio Vegetacional Altomontano; frutos.; Refúgio Vegetacional Altomontano.","MBM408412","MBM408412 MBM408412_1","2015","04","01","Campos dos Goytacazes","Parque Estadual do Desengano, Alto da Malhada Branca","-41.823889","-21.845833","Völtz, R.R.","2017","03","11","-41.823889","-21.845833","1530","1530",NA,NA,NA,NA,NA
"11","2015-10-03 04:20:08-03","MNHN","RECOLNAT_MNHN_P","P00726066","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.","syntype","Glaziou, A.",NA,NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00726066' target='other'> <mi>dwc_moreinfo</mi></a>","P00726066","P00726066_01",NA,NA,NA,NA,"R.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2757",NA,NA
"12","2015-09-03 20:47:12-03","MNHN","RECOLNAT_MNHN_P","P02147687","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147687' target='other'> <mi>dwc_moreinfo</mi></a>","P02147687","P02147687_01","1886","11","12","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","16479",NA,NA
"13","2015-09-03 20:47:12-03","MNHN","RECOLNAT_MNHN_P","P02147690","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147690' target='other'> <mi>dwc_moreinfo</mi></a>","P02147690","P02147690_01","1886","11","12","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","16479",NA,NA
"14","2015-09-03 20:47:12-03","MNHN","RECOLNAT_MNHN_P","P02147691","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147691' target='other'> <mi>dwc_moreinfo</mi></a>","P02147691","P02147691_01","1886","11","12","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","16471",NA,NA
