"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber","sex"
"1","2020-09-23 10:42:10-03","E","E","315752","PreservedSpecimen","Plantae","Orchidaceae","Thelyschista","ghillanyi","Thelyschista ghillanyi","Harley, R.M.; Nic Lughadha, E. & Queiroz, R.F.","50759","1992","01","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319522","<a href=http://data.rbge.org.uk/herb/E00315752 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","625774","PreservedSpecimen","Plantae","Orchidaceae","Thelyschista","ghillanyi","Thelyschista ghillanyi","S. A. Mori","13172","1979","12","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625774","Magnoliophyta","Asparagales","(Pabst) Garay","Bahia","Mucugê","A 3km ao S de Mucugê, na estrada que vai para Jussiape.","-41.3706","-13.0056","1000","1000","NY00625774_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","687075","PreservedSpecimen","Plantae","Orchidaceae","Thelyschista","ghillanyi","Thelyschista ghillanyi","R. M. Harley","50759","1992","01","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687075","Magnoliophyta","Asparagales","(Pabst) Garay","Bahia","Abaíra","Barra.","-41.77","-13.3","1300","1300","NY00687075_01","A. L. V. Toscano de Brito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625773","PreservedSpecimen","Plantae","Orchidaceae","Thelyschista","ghillanyi","Thelyschista ghillanyi","G. P. Lewis","940","1981","12","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475685' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625773","Magnoliophyta","Asparagales","(Pabst) Garay","Bahia","Lençóis","Mucugêzinho, km 220 ap. da rod. BR 242.","-41.43","-12.47","720","730","NY00625773_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:28:46-03","UFBA","ALCB","037894","PreservedSpecimen","Plantae","Orchidaceae","Thelyschista","ghillanyi","Thelyschista ghillanyi","Saar, E; Passos Júnior, LA; Guedes, ML; Stannard, B; Atkins, S","PCD4601","1997","01","28","Southern America","Brasil",NA,NA,"tomentosa. Folhas crassas. Flores com sépalas e pétalas esverdeadas; labelo esbranquiçado; coluna esverdeada. Raízes tuberosas, sem bulbos. Raro.","ALCB008452","Monocotyledon",NA,"(Pabst) Garay","Bahia","Lençóis","Chapada Diamantina, Trilha Lençóis-Capão, próximo a cachoeira Estrela do Céu","-41.4175","-12.569722","800","800","ALCB008452 ALCB008452_1","C. van den Berg","2013","01","07","-41.4175","-12.569722",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:28:46-03","UFBA","ALCB","135859","PreservedSpecimen","Plantae","Orchidaceae","Thelyschista","ghillanyi","Thelyschista ghillanyi","Carvalho, MLS; Alunos de Métodos de Estudos em Biologia","514","2018","01","26","Southern America","Brasil",NA,NA,"Aprox. 56 cm alt., flores esverdeadas, com raiz tubular.","ALCB064968","Monocotyledon",NA,"(Pabst) Garay","Bahia","Mucugê","Iníco da trilha do Parque Municipal de Mucugê - Projeto Sempre Viva","-41.62","-13.024167",NA,NA,NA,"Carvalho, MLS","2019","05",NA,"-41.62","-13.024167",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:46-03","UFBA","ALCB","61396","PreservedSpecimen","Plantae","Orchidaceae","Thelyschista","ghillanyi","Thelyschista ghillanyi","Roque, N; Alunos de Botânica III","s/n","2003","01","25","Southern America","Brasil",NA,NA,"terrestre de ca. 0,40 cm., encontrada entre rochas. Flores branco-perolada.","ALCB008462","Monocotyledon",NA,"(Pabst) Garay","Bahia","Mucugê","Chapada Diamantina, Parque Municipal, trilha da Sandália Bordada","-41.371944","-13.001389",NA,NA,"ALCB008462","Azevedo, C","2006","10",NA,"-41.371944","-13.001389",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:28:46-03","UFBA","ALCB","112158","PreservedSpecimen","Plantae","Orchidaceae","Thelyschista","ghillanyi","Thelyschista ghillanyi","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","4131","2014","01","25","Southern America","Brasil",NA,NA,"ca. 40 cm alt. Folhas concolores. Brácteas e sépalas verdes. Corola alvo-esverdeada.","ALCB008460","Monocotyledon",NA,"(Pabst) Garay","Bahia","Mucugê","Chapada Diamantina, Cemitério Bizantino.","-41.3708000183105","-13.0052995681763",NA,NA,"ALCB008460","Carvalho, DN","2014","09",NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:46:37-03","NBC","NL-BOTANY","U.1458910","PreservedSpecimen","Plantae","Orchidaceae","Odontorrhynchus","ghillanyi","Odontorrhynchus ghillanyi","Lewis GP; Carvalho AMV de; Hage JL",NA,"1981","12","21","Southern America","Brazil",NA,NA,"Campo rupestre, gerais; in open sandy areas, especially recently burnt over areas.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1458910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1458910",NA,"Asparagales","Pabst","Bahia",NA,"Brazil: Bahia: Mun. de Lençois, Mucugezinho, km. 220 ap. da rod. BR 242.","-41.433333","-12.466667",NA,NA,"NL-U1458910",NA,NA,NA,NA,"-41.433333","-12.466667",NA,NA,"Magnoliopsidae","U 0181883",NA,NA,NA,NA
"10","2014-11-06 16:18:38-02","UFPB","EAN","9419","S","Plantae","Orchidaceae","Thelyschista","ghillanyi","Thelyschista ghillanyi","L. P. Felix ; M. Guerra & W. Sanders.","9102","1999","01","21",NA,"Brasil",NA,NA,"Flores brancas..Habitat: Terrestre",NA,NA,NA,"(Pabst.) Garay","Bahia","Palmeiras",NA,"-41.5589","-12.5289",NA,NA,NA,"L. P. Felix","2003","06","23",NA,NA,"20767","auto",NA,NA,NA,NA,NA,NA
