"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","typeStatus","continentOcean","imagecode","verbatimLongitude","verbatimLatitude","class","order"
"1","2020-11-13 09:18:50-03","UFRJ","RFA","22406","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A.Schwarz","Tatiana konno","2001","10","16","s.c.","s.n.","1985","11","29","Brasil","Rio de Janeiro","Maricá","Comum na restinga","-42.8185997009277","-22.9193992614746","20726","Trepadeira; flores brancas","RFA18455","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:20:56-03","MN","R","178075","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A. Schwarz",NA,NA,NA,NA,"Souza, A.",NA,"1991","10","11","Brasil","Rio de Janeiro","Araruama",NA,"-42.3431015014648","-22.8728008270264","38914",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:20:56-03","MN","R","156961","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A. Schwarz",NA,NA,NA,NA,"Souza, A. 1503; Mezzalira, E. 70",NA,"1986","11","21","Brasil","Rio de Janeiro","Arraial do Cabo",NA,"-42.0278015136719","-22.966100692749","25964",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:20:56-03","MN","R","208112","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A. Schwarz",NA,NA,NA,NA,"Konno, T.U.P.","438","1995","10","19","Brasil","Rio de Janeiro","Cabo Frio",NA,"-42.0186004638672","-22.8794002532959","40069",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:20:56-03","MN","R","168723","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A. Schwarz",NA,NA,NA,NA,"Alves, M.V.S.; Rodrigues, M.",NA,"1989","08","05","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:20:56-03","MN","R","168725","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A. Schwarz",NA,NA,NA,NA,"Souza, A. 2550; Pereira, H. 38",NA,"1988","11","28","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:20:56-03","MN","R","160822","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A. Schwarz",NA,NA,NA,NA,"Souza, A.","1839","1987","09","23","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:20:56-03","MN","R","175210","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A. Schwarz","Fontella, J.P.","1988","11","08","Pereira, O.J. 552; Klein, V.L.G.",NA,"1986","09","15","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:20:56-03","MN","R","173916","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A. Schwarz",NA,NA,NA,NA,"Souza, A.","2234","1988","07",NA,"Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:20:56-03","MN","R","168720","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","maricaensis","Ditassa maricaensis","Fontella & E.A. Schwarz","Fontella, J.P.","1991","12","27","Ormond, W.T.; Pinheiro, M.C.B.",NA,"1987","11","13","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746","20726",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
