"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","03376823","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella","paratype","A. P. Duarte","8858","1965","02","22","South America","Brazil","Espírito Santo","Entre Linhares e São Matheus.","-39.961364","-19.055875","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3824907' target='other'> <mi>dwc_moreinfo</mi></a>","NY03376823","NY03376823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:08:27-03","NBC","NL-BOTANY","U.1769366","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Kuhlmann JG",NA,"1930","09","30","Southern America","Brazil",NA,"Corrego do Durao, Linhares, Rio Doce Espirito santo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1769366 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1769366","NL-U1769366","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:08:27-03","NBC","NL-BOTANY","U.1769367","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Kuhlmann JG",NA,"1930","09","30","Southern America","Brazil",NA,"Corrego do Dunao, Londares, Rio Doce, G. Santo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1769367 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1769367","NL-U1769367","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-24 17:10:06-03","UFES","SAMES","5649","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Ribeiro,M.; Menezes,L.F.T.;Broggio,I.S;Rocha,T.L.;Giaretta,A.O.;Rossini,J.;Hatum,A.C.C.","218","2010","07","14",NA,"Brasil","Espírito Santo","Povoação. Estrada de chão próximo ao Rio Doce. Floresta Aluvial caracterizada por cabruca.","-40.0722007751465","-19.3910999298096",NA,"Fruto verde claro (cinzentado). Habito: Árvore","SAMES05649",NA,NA,"Menezes,L.F.T.","2010","07","14","Linhares","-399775000.0","-194208334.0","48094","auto",NA,NA,NA
"5","2021-03-01 16:43:17-03","UNICAMP","UEC","181290","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Gomes, JML","4030","2011","05","07",NA,"Brazil","Espírito Santo","Trilha da Praça do Imbiruju.","-40.122778","-19.653056",NA,"Flona de Goytacazes.","UEC082983","UEC082983",NA,"Gomes, JML",NA,NA,NA,"Linhares","-40.122778","-19.653056",NA,NA,NA,NA,NA
"6","2021-03-01 16:43:17-03","UNICAMP","UEC","181282","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Pereira, OJ; Gomes, JML; Martins, MLL","3571","1992","06","24",NA,"Brazil","Espírito Santo","Área 135 da Aracruz Celulose S.A.","-40.222778","-18.9925",NA,"Planta com 20m de altura. Face abaxial da folha verde-claro. Casca rugosa, canelada. Fruto verde-amarelado.","UEC082977","UEC082977",NA,"Shimizu, GH","2014","06",NA,"Conceição da Barra","-40.222778","-18.9925",NA,NA,NA,NA,NA
"7","2021-03-01 16:43:17-03","UNICAMP","UEC","181283","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Pereira, OJ; Gomes, JML","4432","1992","07","10",NA,"Brazil","Espírito Santo","Área 135 da Aracruz Celulose S.A.","-40.222778","-18.9925",NA,"Planta com 30m de altura. Flor amarelada.","UEC082978","UEC082978",NA,"Shimizu, GH","2014","06",NA,"Conceição da Barra","-40.222778","-18.9925",NA,NA,NA,NA,NA
"8","2021-03-01 16:43:17-03","UNICAMP","UEC","181284","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Pereira, OJ; Gomes, JML; Coelho, FN","4872","1993","09","21",NA,"Brazil","Espírito Santo","Área 135 - Itaúnas.","-40.222778","-18.9925",NA,"Planta com 10 metros de altura.; Mata seca de Restinga.","UEC082979","UEC082979",NA,"Shimizu, GH","2014","06",NA,"Conceição da Barra","-40.222778","-18.9925",NA,NA,NA,NA,NA
"9","2019-08-20 10:28:18-03","UNICAMP","UEC","155329","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Silva, IA","304","1982","01","13",NA,"Brazil","Espírito Santo",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"UEC055965","UEC055965",NA,"Viana, MC","2002","03","20","Linhares",NA,NA,"48094","auto",NA,NA,NA
"10","2019-08-20 10:28:18-03","UNICAMP","UEC","155330","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Viana, MC; Farias, GL","501","1992","08","13",NA,"Brazil","Espírito Santo",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"UEC055966","UEC055966",NA,"Viana, MC","2002","03","20","Linhares",NA,NA,"48094","auto",NA,NA,NA
"11","2021-03-01 16:43:17-03","UNICAMP","UEC","155564","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Folli, DA","4636","2003","10","16",NA,"Brazil","Espírito Santo","Estrada Aceiro catelã Jueirana.","-40.0722007751465","-19.3910999298096",NA,"Porte Arbóreo, forma de vida terrestre, exsudação seiva incolor, descamação em escamas, fuste cilindrico, superfície da casca escamosa, altura total 22m, altura do fuste 13m, cap fuste 151 cm, diametro copa 8m.; Mata de Tabuleiro","UEC055801","UEC055801",NA,"Folli, DA","2003","10","16","Linhares",NA,NA,"48094","auto","400","400",NA
"12","2021-03-01 16:43:17-03","UNICAMP","UEC","155336","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Silva, IA","284","1982","01","06",NA,"Brazil","Espírito Santo","Reserva Natural da CVDR, Estrada do Louro.","-40.0722007751465","-19.3910999298096",NA,"Arbóreo;&nf;flora amarela;&nf;exsudação de seiva incolor;&nf;descamação em ripas;&nf;fuste cilindrico;&nf;25 m de altura;&nf;20m de fuste;&nf;Cap fuste (cm): 169,65;&nf;10m de diâmetro de copa;&nf;Num seq Matriz: 17;&nf;&nf;; Mata de tabuleiro.","UEC055959","UEC055959",NA,"Viana; Fontella, MC","2002","03","20","Linhares",NA,NA,"48094","auto","960","960",NA
"13","2021-03-01 16:43:17-03","UNICAMP","UEC","155334","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Silva, IA","236","1981","02","13",NA,"Brazil","Espírito Santo","Reserva Natural da CVDR, Estrada Farinha Seca.","-40.0722007751465","-19.3910999298096",NA,"Arbóreo;&nf;flora amarela;&nf;exsudação de seiva incolor;&nf;descamação em placas;&nf;fuste cilindrico;&nf;20 m de altura;&nf;15m de fuste;&nf;Cap fuste (cm):113,10;&nf;6m de diâmetro de copa;&nf;Num seq Matriz: 3;&nf;Fuste cilindrico.&nf;; Mata de tabuleir","UEC055962","UEC055962",NA,"Viana; Fontella, MC","2002","03","20","Linhares",NA,NA,"48094","auto","450","450",NA
"14","2021-03-01 16:43:17-03","UNICAMP","UEC","155335","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Spada, JS","2/78","1978","12","27",NA,"Brazil","Espírito Santo","Reserva Natural da CVDR, Estrada Flamengo.","-40.0722007751465","-19.3910999298096",NA,"Arbóreo;&nf;flora amarela;&nf;exsudação de seiva incolor;&nf;descamação em placas;&nf;fuste cilindrico;&nf;21 m de altura;&nf;15m de fuste;&nf;Cap fuste (cm):172,78;&nf;10m de diâmetro de copa;&nf;Num seq Matriz:&nf;Fuste cilindrico.&nf;; Mata de tabuleiro.","UEC055960","UEC055960",NA,"Viana; Fontella, MC","2002","03","20","Linhares",NA,NA,"48094","auto",NA,NA,NA
"15","2021-03-01 16:43:17-03","UNICAMP","UEC","155338","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Folli, DA","308","1981","02","05",NA,"Brazil","Espírito Santo","Reserva Natural da CVDR, Estrada Gávea.","-40.0722007751465","-19.3910999298096",NA,"Arbóreo;&nf;botáo verde claro;&nf;flora amarela;&nf;exsudação de seiva incolor;&nf;descamação em placas;&nf;Casca sulcada;&nf;fuste cilindrico;&nf;15 m de altura;&nf;6m de fuste;&nf;6m de diâmetro de copa;&nf;Num seq Matriz: 24&nf;Fuste cilindrico.&nf;; Mata","UEC055958","UEC055958",NA,"Viana; Fontella, MC","2002","03","20","Linhares",NA,NA,"48094","auto","190","190",NA
"16","2021-03-01 16:43:17-03","UNICAMP","UEC","155331","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","angelica","Vochysia angelica","M.C.Vianna & Fontella",NA,"Silva, IA","287","1982","01","07",NA,"Brazil","Espírito Santo","Reserva Natural Vale, Estrada Louro.","-40.0722007751465","-19.3910999298096",NA,"Arbóreo, terrestre, fuste cilíndrico, botão amarelo, flor amarelo, exsudação de seiva incolor, casca escamosa, 19m de altura, 11m de fuste, diâmetro da copa: 7m, Cap Fuste (cm): 109,96. Descamação em ripas. &nf;Num Seq Matriz: 19.; Mata","UEC055963","UEC055963",NA,"Viana; Fontella, MC","2002","03","20","Linhares",NA,NA,"48094","auto",NA,NA,NA
