"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:36:11-03","E","E","232778","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","Reynel, Carlos R.","414","1982","05","12","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:247092","<a href=http://data.rbge.org.uk/herb/E00232778 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00232778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:11-03","E","E","232775","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","Pariona, William A.","9","1985","09","26","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:247097","<a href=http://data.rbge.org.uk/herb/E00232775 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00232775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","23372","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","gardneri","Aspidosperma gardneri","G. Gardner","2666",NA,NA,NA,"South America","Brazil","sheet",NA,"com. am. Shuttleworth 1841 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00023372","Magnoliophyta","Gentianales","Müll.Arg.","syntype","Piauí","NY00023372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","970627","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","G. T. Prance","18937","1973","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970627","Magnoliophyta","Gentianales","Mart.",NA,"Mato Grosso","NY00970627_01","W. Marcondes-Ferreira","Chapada dos Guimarães","Chapada dos Guimarães. Road Buriti to Água Fria","-55.7494","-15.4608","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00748963","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","A. P. Duarte","2938","1950","08","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748963","Magnoliophyta","Gentianales","Mart.",NA,"Minas Gerais","NY00748963_01","W. Marcondes-Ferreira",NA,"Serra de Catiara","-46.677362","-19.172913","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01172437","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","R. Vilhena","182","1978","12","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388980' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172437","Magnoliophyta","Gentianales","Mart.",NA,"Pará","NY01172437_01","A. J. M. Leeuwenberg","Santarém","Belterra. Margem da estrada Pindobal-Porto Novo.","-54.960964","-2.593669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4177217","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","I. G. Vargas Caballero","3464","1994","10","22","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500477' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177217","Magnoliophyta","Gentianales","Mart.",NA,"Santa Cruz",NA,NA,"Chiquitos","Santiago de Chiquitos; 3 a 5 km al NE del pueblo, tramo entre al pueblo y la Serrania de Santiago de Chiquitos","-59.58","-18.33","500","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03231106","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","E. Hassler","10895","1907","11",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3550200' target='other'> <mi>dwc_moreinfo</mi></a>","NY03231106","Magnoliophyta","Gentianales","Mart.",NA,NA,"NY03231106_01","W. Marcondes-Ferreira",NA,"In altaplanitie et declivibus Sierra de Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01172430","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","S. A. Mori","16453","1983","09","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388790' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172430","Magnoliophyta","Gentianales","Mart.",NA,"Amapá","NY01172430_01 NY01172430_02","W. Marcondes-Ferreira",NA,"Camaipi. EMBRAPA reserve and vicinity","-51.62","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","970603","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","G. G. Hatschbach","59551","1993","06","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970603","Magnoliophyta","Gentianales","Mart.",NA,"Goiás","NY00970603_01","A. J. M. Leeuwenberg","Niquelândia","Pedra Rolada.","-48.4594","-14.4742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","440267","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","H. S. Irwin","14729","1966","04","13","South America","Brazil","sheet",NA,"see fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440267","Magnoliophyta","Gentianales","Mart.",NA,"Bahia","NY00440267_01","A. P. Duarte","Sao Desidério","Rio Piaui, ca. 150 km SW of Barreiras","-44.9731","-12.3633","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","970600","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","J. M. Pires","58032","1964","06","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970600","Magnoliophyta","Gentianales","Mart.",NA,"Minas Gerais","NY00970600_01","F. Markgraf",NA,"300 km de Brasília para Belo Horizonte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","970609","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","C. A. Cid Ferreira","6536","1985","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970609","Magnoliophyta","Gentianales","Mart.",NA,"Mato Grosso","NY00970609_01","W. Marcondes-Ferreira","Cuiabá","Rio Caxipozinho, próx. a Cachoeira Véu de Noiva. Área da Chapada dos Guimarães.","-55.93","-15.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","440265","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","W. R. Anderson","36669","1972","03","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440265","Magnoliophyta","Gentianales","Mart.",NA,"Bahia","NY00440265_01","A. P. Duarte","Barreiras","Espigão Mestre, ca. 100 km WSW of Barreiras.","-44.99","-12.15","760","760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02858876","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","D. da Silva Costa","12","2012","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704797' target='other'> <mi>dwc_moreinfo</mi></a>","NY02858876","Magnoliophyta","Gentianales","Mart.",NA,"Acre","NY02858876_01","E. C. Oliveira","Xapuri","Projeto de Assentamento Cachoeira, BR 317, km 16, Colocação do Sr. Nilsomar, alto duro,","-68.3908","-10.822428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
