"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","class","order","continentOcean","relatedCatalogItem","phylum","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType"
"1","2021-04-05 14:33:47-03","UNESC","CRI","899","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","subacuminata","Myrcia subacuminata","(Kiaersk.) M.F.Santos","L. R. M. Baptista","Vanilde Citadini-Zanette; Marcos Sobral e F. M. Bastos","1987","12","21","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","CRI005251","CRI005251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:24-03","UFRJ","RFA","26147","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","subacuminata","Marlierea subacuminata","Kiaersk.","G. M. Barroso","A. Quinet","2001","01","12","Brasil","Rio de Janeiro","Magé","-43.126389","-22.5675","43º7'35''W","22º34'3''S","RFA42095",NA,"2001","12","20","ago-64","Distrito de Piabetá, Estrada do Matão.","280","280","Árvore, 9 m de altura, 67 cm de DAP, folha discolor verde, flor branca, cálice verde, comum no local.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:24-03","UFRJ","RFA","26180","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","subacuminata","Marlierea subacuminata","Kiaersk.","G. M. Barroso","A. Quinet","2001","01","15","Brasil","Rio de Janeiro","Magé","-43.121667","-22.568889","43º7'18''W","22º34'8''S","RFA42099",NA,"2001","12","20","41/64","Distrito de Piabetá, Estrada do Matão.","280","280","Árvore, 3 m de altura, 12 cm de DAP, folha discolor verde, flor com botões verdes, comum no local.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:24-03","UFRJ","RFA","27180","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","subacuminata","Marlierea subacuminata","Kiaersk.","G. M. Barroso","A. Quinet","2001","03","05","Brasil","Rio de Janeiro","Magé","-43.117222","-22.567222","43º7'2''W","22º34'2''S","RFA42101",NA,"2001","12","20","32/76","Distrito de Piabetá, Estrada do Matão.","250","250","Árvore, 14 cm de DAP, folha verde discolor, flor com cálice verde e anteras amarelas, comum no local.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:06:42-03","NBC","NL-BOTANY","U 0294309","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","krapovickae","Marlierea krapovickae","D.Legrand",NA,"Reitz R; Klein RM","1956","08","03","Brazil","Santa Catarina",NA,"-53.733333","-26.533333","-53.733333","-26.533333","NL-U0294309",NA,NA,NA,NA,NA,"Santa Catarina, Filoes, Palhoça, Mata, Árvore.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200294309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Myrtales","Southern America","Uw6386",NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:06:42-03","NBC","NL-BOTANY","U.1451046","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","krapovickae","Marlierea krapovickae","D.Legrand",NA,"Reitz R; Klein RM","1956","08","03","Brazil","Santa Catarina",NA,"-53.733333","-26.533333","-53.733333","-26.533333","NL-U1451046","NL-U1451046",NA,NA,NA,NA,"Santa Catarina, Filoes, Palhoça, Mata, Árvore.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1451046 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Myrtales","Southern America",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:31:26-03","IAP","PACA-AGP","67465","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","krapovickae","Marlierea krapovickae","O. Berg","C. D. Legrand","Bresolin, A.","1974","01","15","Brasil","SC","Imaruí","-48.8199996948242","-28.3414001464844",NA,NA,"PACA067465",NA,"1976",NA,NA,"1106","Alto Rio D#?#Una","400","400","25m de altura. Flor em botão. herb. FLOR 3806. Habitat: mata Hábito: árvore","Magnoliatae","Myrtales",NA,NA,"Magnoliophyta","29971","auto",NA,NA,NA
"8","2021-03-01 16:36:27-03","UNICAMP","UEC","157850","S","Plantae","Myrtaceae","Marlierea","subacuminata","Marlierea subacuminata","Kiaersk.",NA,"Matsumoto, K; Gonçalves, APS","2002","10","15","Brazil","Espírito Santo","Linhares","-39.947778","-20.205","-39.947778","-20.205","UEC015710","UEC015710",NA,NA,NA,"826","Reserva CVRD, Aceiro próximo ao viveiro.",NA,NA,"Árvore ca 6 metros, estéril.",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"9","2021-03-01 16:36:27-03","UNICAMP","UEC","118421","S","Plantae","Myrtaceae","Marlierea","subacuminata","Marlierea subacuminata","Kiaersk.","Folli, DA","Folli, DA","1997","05","15","Brazil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"UEC008291","UEC008291","1997","05","15","3006","Reserva natural do CVRD. estrada aceiro do Viveiro. Ao lado da vala da bomba do viveiro.",NA,NA,"Arbóreo 7m de alt, CAP do fuste 42cm, fruto imaturo verde.; Mata ciliar.",NA,NA,NA,NA,"Magnoliopsida","48094","auto",NA,NA,NA
"10","2021-03-01 16:36:27-03","UNICAMP","UEC","130676","S","Plantae","Myrtaceae","Marlierea","subacuminata","Marlierea subacuminata","Kiaersk.","Sobral, M","Demuner, V; Bausen, E; Pizziolo, W","2000","04","11","Brazil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"UEC008271","UEC008271","2001",NA,NA,"886","São Lourenço. Mata do Martineli.",NA,NA,"Árvore 18m, DAP 45cm, fruste 9m, sépalas e estames brancos. Folha na face dorsal e pedúnculo coberto pôr pêlos marrons.Trilha Subindo o rio lado direito. Interior de mata.",NA,NA,NA,NA,"Magnoliopsida","23813","auto",NA,NA,NA
