"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","dayIdentified","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","781700","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis","(Sch.Bip. ex Baker) R.M.King & H.Rob.","A. F. M. Glaziou","16188","South America","Brazil","São Paulo","Serra de Mantiqueira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781700","NY00781700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1419215","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis","(Sch.Bip. ex Baker) R.M.King & H.Rob.","J. G. Jardim","2527","South America","Brazil","Bahia","Chapada Diamantina. Vertente E do Morro do Pai Inácio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139266' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419215","NY01419215_01","H. E. Robinson","2000","06","26","Lençóis","-41.3897","-12.5633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1183979","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis","(Sch.Bip. ex Baker) R.M.King & H.Rob.","M. M. Saavedra","344","South America","Brazil","Minas Gerais","Parque Estadual do Ibitipoca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459484' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183979","NY01183979_01","R. A. X. Borges","2007","01","23","Lima Duarte","-43.887946","-21.704555","1100","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1017665","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis","(Sch.Bip. ex Baker) R.M.King & H.Rob.","C. G. Fonseca","10","South America","Brazil","São Paulo","Parque do Estado (on old maps Parque de Agua Funda), grounds of the Instituto de Botanica. Ca. 10 km S of center of So Paulo (Praça da Sé)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017665","NY01017665_01","H. E. Robinson","1961","02","06","São Paulo","-46.63","-23.6","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-05-19 10:29:29-03","UFBA","ALCB","113889","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis","(Sch. Bip. ex Baker) R.M.King & H.Rob.","Guedes, ML; Medeiros, A; Alunos de Microbiologia de Adriana","21645","Southern America","Brasil","Bahia","Chapada Diamantina, Capão, Caminho para o Rio Capão.",NA,"Folhas cartáceas, discolores. Inflorescência capítulos, com flores cremes. Cipsela com papus cerdosos cremes.",NA,NA,"Roque, N","2014","05","02","Palmeiras","-41.492778","-12.646667","885","885","2014","06","-41.492778","-12.646667",NA,NA,NA,NA,NA,NA,NA
"6","2020-05-19 10:29:29-03","UFBA","ALCB","127349","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis","(Sch. Bip. ex Baker) R.M.King & H.Rob.","Calvo, J","7379","Southern America","Brasil","Bahia","Valle de Capão. WGS84",NA,"edge of woody vegetation at the valley bottom","ALCB044061","ALCB044061","Calvo, J","2016","12","24","Palmeiras","-41.492222","-12.639444","900","900","2017","02","-41.492222","-12.639444",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:00:57-03","ESALQ","ESA","105885","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis",NA,"Pifano, D.S.","218.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA105885","ESA105885","Esteves, R.L","2001","12","02",NA,NA,NA,NA,NA,"2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:00:57-03","ESALQ","ESA","105900","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis",NA,"Saavedra, M.M.","344.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA105900","ESA105900","Borges, R.","2007","01","23","Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA
"9","2019-11-21 14:31:14-03","UFJF","CESJ","38691","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis","(Sch.Bip. ex Baker) R.M.King & H.Rob.","A.V. Lopes; B.K.S. Franco; P.C.L. Faria","50","América do Sul","Brasil","Minas Gerais","Reserva Biológica da Represa do Grama",NA,"Árvore ca 8 m alt., na borda da mata. Frutos maduros secos e marrons.","CESJ038691","CESJ038691","R.C. Forzza","2002","05","18","Descoberto","-42.9674987792969","-21.4596996307373",NA,NA,"2004",NA,NA,NA,"11991","auto",NA,NA,NA,NA,NA
"10","2020-06-18 17:37:51-03","UFJF","CESJ","48894","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Austrocritonia","angulicaulis","Austrocritonia angulicaulis","(Sch.Bip. ex Baker) R.M.King & H.Rob.","A.S.M. Valente; L. Menini Neto; P.O. Garcia","437","América do Sul","Brasil","Minas Gerais","Mata do Krambeck",NA,"Árvore ca. 6m alr., na borda da mata de encosta. Estiletes alvos, periclínio verde.","CESJ048894","CESJ048894","A.C. Fernandes","2006","11","25","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,"2011","10",NA,NA,"36144","auto",NA,NA,NA,NA,NA
