"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","typeStatus"
"1","2021-04-05 14:34:00-03","UNESC","CRI","9952","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","T. J. Cadorin","2010","07","10","T. J. Cadorin; B. Grosch & C.P. Lopes","2997","2010","07","10","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá.","-48.87","-27.45","48º52'12''W","27º27'0''S","710","710","Floresta Ombrófila Densa Montana Habitat: interior do fragmento Habito: epífita de Alsophila","CRI008355","CRI008355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:55-03","UNESC","CRI","9945","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L. de Gasper",NA,NA,NA,"S. Dreveck; F. E. Carneiro","1324","2009","12","15","Brasil","Santa Catarina","Joinville","Serra Dona Francisca - SC-301.","-49.047778","-26.1925","49º2'52''W","26º11'33''S","27","27","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI008351","CRI008351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:55-03","UNESC","CRI","9941","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L. de Gasper","2010","03","23","T. J. Cadorin; B. Grosch, R. Zimmermann & C.P. Lopes","1265","2010","02","16","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Morro do Spitzkopf.","-49.118056","-27.006944","49º7'5''W","27º0'25''S","249","249","Floresta Ombrófila Densa","CRI008354","CRI008354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:00-03","UNESC","CRI","10110","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L. de Gasper","2012","09","26","L.A. Funez","960","2012","09","20","Brasil","Santa Catarina","Blumenau","RPPN Bugerkopf.","-49.073611","-26.922222","49º4'25''W","26º55'20''S","207","207","Floresta Ombrófila Densa Habitat: interior da mata Habito: epífita de Cyathea","CRI008358","CRI008358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:00-03","UNESC","CRI","9813","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L. de Gasper","2009","11","23","T. J. Cadorin; S.M. Clemes & C.P.L. Oliveira","690","2009","11","23","Brasil","Santa Catarina","Blumenau","Área Virgem do Parque Nacional da Serra do Itajaí.","-49.139167","-27.096944","49º8'21''W","27º5'49''S","660","660","Floresta Ombrófila Densa Habito: epífita de Cyathea","CRI008359","CRI008359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:55-03","UNESC","CRI","9897","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","S. Silveira","2010","05","31","A. Stival-Santos; E. Legal & S. Silveira","2920","2010","05","31","Brasil",NA,"Brasil","Cova da Onça.","-48.780833","-27.628889","48º46'51''W","27º37'44''S","236","236","Floresta Ombrófila Densa Habitat: beira de estrada Habito: epífita de Alsophila","CRI008357","CRI008357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:00-03","UNESC","CRI","9910","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L. de Gasper","2010","03","22","T. J. Cadorin; B. Grosch & C.P. Lopes","1017","2010","01","26","Brasil","Santa Catarina","Doutor Pedrinho","Forcação.","-49.585","-26.7275","49º35'6''W","26º43'39''S","785","785","Floresta Ombrófila Densa Habito: epífita de Cyathea","CRI008356","CRI008356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:00-03","UNESC","CRI","9812","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L. de Gasper","2010","05","20","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","4669","2010","05","05","Brasil","Santa Catarina","Rio Fortuna","Rio Bravo Baixo.","-49.136944","-28.080556","49º8'13''W","28º4'50''S","276","276","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita de Cyathea","CRI008360","CRI008360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:55-03","UNESC","CRI","9949","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","T. J. Cadorin","2010","06","24","T. J. Cadorin; B. Grosch, R. Zimmermann & C.P. Lopes","2827","2010","06","24","Brasil","Santa Catarina","Florianópolis","Parque Municipal da Lagoa do Peri.","-48.535","-27.724167","48º32'6''W","27º43'27''S","317","317","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita de Cyathea","CRI008363","CRI008363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:00-03","UNESC","CRI","9799","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L. de Gasper","2009","11","27","T. J. Cadorin; S.M. Clemes, C.P.L. Oliveira & E. Boing","488","2009","11","09","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá.","-48.87","-27.45","48º52'12''W","27º27'0''S","710","710","Floresta Ombrófila Densa Habito: epífita de Cyathea","CRI008349","CRI008349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:34:00-03","UNESC","CRI","9816","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","S. Silveira","2010","06","30","A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2790","2010","05","19","Brasil","Santa Catarina","Águas Mornas","Vargem Grande.","-48.871389","-27.718889","48º52'17''W","27º43'8''S","250","250","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI008361","CRI008361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:34:00-03","UNESC","CRI","9805","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L. de Gasper","2010","05","31","T. J. Cadorin; S.M. Clemes & C.P.L. Oliveira","2205","2010","05","10","Brasil","Santa Catarina","São Bento do Sul","Braço esquerdo.","-49.235556","-26.365","49º14'8''W","26º21'54''S","417","417","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita de Cyathea","CRI008364","CRI008364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:55-03","UNESC","CRI","9822","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L. de Gasper","2010","05","24","T. J. Cadorin; B. Grosch & C.P. Lopes","1133","2010","02","02","Brasil","Santa Catarina","Joinville","Rio Manso.","-49.14","-26.28","49º8'24''W","26º16'48''S","770","770","Floresta Ombrófila Densa","CRI008362","CRI008362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:34:00-03","UNESC","CRI","10026","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. L.de Gasper","2010","04","26","A. Stival-Santos; E. Legal e S. Silveira","2415","2010","04","06","Brasil","Santa Catarina","Angelina",NA,"-48.95","-27.533333","48º57'0''W","27º32'0''S",NA,NA,NA,"CRI008352","CRI008352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:34:00-03","UNESC","CRI","9942","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","M. Verdi","2010","06","17","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","5097","2010","06","17","Brasil","Santa Catarina","Alfredo Wagner","Alto Rio Lessa.","-49.229167","-27.721111","49º13'45''W","27º43'16''S","803","803","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita de xaxim","CRI008353","CRI008353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","679242","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price",NA,NA,NA,NA,"A. C. Brade","6522","1913","06",NA,"Brazil","São Paulo",NA,"Sa. de Cantareira.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679242","NY00679242_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","679244","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price",NA,NA,NA,NA,"P. K. H. Dusén","3651","1904","02","03","Brazil","Paraná","Ipiranga","Serra do Mar, Ypiranga.","-50.5842","-25.0242",NA,NA,"860","860","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679244","NY00679244_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","679252","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price",NA,NA,NA,NA,"J. A. Rohr","320","1945","08","12","Brazil","Santa Catarina","Florianópolis","Itacorubi, Ilha de Santa Catarina.","-48.495605","-27.5841629",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679252","NY00679252_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","679239","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price",NA,NA,NA,NA,"A. C. Brade","20801","1951","04","30","Brazil","São Paulo",NA,"Serra da Bocaina.","-44.647293","-22.798889",NA,NA,"1800","1800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679239","NY00679239_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","679249","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price",NA,NA,NA,NA,"F. C. Hoehne","20653","1927","06","03","Brazil","São Paulo",NA,"Serra Negra","-46.700581","-22.588987",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679249","NY00679249_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","679237","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price",NA,NA,NA,NA,"A. C. Brade","16317","1940","07","09","Brazil","Rio de Janeiro",NA,"Flora da Serra dos Orgaõs - Sto. Antonio.",NA,NA,NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679237","NY00679237_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","679241","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price",NA,NA,NA,NA,"A. C. Brade","8418","1925","09",NA,"Brazil","Paraná","Ipiranga","Ypiranga.","-50.5842","-25.0242",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679241","NY00679241_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","886548","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","F. B. Matos; P. H. Labiak E.",NA,NA,NA,"P. H. Labiak E.","4091","2007","07","13","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani.","-40.5383","-19.8053",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886548","NY00886548_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","679238","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price",NA,NA,NA,NA,"A. C. Brade","20799","1951","04","30","Brazil","São Paulo",NA,"Serra da Bocaina.","-44.647293","-22.798889",NA,NA,"1800","1800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679238","NY00679238_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","679250","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price",NA,NA,NA,NA,"G. Eiten","2170","1960","07","18","Brazil","São Paulo","Sao Paulo","About 10 km. due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.","-46.63","-23.5403",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679250","NY00679250_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","679251","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","A. Salino",NA,NA,NA,"A. Salino","s.n.","1993","03","26","Brazil","Paraná","Três Barras do Paraná","Canyon do Rio Guarani.","-53.17","-25.42",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679251","NY00679251_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
