"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","order","dayIdentified","fieldNumber","imagecode","coordinatePrecision","geoFlag","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","919667","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","D. P. da Costa","B. M. Boom","810","1981","04","28","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on road from Olivença to Buerarema","-39.1202492","-15.1148921","100","100","packeted","Expedition financed by the World Wildlife Fund-U.S. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","919666","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","D. P. da Costa","B. M. Boom","770","1981","04","25","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on road from Olivença to Buerarema","-39.1202492","-15.1148921","100","100","packeted","Expedition financed by the World Wildlife Fund-U.S. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:27:07-03","UFBA","ALCB","109328","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","Oliveira, HC","Oliveira, HC","2239","2011","06","15","Southern America","Brasil","Bahia","Igrapiúna","Reserva Ecológica da Michelin","-39.166667","-13.833333","92","383",NA,NA,NA,"-39.166667","-13.833333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:27:07-03","UFBA","ALCB","109345","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","Oliveira, HC","D.K.H.","129","2011","06","15","Southern America","Brasil","Bahia","Igrapiúna","Reserva Ecológica da Michelin","-39.166667","-13.833333","92","383",NA,NA,NA,"-39.166667","-13.833333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:27:07-03","UFBA","ALCB","109347","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","Oliveira, HC","D.K.H.","135","2011","06","15","Southern America","Brasil","Bahia","Igrapiúna","Reserva Ecológica da Michelin","-39.166667","-13.833333","92","383",NA,NA,NA,"-39.166667","-13.833333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:27:07-03","UFBA","ALCB","111601","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","Oliveira, HC","Oliveira, HC","2047","2010","08","06","Southern America","Brasil","Bahia","Igrapiúna","Reserva Ecológica da Michelin","-39.166667","-13.833333","92","383",NA,NA,NA,"-39.166667","-13.833333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:27:07-03","UFBA","ALCB","100090","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.",NA,"Oliveira, HC de","2141","2010","08","24","Southern America","Brasil","Bahia","Ubajara","Sítio São Luís","-6.681667","-3.804167","924","924",NA,"epífilo Sematophyllum adnatum (Michx) E. Britton.",NA,"-6.681667","-3.804167",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:27:07-03","UFBA","ALCB","100072","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.",NA,"Oliveira, HC de","2118","2010","08","24","Southern America","Brasil","Bahia","Ubajara","Sìtio São Luís","-6.681667","-3.804167","924","924",NA,"rupícolo",NA,"-6.681667","-3.804167",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:27:07-03","UFBA","ALCB","51643","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.",NA,"Bastos, C; Vilas Bôas-Bastos, SB","3559","2003","04","22","Southern America","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina, Capão da Sede","-40.887778","-11.650556","900","900",NA,"Corticícolo",NA,"-40.887778","-11.650556",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:27:07-03","UFBA","ALCB","51625","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.",NA,"Bastos, C; Vilas Bôas-Bastos, SB","3541","2003","04","22","Southern America","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina, Capão da Sede","-40.883333","-11.655278","900","900",NA,"Corticícolo",NA,"-40.883333","-11.655278",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-20 09:58:41-03","UNICAMP","UEC","191154","S","Plantae","Bryophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","Santos, ND","Santos, ND","2299","2009","06","20",NA,"Brazil","São Paulo","Ubatuba","Parcela B58, Núcleo Picinguaba, PE Serra do Mar, B58.17 Ramo de árvore","-44.835556","-23.336944","50","50",NA,"p.p. Plagiochila martiana; Crossomitrium patrisae; Porotrichum substriatum; Zelometeorium patulum",NA,"-44.835556","-23.336944","2010","09",NA,NA,NA,NA,NA,NA,NA
"12","2019-08-20 09:58:41-03","UNICAMP","UEC","191156","S","Plantae","Bryophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","Santos, ND","Santos, ND","1441","2011","02","23",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parcela P22, Núcleo Santa Virgínia, PE Serra do Ma, P22.10 Arbusto px P360","-45.183889","-23.601944","800","800",NA,"p.p. Phyllogonium viride; Radula nudicaulis; Plagiochila patula; Microlejeunea bullata; Ceratolejeunea cubensis; Archilejeunea parviflora",NA,"-45.183889","-23.601944","2011","04",NA,NA,NA,NA,NA,NA,NA
"13","2019-08-20 09:58:41-03","UNICAMP","UEC","191157","S","Plantae","Bryophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","Santos, ND","Santos, ND","2251","2009","06","20",NA,"Brazil","São Paulo","Ubatuba","Parcela B34, Núcleo Picinguaba, PE Serra do Mar, B34.22 Tronco fino <5cm diam. de árvore px B380","-44.835556","-23.336944","50","50",NA,"p.p. Porotrichum substriatum; Neckeropsis undulata; Porella brasiliensis; Stictolejeunea squamata",NA,"-44.835556","-23.336944","2010","09",NA,NA,NA,NA,NA,NA,NA
"14","2019-08-20 09:58:41-03","UNICAMP","UEC","191158","S","Plantae","Bryophyta","Metzgeriaceae","Metzgeria","brasiliensis","Metzgeria brasiliensis","Schiffn.","Santos, ND","Santos, ND","1572","2011","02","23",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parcela P49, Núcleo Santa Virgínia, PE Serra do Ma, P49.7 Tronco P871","-45.206944","-23.625","800","800",NA,"p.p. Bryopterys filicina; Plagiochila patentissima; Lepidopilidium brevisetum",NA,"-45.206944","-23.625","2011","04",NA,NA,NA,NA,NA,NA,NA
