"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","typeStatus","imagecode","class","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","01171387","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke","M. H. Terra-Araújo","R. de Lemos Fróes","568","1942","01","30","South America","Brazil","Amazonas","São Gabriel da Cachoeira","Basin of Rio Negro. Macubeta on Rio Marie","-67.0892","-0.130278","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1480436' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","273673","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"W. A. Ducke","812","1941","06","27","South America","Brazil","Amazonas",NA,"Manáos: circa cataractam minorem fluminis Tarumá","-60.0580502","-3.001413","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=538227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273673","isolectotype","NY00273673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1168596","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"W. A. Ducke","812 IIa col.","1947","09","17","South America","Brazil","Amazonas",NA,"Manáos, in silva humida con inundabili circa catactam minorem fluminis Tarumá","-60.0962609","-2.8743255","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1497041' target='other'> <mi>dwc_moreinfo</mi></a>","NY01168596","syntype","NY01168596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1168598","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"W. A. Ducke","812","1941","06","27","South America","Brazil","Amazonas",NA,"Manáos, in silva humida con inundabili circa catactam minorem fluminis Tarumá","-60.0962609","-2.8743255","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1497020' target='other'> <mi>dwc_moreinfo</mi></a>","NY01168598","isolectotype","NY01168598_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01168599","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke","T. D. Pennington","R. de Lemos Fróes","30501","1953","09","30","South America","Brazil","Pará","Monte Alegre","Região da Colônia da Mulata.","-54.0692","-2.00778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1480429' target='other'> <mi>dwc_moreinfo</mi></a>","NY01168599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1477234","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"W. A. Ducke","812","1941","06","27","South America","Brazil","Amazonas",NA,"Manáos, in silva humida con inundabili circa catactam minorem fluminis Tarumá","-60.0962609","-2.8743255","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1740321' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477234","isolectotype","NY01477234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U.1592741","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Ducke A",NA,"1947","09","17","Southern America","Brazil",NA,NA,"Plantas da Amazonia. Estado do Amazonas. Manaus, Rio Taruma, cachoeira baixa mata da beirada em solo arenoso. Arvore mediana fl. verde; casca doce e adstringente.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592741 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592741",NA,"NL-U1592741","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:39:09-02","BGBM","B","B 10 0413399","S","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Prov. Amazonas, Manaus.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100413399 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100413399","syntype","B100413399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-04-24 10:24:00-03","MO","MOBOT","100811148","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke","T.D. Pennington (K)","A. Ducke","Ducke 812","1941","6","27","South America","Brazil","Amazonas",NA,"Manáos, in silva humida non-inundabili circa cataractarum minorum fluminis Tarumá, in solo silicoso. Paú dôce vel Casca dôce.",NA,NA,NA,NA,NA,"Lectotype",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-08-31 08:55:02-03","INPA","INPA","13384","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke","Terra-Araujo, MH","Rodrigues, WA","4851","1962","11","29","Southern America","Brasil","Amazonas","Manaus","Cachoeira Baixa do Tarumã., Cachoeira baixa do Taruma","-60.096261","-2.874326",NA,NA,"INPA0013384",NA,"INPA0013384 INPA0013384_1 INPA0013384_1e INPA0013384_e",NA,NA,"2016","02","24","-60.096261","-2.874326",NA,NA,NA,NA
"11","2020-08-31 08:55:02-03","INPA","INPA","237363","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke","Terra-Araujo, MH","Santos, JFL","471","2010","09","27","Southern America","Brasil","Amazonas","Barcelos","Tapiira","-62.233333","-1.766667",NA,NA,"INPA0237363",NA,"INPA0237363_nd INPA0237363_num",NA,NA,"2011","09",NA,"-62.233333","-1.766667","30","30",NA,NA
