"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","class","order","infraspecificEpithet","scientificNameAuthorship","country","stateProvince","recordedBy","recordNumber","year","month","day","continentOcean","county","locality","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4534","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Carlos Alberto Ferreira Júnior","2019","04","11","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4404","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Carlos Alberto Ferreira Júnior","2018","08","21","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2226","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata var. concolor l.c.menezes",NA,NA,NA,NA,NA,"254","Magnoliophyta","Equisetopsida","Asparagales","var. concolor l.c.menezes","Lindl.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2226","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata var. concolor l.c.menezes",NA,NA,NA,NA,NA,"254","Magnoliophyta","Equisetopsida","Asparagales","var. concolor l.c.menezes","Lindl.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414823","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata vera","F. C. Hoehne",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21788' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","vera","J.H.Veitch","Brazil","São Paulo","A. Gehrt","27091","1928","04","15","South America","Sao Paulo","Piñeiros, Sao Paulo","-46.63","-23.54","sheet","NY00414823","NY00414823_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","414821","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478131' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales",NA,"Lindl.","Brazil",NA,"G. Gardner","244","1836",NA,NA,"South America",NA,"Brasilia",NA,NA,"sheet","NY00414821","NY00414821_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","414822","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata mossiae",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392731' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta",NA,"Asparagales","mossiae","(Hook.) Lindl.","Venezuela","Monagas","J. A. Steyermark","62147","1945","04","17","South America",NA,"In coffee hacienda of Juan Bautista Simonpietri, on south side of río Caripe, Caripe",NA,NA,"sheet","NY00414822","NY00414822_01","850","850",NA,NA,NA,NA,NA
"8","2021-03-30 12:52:42-03","EAO","IAN","97049","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata labiata","Pabst, GFJ","1959","02",NA,NA,"Flor roxo-clara.","Monocotiledônea",NA,NA,"labiata","Lindl.","Brasil","Ceará","Guedes, TN","557","1958","03","12","Southern America",NA,"Serra de Meruóca; mata.",NA,NA,NA,"IAN097049",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:36-03","PUCPR","HUCP","11519","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Lineu, R",NA,NA,NA,NA,NA,"Monocotiledonea",NA,NA,NA,"Lindl.","Brasil","Paraná","Vaccari, LR","001","1998","03","29",NA,"Curitiba","Água Verde","-49.2731018066406","-25.4277992248535",NA,"HUCP00002634","HUCP00002634",NA,NA,"25180","auto",NA,NA,NA
"10","2019-10-09 11:28:36-03","UFBA","ALCB","010646","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Queiroz, LP de","1983","12",NA,NA,"epífita em cacaueiro. Folhas suculentas, verdes, semicoriáceas, discolores. Flores vistosas, roxas com parte interna do labelo amarelado.","Monocotyledon",NA,NA,NA,"Lindl.","Brasil","Bahia","Guedes, ML","870","1983","12",NA,"Southern America","Floresta Azul","Litoral Sul","-39.65","-14.85",NA,NA,NA,NA,NA,NA,NA,"-39.65","-14.85",NA
