"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02491430","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trixis","glaziovii","Trixis glaziovii","Baker","G. G. Hatschbach","55548","1991","06","14","South America","Brazil","Minas Gerais","Caparaó","Parque Nacional do Caparaó, próx. a Cachoeira Bonita.","-41.9043998718262","-20.523099899292","15056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2736992' target='other'> <mi>dwc_moreinfo</mi></a>","NY02491430","NY02491430_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:03-03","MCN-PUC-MINAS","HPUC-MG","ANG3421","S","Plantae",NA,NA,"Asteraceae","Trixis","glaziovii","Trixis glaziovii",NA,"M.F.Vasconcelos","15-192","2015","04","23",NA,"Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça - Município de Catas Altas","-43.483333","-20.1",NA,NA,"Corola laranja.",NA,NA,NA,"J.Nakanima","43°29'W","20°06'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:19:06-03","UFRJ","RFA","23045","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","glaziovii","Trixis glaziovii","Baker","F. Segadas-Vianna; L. Dau; W.T. Ormond; G.C. Machline",NA,"1953","03",NA,NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia","-44.4467010498047","-22.468900680542","36089",NA,NA,"RFA39097",NA,"auto","Graziela M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:21-03","UFRJ","RFA","23146","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","glaziovii","Trixis glaziovii","Baker","Newton Santos","5054","1964","02","07",NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia, Abrigo Rebouças.","-44.4467010498047","-22.468900680542","36089",NA,NA,"RFA18836",NA,"auto","Graziella M.Barroso",NA,NA,"2350","2350",NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:21-03","UFRJ","RFA","24252","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","glaziovii","Trixis glaziovii","Baker","F. M. de B. Pereira","293","2000","04","28",NA,"Brasil","Minas Gerais","Itamonte","Distrito Dois Irmãos Comarca de Itanhandú Fazenda dois Irmãos","-44.642778","-22.238889",NA,NA,"Erva de flores verdes","RFA37343",NA,NA,"R. Esteves","44º38'34''W","22º14'20''S","1300","1300",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:06-03","UFRJ","RFA","27036","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","glaziovii","Trixis glaziovii","Baker","F. B. Pereira","22/78","2001","03","09",NA,"Brasil","Minas Gerais","Itamonte","Fazenda Campo Redondo e Dois Irmãos","-44.650833","-22.246667",NA,NA,"Erva, flor laranja, comum no local","RFA37340",NA,NA,"R. Esteves","44º39'3''W","22º14'48''S","1393","1393","2001","09","10",NA,NA,NA,NA
"7","2020-11-13 09:19:06-03","UFRJ","RFA","23144","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","glaziovii","Trixis glaziovii","Baker","F. Segadas-Vianna",NA,"1945","03","07",NA,"Brasil","Rio de Janeiro","Itatiaia","Planalto","-44.5633010864258","-22.4960994720459","19648",NA,NA,"RFA39092",NA,"auto","Graziela M. Barroso",NA,NA,NA,NA,"1964","09","22",NA,NA,NA,NA
"8","2020-11-13 09:19:06-03","UFRJ","RFA","819","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","glaziovii","Trixis glaziovii","Baker","F. Segadas-Vianna",NA,"1945","02","07",NA,"Brasil","Rio de Janeiro","Resende","Planalto do Itatiaia.","-44.4467010498047","-22.468900680542","36089",NA,NA,"RFA27421",NA,"auto","Graziela M. Barroso",NA,NA,NA,NA,"1964","09","22",NA,NA,NA,NA
"9","2019-11-19 15:43:26-03","UNEB","HUNEB","11806","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Trixis","glaziovii","Trixis glaziovii","Baker","Almeida, G.S.S.","694","2007","05","10",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: Trilha do Tesoureiro.","-43.5080986022949","-20.2875003814697","44599",NA,NA,"HUNEB0011806",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"10","2021-03-30 12:35:11-03","EAO","IAN","23929","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Trixis","glaziovii","Trixis glaziovii","Baker","Glaziou, AFM","6582",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN023929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
