"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","445823","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Lafoensia","nummulariifolia","Lafoensia nummulariifolia","A.St.-Hil.","J. C. Lindeman","J. C. Lindeman","30812","1966","10","17","South America","Brazil","Paraná","Jaguariaíva","3 km N. of Rio 5 Reis, towards Jaguariaíva","-49.7056","-24.2511","sheet","[digit either crossed out or overwritten in coll#; possibly 3082 - see label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445823","NY00445823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","445820","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Lafoensia","nummulariifolia","Lafoensia nummulariifolia","A.St.-Hil.","A. C. Cervi","A. C. Cervi","3791","1992","09","29","South America","Brazil","Paraná","Jaguariaíva","Rio das Mortes","-49.68","-24.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28833' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445820","NY00445820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","445822","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Lafoensia","nummulariifolia","Lafoensia nummulariifolia","A.St.-Hil.","A. Uhlmann","C. Kozera","616","1997","10","31","South America","Brazil","Paraná","Jaguariaíva","Rio das Mortes","-49.65","-24.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445822","NY00445822_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","445824","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Lafoensia","nummulariifolia","Lafoensia nummulariifolia","A.St.-Hil.","A. Lourteig","L. B. Smith","14720","1965","01","17","South America","Brazil","Paraná","Arapoti","By Jaguariaiva boundary","-49.35","-24.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445824","NY00445824_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","445821","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Lafoensia","nummulariifolia","Lafoensia nummulariifolia","A.St.-Hil.","G. G. Hatschbach","G. G. Hatschbach","31111","1973","01","10","South America","Brazil","Paraná","Jaguariaíva","Corrego 3 Bocas","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445821","NY00445821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","445825","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Lafoensia","nummulariifolia","Lafoensia nummulariifolia","A.St.-Hil.","P. K. H. Dusén","P. K. H. Dusén","15977","1914","11","18","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445825","NY00445825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","445819","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Lafoensia","nummulariifolia","Lafoensia nummulariifolia","A.St.-Hil.",NA,"S. A. T. Graham","912","1982","03","22","South America","Brazil","Paraná","Jaguariaíva","On PR 151 at Rio Tres Solas, 10 km N of Intersection into Jaguariaiva","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445819","NY00445819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-24 17:10:47-03","UTFPR","DVPR","849","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lythraceae","Lafoensia","nummularifolia","Lafoensia nummularifolia","A.St.-Hil.","Estevan, DA","Estevan, DA; et al.","1209","2006","09","05",NA,"Brasil","Paraná","Ventania","Morro do Chapéu","-50.2428016662598","-24.2458000183105",NA,"Arbusto 2m, pétalas e estames amarelos.; Cerrado.","DVPR000849","DVPR000849",NA,NA,"2006","32424","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:43:20-03","EAO","IAN","183283","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Lafoensia","nummularifolia","Lafoensia nummularifolia","A.St.-Hil.","Scaramuzza, CAM","Souza, VC; Miyagi, PH; Souza, JP","7072","1994","11","12","Southern America","Brasil","São Paulo","Itapeva","Estação Ecológica de Itapeva. Cerrado.","-49.0525","-24.073611",NA,"Arbusto, até 2m de altura;flores alvas, frutos castanhos.","IAN183283",NA,NA,NA,"1995",NA,NA,"04","-49.0525","-24.073611",NA,NA,NA,NA,NA
"10","2019-10-09 11:18:37-03","UFBA","ALCB","040496","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Lafoensia","nummularifolia","Lafoensia nummularifolia","A.St.-Hil.","Hatschbach, G","Hatschbach, G; Barbosa, E; Deodato, F","67102","1997","10","15","Southern America","Brasil","Paraná","Jaguariaíva","Fazenda Cajuru.","-49.7","-24.25",NA,"Ca. 2m.; flor alva.","ALCB056509",NA,NA,NA,"1997",NA,NA,NA,"-49.7","-24.25",NA,NA,NA,NA,NA
