"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:25:38-03","UNESC","CRI","14467","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa","Sobral","Cadorin, TJ","2010","10","13","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1151","2010","02","02","Brasil","Santa Catarina","Joinville","Rio Manso. Rio Manso.","-49.14","-26.28","49º8'24''W","26º16'48''S","770","770","Florística IFFSC e1025a (Arbórea) - forófito 1 Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: arbórea; Fruto amarelo;","CRI013622","CRI013622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:38-03","UNESC","CRI","13035","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa","Sobral","Seubert, RC","2014","08","20","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","109","2014","08","20","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.196944","-27.109722","49º11'49''W","27º6'35''S","650","650","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arvoreta;","CRI011724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:38-03","UNESC","CRI","806","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa","Sobral","Ribeiro, C.L.","2019","08","05","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1169","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: caatinga Habito: árvore","CRI005173","CRI005173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:38-03","UNESC","CRI","1112","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa","Sobral","Ribeiro, C.L.","2019","08","05","Clair Maria Martinello; Aurélio José de Aguiar",NA,"1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: árvore","CRI005171","CRI005171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:38-03","UNESC","CRI","1113","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa","Sobral","Ribeiro, C.L.","2019","08","05","Clair Maria Martinello; Aurélio José de Aguiar",NA,"1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: árvore","CRI005169","CRI005169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:38-03","UNESC","CRI","3622","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa","Sobral","Ribeiro, C.L.","2019","08","05","Vanilde Citadini-Zanette",NA,"1991","09","12","Brasil","Santa Catarina","Orleans",NA,"-49.285278","-28.368333","49º17'7''W","28º22'6''S",NA,NA,NA,"CRI005172","CRI005172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-01-12 10:50:00-02","NY","NYBG","557815","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa",NA,"F. F. Mazine",NA,NA,NA,"Á. L. Cabrera","9974","1960","09","24","Brazil","Santa Catarina","Joinville","Salto de Cubatao, Joinville","-48.8456","-26.3044",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557815","NY00557815_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","557809","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa","Sobral","F. F. Mazine",NA,NA,NA,"G. G. Hatschbach","40402","1977","10","25","Brazil","Paraná","Tijucas do Sul","Pirai","-49.1989","-25.9283",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557809","NY00557809_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557806","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa","Sobral","F. F. Mazine",NA,NA,NA,"R. Kummrow","1572","1981","10","03","Brazil","Paraná","Tijucas do Sul","Represa de Vossoroca","-49.1989","-25.9283",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557806","NY00557806_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557810","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neoverrucosa","Eugenia neoverrucosa","Sobral","F. F. Mazine",NA,NA,NA,"G. G. Hatschbach","22733","1969","10","29","Brazil","Paraná","Sao José dos Pinhais","Col. S. Andrade","-49.2064","-25.5347",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557810","NY00557810_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
