"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","year","month","locality","minimumElevationInMeters","day","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00777747","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata","(Mart.) Becc.","L. R. Noblick","A. F. M. Glaziou","s.n.","South America","Brazil","Rio de Janeiro","sheet","Reçu le 28 Avril 1879 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493866' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777747","NY00777747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-01-04 15:29:00-02","NY","NYBG","02326415","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata odorata","(Barb.Rodr.) Becc.",NA,"Collector unknown","346a","South America","Uruguay","Rocha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2572985' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326415","NY02326415_01","odorata","1930","10","Castillos","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00777746","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata","(Mart.) Becc.","L. R. Noblick","A. F. M. Glaziou","20535","South America","Brazil",NA,"sheet","Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777746","NY00777746_01",NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00777744","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata odorata","(Barb.Rodr.) Becc.","L. R. Noblick","A. Krapovickas","23078","South America","Brazil","Santa Catarina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777744","NY00777744_01","odorata","1973","01","35 km N de Itajaí, a orillas del mar",NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 20:08:00-03","NY","NYBG","02326410","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata odorata","(Barb.Rodr.) Becc.",NA,"G. Herter","507(80863)","South America","Uruguay","Montevideo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2572979' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326410","NY02326410_01","odorata","1926","09","Miguelete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02326407","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata","(Mart.) Becc.",NA,"M. Dematteis","1653","South America","Uruguay","Rocha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2572967' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326407","NY02326407_01",NA,"2005","02","Arroyo Zanja Honda",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","567909","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata","(Mart.) Becc.",NA,"L. R. Noblick","5097","South America","Brazil","Goiás","packeted","FTG Garden accession number 96117 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567909","NY00567909_01 NY00567909_02 NY00567909_03 NY00567909_04 NY00567909_05",NA,"1996","02","Just S of the village of Vila Reis. On the road to Sitio d'Abadias, ca. 3 km S of Diamanópolis.","750","03","Damianópolis","-46.2","-14.6356","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","567913","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata","(Mart.) Becc.",NA,"L. R. Noblick","5089","South America","Brazil","Goiás","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567913","NY00567913_01 NY00567913_02 NY00567913_03 NY00567913_04",NA,"1996","02","Ca. 13.1 km NW of Sitio d'Abadia, on the road to Alborada do Norte.","960","02","Sitio d'Abadia","-46.3803","-14.7317","960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00567912","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata","(Mart.) Becc.","L. R. Noblick","L. R. Noblick","5088","South America","Brazil","Goiás","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567912","NY00567912_01 NY00567912_02 NY00567912_03 NY00567912_04 NY00567912_05",NA,"1996","02","Sitio d'Abadia, ca. 13.1 km NW of Sitio d'Abadia, on the road to Alborada do Norte.","960","02","Sitio d'Abadia","-46.3803","-14.7317","960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","567911","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","capitata","Butia capitata","(Mart.) Becc.","L. R. Noblick","L. R. Noblick","4644","South America","Brazil","Bahia","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567911","NY00567911_01 NY00567911_02 NY00567911_03 NY00567911_04 NY00567911_05 NY00567911_06",NA,"1988","10","23 km S of Coribe on road to Cocos.","600","18","Coribe","-44.47","-13.83","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
