"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","infraspecificEpithet","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1844036","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","G. G. Hatschbach","23622","1970","02","16","South America","Brazil","Mato Grosso do Sul","Rio Brilhante","Entroncamento.","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134918' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844036","NY01844036_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1844021","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","G. G. Hatschbach","36364","1975","02","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","GO-12, Chapada dos Veadeiros.","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134783' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844021","NY01844021_01","1200","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1844022","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","J. C. Lindeman","875","1966","04","03","South America","Brazil","Paraná","Sao Tomé","Fazenda Lagoa, S. of the Rio Ivaí, ca. 15 km E. of Sao Tomé","-52.5906","-23.5381","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134800' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844022","NY01844022_01","225","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1844015","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","H. S. Irwin","16447","1966","06","02","South America","Brazil","Mato Grosso",NA,"Ca. 84 km. N. of Xavantina. Serra do Roncador.","-52.1","-13.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134422' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844015","NY01844015_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1844037","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","W. R. Anderson","9580","1973","05","01","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 25 km (straight line) SW of Caiapônia","-51.81666667","-17.1071","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134919' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844037","NY01844037_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1843988","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","H. S. Irwin","24243","1969","03","11","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 42 km south of Cavalcante","-47.5","-14.17962","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134321' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843988","NY01843988_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1843987","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","H. S. Irwin","32128","1971","03","18","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km N of Alto Paraíso","-47.5167","-13.93593","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134320' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843987","NY01843987_01","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1844035","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","G. G. Hatschbach","14266","1966","04","28","South America","Brazil","Paraná","Cianorte","Fda. Lagoa.","-52.6047","-23.6633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134916' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844035","NY01844035_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1844038","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","W. R. Anderson","9580","1973","05","01","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 25 km (straight line) SW of Caiapônia","-51.81666667","-17.1071","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134923' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844038","NY01844038_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9082","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","paludicolum","Cyrtopodium paludicolum","Hoehne","Amaral Jr., A.","1358","1973","01","03",NA,"Brasil","São Paulo","Botucatu","Próximo à subestação da USELPA, a mais ou menos 6km da cidade de Botucatu",NA,NA,NA,NA,"BOTU009082",NA,NA,NA,"Amaral Jr., A.","1973","02","23","9999","9999",NA,NA,NA,NA,NA,NA,NA
