"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","typeStatus","continentOcean"
"1","2019-10-07 09:14:35-03","UEFS","HUEFS","96670","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Gentianales","Rubiaceae","Mitracarpus","eritrichoides","Mitracarpus eritrichoides","Standl.","E.B.Souza","2007","06","Souza, E.B.","1265","2005","04","20","Brasil","Mato Grosso","Acorizal","BR - 251 entre a cidade de Chapada dos Guimarães e Cuiabá, ca. 10 Km Cuiabá.","-56.058611","-15.480278","56W3'31''","15S28'49''","208","208","HUEFS0096670","HUEFS0096670",NA,NA,NA
"2","2019-10-07 09:14:35-03","UEFS","HUEFS","96668","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Gentianales","Rubiaceae","Mitracarpus","eritrichoides","Mitracarpus eritrichoides","Standl.","E.B.Souza","2007","06","Souza, E.B.","1263","2005","04","19","Brasil","Mato Grosso","Cuiabá","BR - 251 entre a cidade de Chapada dos Guimarães e Cuiabá, ca. 10 Km Cuiabá.","-56.058611","-15.480278","56W3'31''","15S28'49''","208","208","HUEFS0096668","HUEFS0096668","Campo cerrado.",NA,NA
"3","2019-10-07 09:14:35-03","UEFS","HUEFS","96669","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Gentianales","Rubiaceae","Mitracarpus","eritrichoides","Mitracarpus eritrichoides","Standl.","E.B.Souza","2007","06","Souza, E.B.","1264","2005","04","19","Brasil","Mato Grosso","Cuiabá","BR - 251 entre a cidade de Chapada dos Guimarães e Cuiabá, ca. 10 Km Cuiabá.","-56.058611","-15.480278","56W3'31''","15S28'49''","208","208","HUEFS0096669","HUEFS0096669","Campo cerrado.",NA,NA
"4","2019-01-23 11:14:54-02","F","FMNH-SEEDPLANTS","V0069777F","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Rubiaceae","Mitracarpus","eritrichoides","Mitracarpus eritrichoides",NA,NA,NA,NA,"H. A. Weddell","3090","1844","12",NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0069777F","V0069777F_01",NA,"Isotype","South America"
