"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","eventTime","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","561501","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","psidiiflorus","Calycorectes psidiiflorus","(O.Berg) Sobral","M. Sobral","G. G. Hatschbach","1977","12","09","Brazil","Paraná","Santa Helena","-54.3328","-24.8606",NA,NA,"NY00561501","NY00561501_01","Sao Clemente",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526202' target='other'> <mi>dwc_moreinfo</mi></a>","40564","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1182708","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","psidiiflorus","Calycorectes psidiiflorus","(O.Berg) Sobral","J. Mattos","G. G. Hatschbach","1967","08","28","Brazil","Paraná","Icaraíma","-53.6139","-23.3958",NA,NA,"NY01182708","NY01182708_01","Rio Paraná, Paredao das Araras",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408078' target='other'> <mi>dwc_moreinfo</mi></a>","17046","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","561502","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","psidiiflorus","Calycorectes psidiiflorus","(O.Berg) Sobral","B. K. Holst","G. G. Hatschbach","1967","08","24","Brazil","Paraná","Cianorte","-52.6047","-23.6633",NA,NA,"NY00561502","NY00561502_01","Fda. Lagoa",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526205' target='other'> <mi>dwc_moreinfo</mi></a>","16954","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","561491","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","1969","07","04","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY00561491","NY00561491_01","S. Sebastiao",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337633' target='other'> <mi>dwc_moreinfo</mi></a>","21700","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","561493","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","1970","04","18","Brazil","Paraná","Laranjeiras do Sul","-53.008927","-25.537385",NA,NA,"NY00561493","NY00561493_01","Rio Iguaçu, Salto Osório",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337634' target='other'> <mi>dwc_moreinfo</mi></a>","24168","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","561489","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","1967","08","03","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"NY00561489","NY00561489_01","Sitio do Belizario",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337632' target='other'> <mi>dwc_moreinfo</mi></a>","16878","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","561490","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","1968","08","29","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,"NY00561490","NY00561490_01","Serra do Emboque","1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337635' target='other'> <mi>dwc_moreinfo</mi></a>","19638","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","386739","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg",NA,"J. S. Blanchet",NA,NA,NA,"Brazil","Bahia",NA,"-39.039072","-15.159747",NA,NA,"NY00386739","NY00386739_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337640' target='other'> <mi>dwc_moreinfo</mi></a>","2340","South America","sheet",NA,"Magnoliophyta","Myrtales","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","561494","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg","O. A. Guimarães","C. H. L. Sastre","1998","10","29","Brazil","Paraná","Foz do Iguaçu","-54.45","-25.6",NA,NA,"NY00561494","NY00561494_01","Parque Nacional do Iguaçu",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337638' target='other'> <mi>dwc_moreinfo</mi></a>","9798","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","561492","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg","L. R. Landrum","G. G. Hatschbach","1968","05","30","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"NY00561492","NY00561492_01","Rio Sagrado de Cime","150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337639' target='other'> <mi>dwc_moreinfo</mi></a>","19279","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
