"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","fieldNumber","yearIdentified","monthIdentified","class","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","428223","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.","isotype","A. F. M. Glaziou","4946","1875","11","07","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Pico da Tijuca","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428223","NY00428223_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378208","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"F. Markgraf","3096","1938","10","28","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Pico da Tijuca","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378208","NY00378208_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378210","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"M. Kuhlmann","1748","1949","01","28","South America","Brazil","São Paulo","Salesópolis","Salesópolis, Boracéa","-45.886229","-23.65179","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378210","NY00378210_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378209","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"F. C. Hoehne","s.n.","1917","12","19","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, Estaçao Biológica","-46.4097","-23.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378209","NY00378209_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-01 15:28:08-03","PUC-RIO","FCAB","6279","PreservedSpecimen","Plantae",NA,"Angiospermae","Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"R.R. Oliveira","2477","1999","12","07",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Maciço da Pedra Branca, Floresta do Camorim, próxi","-43.2075004577637","-22.9027996063232",NA,"Continuação da localidade: Em floresta de encosta em avançado estágio sucessional.&nf;Árvore de aproximidade 18m de altura, com diâmentro a altura do peito de 0,35m.","006279",NA,"A.L. Peixoto","57442","auto",NA,NA,NA,NA,NA,NA
"6","2015-10-02 02:05:57-03","MNHN","RECOLNAT_MNHN_P","P00741034","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.","isolectotype","Glaziou, A.",NA,"1871","11","7",NA,"Brésil",NA,NA,"Rio de Janeiro : Pico da Tijuca",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741034' target='other'> <mi>dwc_moreinfo</mi></a>","P00741034","P00741034_01",NA,NA,NA,"4946",NA,NA,NA,NA,NA
"7","2010-07-16 11:08:57-03","MNHN","RECOLNAT_MNHN_P","P00741035","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.","isolectotype","Glaziou, A.",NA,"1871","11","7",NA,"Brésil",NA,NA,"Rio de Janeiro : Pico da Tijuca",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741035' target='other'> <mi>dwc_moreinfo</mi></a>","P00741035","P00741035_01",NA,NA,NA,"4946",NA,NA,NA,NA,NA
"8","2009-07-27 09:32:00-03","MO","MOBOT","3156735","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Auguste F.M. Glaziou","Glaziou 4946","1861",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:17:49-03","USP","SPF","72181","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Kuhlmann, M","1748","1949","01","28",NA,"Brasil","São Paulo","Salesópolis",NA,"-45.8400001525879","-23.5300006866455",NA,NA,"SPF00072181",NA,"Prance, GT","18032","auto",NA,"1969","03",NA,NA,NA
"10","2019-11-13 11:17:49-03","USP","SPF","71646","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Kuhlmann, M","4328","1958","01","30",NA,"Brasil","São Paulo","Santo André","Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,"SPF00071646",NA,"Zappi, DC","27258","auto",NA,"1992","04",NA,NA,NA
