"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","relatedCatalogItem","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01131584","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R.Arill. & Izag.","C. S. Campbell","G. G. Hatschbach","5454","1959","01","31","South America","Brazil","Paraná","Rio Tibagi, near St. Antonio.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1277109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131584","NY01131584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","345653","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R.Arill. & Izag.",NA,"B. Rosengurtt","B-2634b","1966","04","10","South America","Uruguay","Rocha","Origen: Ao. Los Indios","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345653","NY00345653_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:15:57-03","NBC","NL-BOTANY","L.1211063","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R.Arrill. & Izag.",NA,"Rosengurtt B",NA,"1938","03","01","Southern America","Uruguay","Rocha",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1211063 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1211063","NL-L1211063",NA,"Magnoliopsidae","L 0404293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:15:57-03","NBC","NL-BOTANY","L.1211064","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R.Arrill. & Izag.",NA,"Rosengurtt B",NA,NA,NA,NA,"Southern America","Uruguay","Rocha",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1211064 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1211064","NL-L1211064",NA,"Magnoliopsidae","L 0404294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:15:57-03","NBC","NL-BOTANY","U.1485119","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R.Arrill. & Izag.",NA,"Schinini A",NA,"1997","12","06","Southern America","Paraguay","Canendiyú",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1485119 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1485119","NL-U1485119",NA,"Magnoliopsidae","U 0131765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:47:19-02","IPA","IPA","8833","S","Plantae","Plantae",NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R. Arrill. & Izag.","Zanin, A.","Pickel, B.","5792","1942","01","17","Southern America","Brasil","São Paulo","(Linha S.Amaro- Ibirapuera) Em campo plano,úmido",NA,NA,"IPA0008833",NA,NA,NA,NA,"2001","07","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 14:08:45-03","UFRPE","PEUFR","3308","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R. Arrill. & Izag.",NA,"Rosengurt","2634","1966","04","10",NA,"Uruguai","Montevideo",NA,NA,"Cultivado in Hort. Bot. Fac. Agronomia; Origem Aº los indios dy Rocha","PEUFR003308",NA,"Isotypus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-16 17:54:27-03","UCS","HUCS","43310","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Rosenst., B.R. Arrill. & Izag.","Zanin, A.","Gehrt, A.","s.n.","1939","07","18",NA,"Brasil","São Paulo",NA,NA,"planta com inflorescência até 2 metros altos. Doação ICN 026147.; terreno de brejo",NA,NA,NA,NA,NA,NA,NA,"Pirajussára",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:39:57-03","MBM","MBM","24255","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Rosengurt, Arr. & Izag.",NA,"Rosengurtt","26346","1966","04","10","Southern America","Uruguay","Montevideo",NA,NA,NA,"MBM024255","MBM024255","ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:39:57-03","MBM","MBM","985","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Rosengurt, Arr. & Izag.","Zanin, A.","Hatschbach, G.","545",NA,NA,NA,"Southern America","Brazil","Paraná","Rio Tibagi, próximo a Santo Antônio",NA,NA,"MBM000985","MBM000985",NA,NA,NA,NA,NA,"Tibagi","-50.4136009216309","-24.5093994140625","56988","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:39:57-03","MBM","MBM","231325","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Rosengurt, Arr. & Izag.",NA,"Normann, G.A.","103",NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul","Estação Experimental Guaíba",NA,NA,"MBM231325","MBM231325",NA,NA,NA,NA,NA,"Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:39:57-03","MBM","MBM","207997","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Rosengurt, Arr. & Izag.","Zanin, A.","Sacco, J.C.","528",NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul","Laranjal",NA,NA,"MBM207997","MBM207997",NA,NA,NA,NA,NA,"Pelotas","-52.3424987792969","-31.771900177002","51462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:39:57-03","MBM","MBM","417518","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Rosengurt, Arr. & Izag.","Zanin, A.","Gehrt, A.","s.n.","1939","01","18","Southern America","Brazil","São Paulo","Pirajussara, Terreno de brejo",NA,NA,"MBM417518","MBM417518",NA,NA,NA,"1997","05","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","20",NA,NA,NA,NA,NA,NA,NA
"14","2015-10-01 08:41:29-03","MNHN","RECOLNAT_MNHN_P","P00740742","PreservedSpecimen",NA,NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R. Arrill. & Izag.",NA,"Rosengurtt, B.",NA,"1966","4","10",NA,"Uruguay",NA,"origen A° Los ludios, dep. Rocha cult. in Hort. Bot. Fac. Agronomia ; Dpto. Montevideo","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00740742' target='other'> <mi>dwc_moreinfo</mi></a>","P00740742","P00740742_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B 2634 b",NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1578993","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R. Arrill. & Izag.","C. Peichoto","Aurelio Schinini|Marita Dematteis","Schinini Cacace 33379","1997","12","6","South America","Paraguay","Canindeyú","10 km S de Igatimi. En pastizal recolector con suelos saturados, generalmente suelo arenoso. Formando pajonal, cañas erecta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2011-03-16 22:18:00-03","MO","MOBOT","228812","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R. Arrill. & Izag.",NA,"Bernardo Rosengurtt","Rosengurtt B-2634B","1966","4","10","South America","Uruguay","Rocha","Arroyo los Indios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2012-11-15 13:35:00-02","MO","MOBOT","2481912","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R. Arrill. & Izag.",NA,"Ana Zanin","Zanin 541","1997","5","19","South America","Brazil","Rio Grande do Sul","Porto Alegre. Morro da Polícia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"18","2009-08-21 20:53:00-03","MO","MOBOT","2519644","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng., B.R. Arrill. & Izag.","Rosengurtt, B.","Bernardo Rosengurtt","Rosengurtt 2634b",NA,NA,NA,"South America","Uruguay","Rocha","Arroyo Los Indios (cultivado en Hort. Bot. Facultad de Agronomía, abril 1966)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-25 16:06:22-03","FUVATES","HVAT","3011","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng. et al.","H. Longhi Wagner","H. Longhi - Wagner; L. Amara","9693","2005","04","01",NA,"Brasil","Rio Grande do Sul","Parque Estadual de Itapuã.",NA,"Duplcata ICN:148089","HVAT00003011",NA,NA,NA,NA,"2005","04","Viamão","-51.023333","-30.081111",NA,NA,"01",NA,NA,"-51º1'24''W","-30º4'52''S",NA,NA,NA
"20","2021-01-26 14:12:48-03","CPACT","ECT","3333","PreservedSpecimen","Plantae","Embryophyta",NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng. et al.","D.R.Vahl","M.M.Marchi; C.Mistura | I.Goulart | T.Carbonari","3421","2012","01","31",NA,"Brasil","Rio Grande do Sul","Fazenda São Miguel, área de conservação do banco de germoplasma in situ de Butia odorata, área 3 de monitoramento. Campo nativo, ecossistema de butiazal.",NA,NA,"ECT0003333","ECT0003333",NA,NA,NA,"2017","06","Tapes","-51.368333","-30.545556",NA,NA,"01",NA,NA,"51º22'6''W","30º32'44''S","50","50",NA
"21","2021-01-26 14:12:48-03","CPACT","ECT","4232","PreservedSpecimen","Plantae","Embryophyta",NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng. et al.","M.M.Marchi","M.M.Marchi; I.Goulart | F.Amorim","3483","2012","02","14",NA,"Brasil","Rio Grande do Sul","Fazenda São Miguel, área de conservação do banco de germoplasma in situ de Butia odorata, área 2 de monitoramento. Campo nativo, ecossistema de butiazal.",NA,NA,"ECT0004232","ECT0004232",NA,NA,NA,"2012","02","Tapes","-51.363333","-30.529444",NA,NA,"14",NA,NA,"51º21'48''W","30º31'46''S","50","50",NA
"22","2021-01-26 14:12:48-03","CPACT","ECT","4185","PreservedSpecimen","Plantae","Embryophyta",NA,"Poaceae","Andropogon","glaucophyllus","Andropogon glaucophyllus","Roseng. et al.","M.M.Marchi","M.M.Marchi","4392","2013","03","26",NA,"Brasil","Rio Grande do Sul","Fazenda São Miguel, área de conservação do banco de germoplasma in situ de Butia odorata, área 2 de monitoramento. Campo nativo, ecossistema de butiazal.",NA,NA,"ECT0004185","ECT0004185",NA,NA,NA,"2013","03","Tapes","-51.363333","-30.529444",NA,NA,"26",NA,NA,"51º21'48''W","30º31'46''S","50","50",NA
