"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01067269","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","M. Sobral","W. W. Thomas","8370","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622805' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067269","NY01067269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04073081","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","D. Piotto","D. Piotto","3188","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671493' target='other'> <mi>dwc_moreinfo</mi></a>","NY04073081",NA,"120","300",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616957","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","M. Sobral","J. L. Hage","1364","1981","09","22","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415)","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616957","NY00616957_01",NA,NA,"paratype",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01096277","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","M. Sobral","G. G. Bondar","2356","1937","04","23","South America","Brazil","Bahia","Ilhéus","Agua Preta.","-39.04","-14.78","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236101' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096277","NY01096277_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","616955","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","T. A. Zanoni","J. L. Hage","1464","1981","08","14","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415) Quadra F.","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616955","NY00616955_01","50","50","paratype",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00895777","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","M. Sobral","W. W. Thomas","9170","1992","05","06","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Atlantic Coastal Forest, study site revisited","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895777","NY00895777_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00895778","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","M. Sobral","W. W. Thomas","9170","1992","05","06","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Atlantic Coastal Forest, study site revisited","-39.0617","-14.4231","separate fruit","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895778","NY00895778_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:37:37-03","MBM","MBM","179388","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","Sobral, M.","Thomas, W.W.; et al.; et al.","9170","1992","05","06","Southern America","Brazil","Bahia","Uruçuca","Uruçuca","-39.2844009399414","-14.5930995941162",NA,NA,"MBM179388","MBM179388",NA,NA,NA,"33791","auto",NA,NA,NA,NA
"9","2020-12-21 16:37:37-03","MBM","MBM","179319","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","Sobral, M.","Pinheiro, R.S.","316","1967","10","26","Southern America","Brazil","Bahia","Una","Fazenda São Rafael","-39.0752983093262","-15.2932996749878",NA,NA,"MBM179319","MBM179319",NA,NA,NA,"36070","auto",NA,NA,NA,NA
"10","2019-11-13 11:27:21-03","USP","SPF","41405","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","Anônimo","Hage, JL","1464","1981","10","14",NA,"Brasil","Bahia","Ilhéus",NA,"-39.0494003295898","-14.7889003753662",NA,NA,"SPF00041405",NA,NA,NA,"paratype","61245","auto",NA,NA,NA,NA
