"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","minimumElevationInMeters","identifiedBy","yearIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","individualCount","occurrenceRemarks","barcode","imagecode","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","order","monthIdentified","dayIdentified","phylum"
"1","2012-04-05 14:30:00-03","MO","MOBOT","2478253","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","José F.M. Valls","Valls 8083","1984","11","25","South America","Brazil","Urupema, junto a la Estación Retransmisora del Morro de Campo Novo","1680.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-02 16:37:40-03","Cenargen","CEN","73441","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","Ana Zanin- FLOR","1601","2010","01","09",NA,"Brasil","Parque Nacional de São Joaquim, cmpos de Santa Bárbara, topo do morro do Baú.",NA,"A. Zanin","2010","SC","URUBICI","-49.5917015075684","-28.0149993896484","30102","Exsicatas","1","Doação UFSC - Herbário FLOR. 37533.","CEN00073441","CEN00073441","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-02 16:37:40-03","Cenargen","CEN","16515","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","José Francisco Montenegro Valls","8083","1978","01","09",NA,"Brasil","Morro do Campo Novo. Em topo do morro, junto à estação retransmissora.","1680","J. Mujica-Sallés",NA,"SC","URUPEMA","-49.8731002807617","-27.9528007507324","23096","Exsicatas","1","ISOTYPUS. Doação do Herb. Depto. Bot. da UFRGS. - Herbário ICN (94200). Porto Alegre.","CEN00016515","CEN00016515","auto","ISOTYPUS","-4985000.0","-2790000.0","1680",NA,NA,NA,NA
"4","2020-08-20 14:59:56-03","UFSC","FLOR","37674","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","Guimarães, F.B.","1186","2010","01","09",NA,"Brasil","Morro do Baú, Campo de Santa Bárbara, Parque Nacional de São Joaquim.","1728",NA,NA,"Santa Catarina","Urubici","-49.621389","-28.163056",NA,NA,NA,NA,"FLOR0037674",NA,NA,NA,"49º37'17''W","28º9'47''S","1728","Poales",NA,NA,NA
"5","2020-08-20 14:59:56-03","UFSC","FLOR","51287","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","Trevisan, R.","1402","2013","12","08",NA,"Brasil","Parque Nacional (PARNA) São Joaquim.","1677","Trevisan, R.; et alii","2013","Santa Catarina","Urubici","-49.607778","-28.162778",NA,NA,NA,NA,"FLOR0051287",NA,NA,NA,"49º36'28''W","28º9'46''S","1677","Poales","12","18",NA
"6","2020-08-20 14:59:56-03","UFSC","FLOR","67020","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","Funez, L.A.; Costa-Rezende, D.H.; Ribeiro-Nardes, W.; Lemes, G.","8385","2018","12","16",NA,"Brasil","Parque Nacional de São Joaquim. Campos de Santa Bárbara. Parque Nacional de São Joaquim","1665","Funez, L.A.","2019","Santa Catarina","Bom Jardim da Serra","-49.606389","-28.162222",NA,NA,NA,"Erva. Projeto Peld-PPBio + MIND Funga","FLOR0067020","FLOR0067020",NA,NA,"49º36'23''W","28º9'44''S","1665","Poales","04","09",NA
"7","2020-08-20 14:59:56-03","UFSC","FLOR","36316","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","Zanin, A.; Santos, B.H.","1480","2007","12","28",NA,"Brasil","Campos de Santa Bárbara.",NA,NA,NA,"Santa Catarina","Urubici","-49.5917015075684","-28.0149993896484","30102",NA,NA,"Raro.","FLOR0036316",NA,"auto",NA,NA,NA,NA,"Poales",NA,NA,NA
"8","2020-08-20 14:59:56-03","UFSC","FLOR","37533","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","Zanin, A.","1601","2010","01","09",NA,"Brasil","Parque Nacional de São Joaquim, Campos de Santa Bárbara, topo do Morro do Baú.",NA,NA,NA,"Santa Catarina","Urubici","-49.5917015075684","-28.0149993896484","30102",NA,NA,"erva","FLOR0037533",NA,"auto",NA,NA,NA,NA,"Poales",NA,NA,NA
"9","2021-02-08 12:54:15-03","UFRGS","ICN","096412","S","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","Valls, JFM; Dall Agnol; Gomes; Miotto","s.n.","1984","11","25","América do Sul","Brasil","morro do campo novo",NA,"J. M. Salles.",NA,"SC","Urupema","-49.8731002807617","-27.9528007507324","23096",NA,NA,"Holotipo, campo de altitude,1680m, topo de morro, solo turfoso, negro e mal drenado.","ICN00000649","ICN00000649 ICN00000649_1","auto","Holotypus",NA,NA,NA,NA,NA,NA,"Monocotyledon"
"10","2021-02-08 12:54:15-03","UFRGS","ICN","149103","S","Plantae","Poaceae","Piptochaetium","palustre","Piptochaetium palustre","Muj.-Sall. & Longhi-Wagner","Boldrini, II; Eggers, L","1375","2004","12","15","América do Sul","Brasil","Morro do Baú. (Probio Ponto 8) S28°09'51 1 W49°37'19 0","1728",NA,NA,"SC","Urubici","-49.621944","-28.164167",NA,NA,NA,NA,NA,NA,NA,NA,"-49.621944","-28.164167","1728",NA,NA,NA,"Monocotyledon"
