"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","1801335","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana","O.Berg",NA,NA,NA,NA,"F. França","2583","1998","06","25","Brazil","São Paulo","Itanhaém","Balneário Tupi. nível do mar.","-46.8578","-24.2014",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020304' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801335","NY01801335_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","557623","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana","O.Berg","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","5111","1957","10","11","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557623","NY00557623_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","557624","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana grandifolia","O.Berg","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","8882","1959","06","27","Brazil","Santa Catarina","Rio do Sul","Matador, Rio do Sul","-49.6431","-27.2144",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557624","NY00557624_01","Magnoliophyta","Myrtales","South America","sheet","grandifolia",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00907367","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana","O.Berg","F. F. Mazine",NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907367","NY00907367_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","557989","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana","O.Berg","F. F. Mazine",NA,NA,NA,"G. G. Hatschbach","14104","1966","03","23","Brazil","Paraná","Antonina","Estr. Cacatu - Serra Negra","-48.7117","-25.4286",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557989","NY00557989_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","557621","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana","O.Berg","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","5639","1967","07","06","Brazil","São Paulo",NA,"Ca. 70 km NE of Santos",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557621","NY00557621_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","557625","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana","O.Berg","M. Sobral",NA,NA,NA,"M. Sobral","2328","1983","10","11","Brazil","Rio Grande do Sul","Camaqua","Pessegueiro, Camaqua","-51.834028","-30.916916",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557625","NY00557625_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","557622","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana","O.Berg","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","6634","1958","03","27","Brazil","Santa Catarina","Joinville","Estrada Dona Francicsa, Joinville","-48.8456","-26.3044",NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557622","NY00557622_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","557620","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana grandifolia","O.Berg","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","8584","1959","03","13","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul","-49.563988","-27.247405",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557620","NY00557620_01","Magnoliophyta","Myrtales","South America","sheet","grandifolia",NA,NA,NA,NA,NA,NA,NA
"20","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","31284","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","verticillata","Eugenia verticillata","(Vell.) Angely","Sobral, M.","1999",NA,NA,"Hatschbach, G.","46670","1983","04","08","Brasil","Paraná","Morretes","Rio dos Padres",NA,NA,"9999","9999",NA,NA,NA,"BOTU031284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
