"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","day","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00527431","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.","R. M. Harley","L. Riedel","1339","1833","06","South America","Brazil","Rio de Janeiro","Inter S. Joao de Taboarahy et Rio Alcantara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527431","NY00527431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00527432","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.","R. M. Harley","L. Riedel","1339","1833","06","South America","Brazil","Rio de Janeiro","Inter St. Joao de Tabaorahy et rio Alcantara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527432","NY00527432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-07-03 08:31:56-03","UNEMAT","TANG","302","S","Plantae",NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","St. Hil.",NA,"Alves, LR","7",NA,NA,NA,"Brasil","Mato Grosso",NA,NA,"folhas simples, opostas com aroma, medicinal, herbáceo","TANG000000302",NA,"Tangará da Serra","-57.4858016967773","-14.6194000244141","175746","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:32:46-03","EAO","IAN","131922","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.","Harley, RM","Duarte, AP","6710",NA,NA,"Southern America","Brasil","Bahia",NA,NA,NA,"IAN131922",NA,"Porto Seguro","-39.0647010803223","-16.4496994018555","68835","auto","2016","03","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 21:32:29-03","UFBA","ALCB","026723","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.","Harley, RM","Guedes, ML; et al.","s/n","1993","11","Southern America","Brasil","Rio de Janeiro","Barra. Bosque da Barra.",NA,"Aromático; folhas membranáceas, pilosas. Inflorescência c/flores singelas de cor lilás.; Restinga.",NA,NA,NA,NA,NA,NA,NA,"1996","05",NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:32:36-03","NBC","NL-BOTANY","L.2857645","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.",NA,"Schomburgk RH",NA,NA,NA,"Southern America","Guyana",NA,"Rev. de; Género hyptis.?",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2857645 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2857645","NL-L2857645",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:40:24-03","MN","R","11291","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A. St.-Hil. ex Benth.",NA,"Glaziou, A.F.M.","12089","1880","07",NA,"Brasil","Rio de Janeiro",NA,NA,"Plantas do Brasil Central","R000011291","R000011291_001","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:40:39-02","IPA","IPA","7009","S","Plantae","Plantae",NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A. St.-Hil. ex Benth.","Harley, R.M.","Pickel, B.","3759","1935","01","Southern America","Brasil","Pernambuco","Prazeres",NA,NA,"IPA0007009",NA,"Jaboatão dos Guararapes","-35.0147018432617","-8.11277961730957","16392","auto","1990","02","01","16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:45:11-03","UFMS","CGMS","69390","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.","V.J. Pott","V.J. Pott; A. Pott","12451","2017","09",NA,"Brasil","Mato Grosso do Sul","Rancho WN (Waldir Neves). A norte do açude grande com aterro.",NA,"Flor rosada.Folha discolor. Lábio inferior salpicado de roxo. Estames púrpura. Habitat: Campo úmido de vereda com buriti (Mauritia flexuosa) e veios d#?#água. Solo hidromórfico, orgânico. Relevo encosta intermediária de ondulado. Habit","CGMS1102348",NA,"Campo Grande","-54.5088889","-20.5625",NA,NA,"2017","12","10","11",NA,"-54,5088889","-20,5625","593","593",NA,NA,NA,NA
"10","2021-04-07 11:45:11-03","UFMS","CGMS","62077","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.",NA,"V.J. Pott; A. Pott","6441","2003","08",NA,"Brasil","Mato Grosso do Sul","Córrego Nascente, próximo ao poço e cascata, Aldeia Limão Verde.",NA,"Odor agradável. Habitat: Vereda com domínio de Loudetia flammida. Solo argiloso siltoso, muito úmido. Relevo plano. Habito: Erva escandente sobre gramíneas. Freqüente.","CGMS1095073",NA,"Aquidauana","-55.6794445","-20.3211111",NA,NA,NA,NA,NA,"16",NA,"-55,6794445","-20,3211111","200","200",NA,NA,NA,NA
"11","2021-04-07 11:45:11-03","UFMS","CGMS","62311","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.","V.J. Pott","V.J. Pott; J. Paz; A. Pott","6669","2004","03",NA,"Brasil","Mato Grosso do Sul","Faz. Santa Fátima, pasto 517, antiga represinha.",NA,"Flor branca. Lábio superior rosado. Habitat: Brejo emborda de açúde, com 5-20 cm profundidade, região de cerrado. Solo arenoso. Relevo plano. Ocasional. Habito: Escandente.","CGMS1095307",NA,"Jaraguari","-54.235","-20.2463889",NA,NA,"2010","09","07","05",NA,"-54,235","-20,2463889","550","550",NA,NA,NA,NA
"12","2020-12-21 16:30:19-03","MBM","MBM","111603","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A. St.-Hil. ex Benth.","Harley, R.M.","Hatschbach, G.; Silva, J.M.; Silva, J.M.","50764","1986","11","Southern America","Brazil","Bahia","Alcobaça, arredores",NA,NA,"MBM111603","MBM111603","Alcobaça","-39.1955986022949","-17.5193996429443","50074","auto",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-05 12:47:47-03","MNHN","RECOLNAT_MNHN_P","P00737235","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.","Saint-Hilaire","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,"Province de Espiritu Santo : Ponta da Fruta, marais voisin de la mer","hb","Hyptis nov. sp. paludosa A.St.-Hil. mss <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737235' target='other'> <mi>dwc_moreinfo</mi></a>","P00737235","P00737235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"holotype","B2 314",NA,NA
"14","2015-09-27 15:41:56-03","MNHN","RECOLNAT_MNHN_P","P00737236","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.","Bentham","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,"Province de Espiritu Santo : Ponta da Fruta, marais voisin de la mer","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737236' target='other'> <mi>dwc_moreinfo</mi></a>","P00737236","P00737236_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","B2 314",NA,NA
"15","2015-09-05 12:47:47-03","MNHN","RECOLNAT_MNHN_P","P00737237","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.","Bentham","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,"Province de Espiritu Santo : Ponta da Fruta, marais voisin de la mer","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737237' target='other'> <mi>dwc_moreinfo</mi></a>","P00737237","P00737237_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","B2 314",NA,NA
"16","2015-09-04 08:23:33-03","MNHN","RECOLNAT_MNHN_P","P03001005","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.",NA,"Lund",NA,NA,NA,NA,"Brasil",NA,"Rio Jaeis.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03001005' target='other'> <mi>dwc_moreinfo</mi></a>","P03001005","P03001005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-04 08:23:33-03","MNHN","RECOLNAT_MNHN_P","P03001006","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","paludosa","Hyptis paludosa","A.St.-Hil. ex Benth.",NA,"Glaziou, A.",NA,"1874","1",NA,"Brasil",NA,"Environs Rio de janeiro.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03001006' target='other'> <mi>dwc_moreinfo</mi></a>","P03001006","P03001006_01",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"7783",NA,NA
