"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","492375","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera","Lindau","C. Ezcurra","R. Goodland","22","1965","09","18","South America","Brazil","São Paulo","Pirassununga","Emas.","-47.370228","-21.932532","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492375","NY00492375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 16:15:00-03","NY","NYBG","492378","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera",NA,"C. Ezcurra","C. T. Ibarrola","785","1945","03","05","South America","Argentina","Misiones",NA,"Posadas, Misiones: Zaiman.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","492377","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera","Lindau","C. Ezcurra","F. J. Fernández Casas","FC3908B","1980","09","24","South America","Paraguay","Caaguazú",NA,"Cerca y al Sur de Yhú, en un herbazal sobre suelo arenoso suelto.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","492374","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera","Lindau","C. Ezcurra","I. Silberbauer-Gottsberger","708","1970","10","29","South America","Brazil","São Paulo","Botucatu","18 km north of Botucatu, (14 km east of Sao Manuel). Along the Sao Manuel-Piracicaba highway. Near ex-RR station, 13 de Maio.","-48.42","-22.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492374","NY00492374_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","492379","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera","Lindau","C. Ezcurra","C. E. O. Kuntze","s.n.","1892","06",NA,"South America","Bolivia","Santa Cruz",NA,"Yapacani",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492379",NA,"400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","492376","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera","Lindau","C. Ezcurra","L. B. Smith","12852","1964","10","23","South America","Brazil","Santa Catarina","Abelardo Luz","12 km north of Abelardo Luz.","-52.33","-26.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492376","NY00492376_01","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:29:38-03","NBC","NL-BOTANY","L.2834778","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera","Lindau",NA,"Herzog T",NA,"1911","01","01","Southern America","Bolivia",NA,NA,"Plantae in itinere secundo per boliviam lectae. An sandigen Stellen der,,Lomas' westlich des Rio Pirai.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2834778 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2834778","NL-L2834778",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:29:38-03","NBC","NL-BOTANY","U.1051297","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera","Lindau",NA,"Lindeman JC; Irgang BE; Valls JFM",NA,"1971","11","02","Southern America","Brazil",NA,NA,"Brasil campo, 20 km SE de Santa Rosa.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1051297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1051297","NL-U1051297",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 10:58:47-03","ESALQ","ESA","22663","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera","Lindau","Kameyama, C.","Barreto, K.D. et al.","3164.0","1994","11","08",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA022663","ESA022663",NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:32:58-03","IAP","PACA-AGP","57622","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariales","Acanthaceae","Ruellia","bulbifera","Ruellia bulbifera","Lindau","C. Ezcurra","J. Pivetta","615","1954","01","03",NA,"Brasil","RS","Cruz Alta",NA,"-53.6063995361328","-28.638599395752",NA,"V.Silva, M.F.Parode e M.S.Marchioretto confirmam em 08.2014 Habitat: in campestribus Fenofase: flor","PACA057622",NA,NA,NA,"Magnoliatae","44498","auto","1988",NA,NA,NA,NA,NA,NA,NA
