"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","coordinatePrecision","geoFlag"
"1","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0105378","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Micranthocereus","auri-azureus","Micranthocereus auri-azureus","Buining & Brederoo","holotype","Horst L; Uebelmann W","Southern America","Brazil","Minas Gerais","Brazil, Minas Gerais, Grao Mogol.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200105378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0105378","NL-U0105378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:04:12-03","ESALQ","ESA","73943","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","auriazureus","Micranthocereus auriazureus","Buining & Brederoo",NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.; Elias, S.I.",NA,"Brasil","Minas Gerais","Estrada Grão Mogol - Cristália, ca. 6 km de Grão Mogol. Campo rupestre com elementos de caatinga.","Planta de ca. 1 m alt., simples; botões e frutos rosa. Entre rochas.","ESA073943","ESA073943","Magnoliophyta","Aona, L.Y.S.","25692.0","2001","07","11","Grão Mogol","-425.405","-163.547","-425,405","-163,547",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:27:13-03","UNICAMP","UEC","106644","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","auriazureus","Micranthocereus auriazureus","Buining & Brederoo",NA,"Pirani, JR; Mello-Silva, R",NA,"Brazil","Minas Gerais","Escarpas à direita do riacho Ribeirão.","Entre rochas. Cladódios ca. 60 cm de altura, não ramificados ou somente na base. Espinhos novos aureos. Botões rosa-intenso.","UEC041158","UEC041158","Magnoliopsida","Zappi, DC","CFCR10773","1987","05","21","Grão Mogol","-45.886111","-16.653056","-45.886111","-16.653056","1988","960","960",NA,NA,NA,NA
"4","2021-03-01 16:27:13-03","UNICAMP","UEC","115071","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","auriazureus","Micranthocereus auriazureus","Buining & Brederoo",NA,"Aona, LYS; Belinello, R",NA,"Brazil","Minas Gerais","Estrada p/ Cristália, afloramento. 13 Km de Grão Mogol.","Até 1,5. Aréola: 1 cm, espinhos das aréolas da base com crescimento hipertrófico, 7 cm, amarelos, flor 3x1,5 cm, cultivo.","UEC041157","UEC041157","Magnoliopsida","Aona, LYS","690","2000","08","16","Grão Mogol","-45.886111","-16.653056","-45.886111","-16.653056",NA,"620","620",NA,NA,NA,NA
"5","2021-03-01 16:27:13-03","UNICAMP","UEC","106642","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","auriazureus","Micranthocereus auriazureus","Buining & Brederoo",NA,"Giulietti, AM; Hensold, N; Mamede, MCH; Giulietti, N",NA,"Brazil","Minas Gerais","Campo rupestre a sudoeste da cidade, +/- 1 Km.","Arbusto +/- 1 metro, ramos +/- decumbentes a eretos. Flores róseas.","UEC041159","UEC041159","Magnoliopsida","Zappi, DC","CFCR3416","1982","05","21","Grão Mogol","-42.883333","-16.55","-42.883333","-16.55","1988",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:27:13-03","UNICAMP","UEC","115072","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","auriazureus","Micranthocereus auriazureus","Buining & Brederoo",NA,"Aona, LYS; Belinello, R",NA,"Brazil","Minas Gerais","Serra do Barão, Parque Estadual G.M., trilha da Serra do Barão. Afloramento.","Espinhos jovens amarelos ouro, espinhos da base alongados.","UEC041160","UEC041160","Magnoliopsida","Aona, LYS","705","2000","08","16","Grão Mogol","-42.883333","-16.55","-42.883333","-16.55",NA,"850","850",NA,NA,NA,NA
"7","2020-12-21 16:19:46-03","MBM","MBM","415820","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","auriazureus","Micranthocereus auriazureus","Buining & Brederoo",NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","Southern America","Brazil","Minas Gerais","Lapinha da Serra, trilha do Pico da Lapinha","Erva rupícola; fruto imaturo.; Campo rupestre.","MBM415820",NA,NA,"Barboza, E.","5635","2018","11","05","Santana do Riacho","-43.674167","-19.1125","-43.674167","-19.1125","2019","1520","1520","02","05",NA,NA
"8","2020-12-21 16:19:46-03","MBM","MBM","59376","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","auri-azureus","Micranthocereus auri-azureus","Buin. & Brederco",NA,"Hatschbach, G.","Southern America","Brazil","Minas Gerais","Rio Itacambiruçu",NA,"MBM059376","MBM059376",NA,"Zappi, D.C.","41327","1978","04","27","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,NA,"67219","auto"
"9","2020-12-21 16:19:46-03","MBM","MBM","151583","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","auri-azureus","Micranthocereus auri-azureus","Buin. & Brederco",NA,"Zappi, D.C.; et al.; et al.","Southern America","Brazil","Minas Gerais","Vale do Rio das Mortes",NA,"MBM151583","MBM151583",NA,NA,"9925","1986","07","24","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,NA,"67219","auto"
"10","2020-12-21 16:19:46-03","MBM","MBM","89667","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","auri-azureus","Micranthocereus auri-azureus","Buin. & Brederco",NA,"Hatschbach, G.","Southern America","Brazil","Minas Gerais","Rod. BR-116, 15km N de Itaobim",NA,"MBM089667","MBM089667",NA,"Zappi, D.C.","47345","1984","01","19","Itaobim","-41.5032997131348","-16.5617008209229",NA,NA,NA,NA,NA,NA,NA,"19493","auto"
