"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2016-09-29 21:35:00-03","NY","NYBG","00935524","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","R. R. de Santos","R1784","1968","06","13","South America","Brazil","Mato Grosso","Ribeirão Cascalheira","Córrego de Porco, 240 km. N. of Xavantina on the Xavantina-Sao Felix road","-51.8242","-12.9419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935524","NY00935524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00935517","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","H. S. Irwin","6507","1964","10","01","South America","Brazil","Mato Grosso",NA,"Ca. 1 km. N.E. of Garapú.","-52.57","-13.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935517","NY00935517_01","(Bong.) Steud.","J. W. Grimes","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02098489","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","L. A. Pereira","271","2011","08","18","South America","Brazil","Paraíba","Santana de Mangueira","Cajá, Reserva do INCRA","-38.37","-7.6833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475012' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098489","NY02098489_01","(Bong.) Steud.","A. M. S. da F. Vaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00935519","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","H. S. Irwin","16450","1966","06","02","South America","Brazil","Mato Grosso",NA,"Ca. 84 km. N. of Xavantina. Serra do Roncador.","-52.1","-13.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935519","NY00935519_01","(Bong.) Steud.","J. W. Grimes","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 01:09:00-03","NY","NYBG","1019310","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","E. Córdula","252","2007","04","18","South America","Brazil","Pernambuco","Mirandiba","Serra das Amburanas.","-38.53","-8.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280441' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019310","NY01019310_01",NA,"E. Córdula","457","457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1738325","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","P. da C. Gadelha Neto","3288","2012","06","25","South America","Brazil","Paraíba",NA,"Capim.","-35.1664","-6.8936","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1560246' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738325","NY01738325_01","(Bong.) Steud.","A. M. S. da F. Vaz","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00935516","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","H. S. Irwin","6411","1964","09","29","South America","Brazil","Mato Grosso","Água Boa","Ca. 50 km. S. of Garapú.","-52.4007","-13.8408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935516","NY00935516_01","(Bong.) Steud.","J. W. Grimes","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 22:12:00-03","NY","NYBG","00958469","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","M. de F. Agra","1707","1993","03",NA,"South America","Brazil","Paraíba",NA,"Itaporanga, caminho para a Serra Água Branca.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958469","NY00958469_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00935518","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","H. S. Irwin","6507","1964","10","01","South America","Brazil","Mato Grosso",NA,"Ca. 1 km. N.E. of Garapú.","-52.57","-13.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935518","NY00935518_01","(Bong.) Steud.","J. W. Grimes","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 21:35:00-03","NY","NYBG","00935521","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","cheilantha","Bauhinia cheilantha","J. A. Ratter","R1984","1968","06","26","South America","Brazil","Mato Grosso",NA,"8 km NE of the Base Camp of the Expedition. (Base Camp c. 270 km N of Xavantina).","-51.87","-12.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935521","NY00935521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
