"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","infraspecificEpithet","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","2190","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","R. Reitz; R. M. Klein","1954","09","24","Brasil","Santa Catarina","Itajaí","Cunhas.","-48.670833","-26.910278","48º40'15''W","26º54'37''S","CRI002539","CRI002539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:16-03","UNESC","CRI","9585","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","A. Stival-Santos; E. Legal & S. Silveira","2009","10","15","Brasil","Santa Catarina","Gaspar","Gaspatinho - aos fundos da capela Santo Antonio.","-48.960278","-26.999444","48º57'37''W","26º59'58''S","CRI002537","CRI002537","A. Stival-Santos","2009","10","15","1026","92","92","Floresta Ombrófila Densa Habitat: área aberta Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:16-03","UNESC","CRI","9346","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","2010","06","17","Brasil","Santa Catarina","Alfredo Wagner","Alto Rio Lessa.","-49.229167","-27.721111","49º13'45''W","27º43'16''S","CRI000876","CRI000876","Renato Colares","2018","12","10","5072","803","803","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:16-03","UNESC","CRI","2141","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","R. Reitz; R. M. Klein","1959","10","23","Brasil","Santa Catarina","Blumenau","Morro Spitzkopf.","-49.066111","-26.918611","49º3'58''W","26º55'7''S","CRI002542","CRI002542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:16-03","UNESC","CRI","2189","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","Reitz; Klein","1956","10","12","Brasil","Santa Catarina","Ibirama",NA,"-49.518056","-27.0575","49º31'5''W","27º3'27''S","CRI002535","CRI002535","S. F. Smith",NA,NA,NA,"3811","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","2144","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","R. Reitz; R. M. Klein","1959","10","23","Brasil","Santa Catarina","Blumenau","Morro Spitzkof.","-49.066389","-26.92","49º3'59''W","26º55'12''S","CRI002627","CRI002627","S. F. Smith",NA,NA,NA,NA,"63","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:16-03","UNESC","CRI","8977","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","A. Stival-Santos; E. Legal & S. Silveira","2009","10","07","Brasil","Santa Catarina","Gaspar","Gaspar Alto, Rua Hésio Silveira de Souza.","-49.050833","-27.000556","49º3'3''W","27º0'2''S","CRI002538","CRI002538","A. Stival-Santos","2009","10","07","975","215","215","Floresta Ombrófila Densa Submontana Habitat: beira de estrada Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:16-03","UNESC","CRI","2151","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","R. Reitz; R. M. Klein","1956","04","19","Brasil","Santa Catarina","Ibirama","Horto Florestal I. N. P.","-49.518056","-27.0575","49º31'5''W","27º3'27''S","CRI002540","CRI002540","R. T. Pennington",NA,NA,NA,NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:16-03","UNESC","CRI","2150","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","Reitz; Klein","1956","02","06","Brasil","Santa Catarina","Ibirama","Horto Florestal I. N. P.","-49.518056","-27.0575","49º31'5''W","27º3'27''S","CRI002536","CRI002536","S. F. Smith",NA,NA,NA,"2652","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:16-03","UNESC","CRI","12490","PreservedSpecimen","Plantae","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010697",NA,"Renato Colares & Aline V. Guislon","2017","07","25",NA,NA,NA,"Coleta 54. Habito: Arbóreo","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
