"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","individualCount","typeStatus","fieldNumber","relatedCatalogItem"
"1","2021-04-05 14:33:32-03","UNESC","CRI","6477","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","J. A. Jarenkow","1997","06","26","J. A. Jarenkow","1996","12","26","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.907778","-27.465278","51º54'28''W","27º27'55''S","CRI002947","CRI002947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","6940","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","S. F. Smith",NA,NA,NA,"P. R. Reitiz","1968","02","10","Brasil","Santa Catarina","Ilhota","-48.8275","-26.900278","48º49'39''W","26º54'1''S","CRI002946","CRI002946","Parque Botânico do Morro do Baú.","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","4066","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1989","12","27","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.906667","-27.462222","51º54'24''W","27º27'44''S","CRI002948","CRI002948","Beira do rio Uruguai.",NA,NA,"1566","Habitat: mata pluvial Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:18-03","UNESC","CRI","2176","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","S. F. Smith",NA,NA,NA,"R. Reitz","1968","02","10","Brasil","Santa Catarina","Ilhota","-48.8275","-26.900278","48º49'39''W","26º54'1''S","CRI002950","CRI002950","Parque Botânico do Morro do Baú.","250","250","6866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:18-03","UNESC","CRI","6869","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","S. F. Smith",NA,NA,NA,"P. R. Reitiz","1968","02","10","Brasil","Santa Catarina","Ilhota","-48.8275","-26.900278","48º49'39''W","26º54'1''S","CRI002943","CRI002943","Parque Botânico do Morro do Baú.","250","250","6866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","603416","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","H. Poppendieck",NA,NA,NA,"G. G. Hatschbach","1976","01","07","Brazil","Paraná","Guaraniaçu","-52.8781","-25.1008",NA,NA,"NY00603416","NY00603416_01","Rio Guarani",NA,NA,"37929","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687771' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","603413","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","H. Poppendieck",NA,NA,NA,"G. G. Hatschbach","1965","12","17","Brazil","Paraná","Laranjeiras do Sul","-52.4158","-25.4081",NA,NA,"NY00603413","NY00603413_01","Nova Laranjeiras",NA,NA,"13375","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687768' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","603414","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","H. Poppendieck",NA,NA,NA,"G. G. Hatschbach","1965","12","17","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00603414","NY00603414_01","Forest near Laranjeiras, 20 km W. of Laranjeiras do Sul",NA,NA,"Ha.13375","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687767' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","603417","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","H. Poppendieck",NA,NA,NA,"L. B. Smith","1965","01","22","Brazil","Paraná","Irati","-50.87","-25.53",NA,NA,"NY00603417","NY00603417_01","Riozinho da Cima, 9 km south of Irati","800","800","14945","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687772' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","603418","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"A. Kegler","1999","11","17","Brazil","Rio Grande do Sul","Caxias do Sul","-51.167635","-29.308783",NA,NA,"NY00603418","NY00603418_01","Vila Cristina","780","780","372","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687773' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
