"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","barcode","imagecode","fieldNumber","preparationType","individualCount"
"1","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","3560","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Carlos A. Ferreira Jr.","2015","03","06","Carlos Alberto Ferreira Júnior; Juliana Ordones","CAF1486","2014","12","17","Brasil","Minas Gerais","Catas Altas","Caminho para Tanque Grande, Serra do Caraça.","-43.4075012207031","-20.0746994018555","43º29'30.4","20º06'02.2","11966","1259","1259","254","auto",NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","3334","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Carlos A. Ferreira Jr.","2014","02","24","Carlos Alberto F. Jr. ;",NA,"2014","02","24","Brasil","Minas Gerais","Catas Altas","Serra do Caraça, Mata próxima ao Tanque Grande.","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,"254","auto",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:28:31-03","UFBA","ALCB","71083","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Menini Neto, L","2005",NA,NA,"Hatschbach, G; Silva, JM","52804","1989","03","21","Brasil","Paraná","Mandirituba","Encosta de pequeno morro, junto a blocos de rocha no interior da mata","-49.326099395752","-25.7789001464844",NA,NA,"20385",NA,NA,"Flor amarelo-ocre, labelo amarelo mais claro.","auto","Southern America","ALCB007695","ALCB007695",NA,NA,NA
"4","2020-11-04 12:15:40-03","ESALQ","ESA","141959","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Silva-Filho, A.A.","2016","02","02","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2344.0","2015","11","29","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.","-44.7131004333496","-23.2178001403809",NA,NA,"34470",NA,NA,"Erva inteira com botões verdes.","auto",NA,"ESA141959",NA,NA,NA,NA
"5","2020-11-04 12:15:40-03","ESALQ","ESA","141820","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Silva-Filho, A.A.","2016","02","02","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2205.0","2015","11","28","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.","-44.7131004333496","-23.2178001403809",NA,NA,"34470",NA,NA,"Erva inteira, flores alaranjadas.","auto",NA,"ESA141820",NA,NA,NA,NA
"6","2020-11-04 12:17:23-03","ESALQ","ESA","96627","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides",NA,"Vieira, T.L.","2014","02","11","Hatschbach, G. ; Silva, J.M.","52804.0","1989","03","21","Brasil","Paraná","Mandirituba",NA,"-49.326099395752","-25.7789001464844",NA,NA,"20385",NA,NA,NA,"auto",NA,"ESA096627","ESA096627",NA,NA,NA
"7","2021-03-31 13:40:42-03","MN","R","2730","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay","Pabst, G.F.J.","1979","05","07","Sampaio, A.J.","2038","1917","03","30","Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,"38539",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:18:43-03","UFV","VIC","8127","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIC008127","VIC008127",NA,NA,NA
"9","2019-11-21 14:40:39-03","UFJF","CESJ","47378","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay","N.L. Abreu","2006","03",NA,"N.L. Abreu; A.S.M. Valente","67","2006","03",NA,"Brasil","Minas Gerais","Rio Preto","Serra Negra, Trilha para o Ninho da Égua.","-43.8278007507324","-22.0891990661621",NA,NA,"20815",NA,NA,"Terrestre, interior de mata. Pedicelo+ovárioverde, sépalas dorsal e laterais castanho, pétalas amarelo, labelo amarelo margiado de castanho. Coluna alva, políneas amarelas, calcar castanho, tricomas cinérios.","auto","América do Sul","CESJ047378",NA,NA,NA,NA
"10","2020-10-14 10:03:52-03","FURB","FURB","19943","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Engels, ME","2014",NA,NA,"Verdi, M.; Klettenberg, D.H. & Klemz, G.","3497","2010","01","30","Brasil","Santa Catarina","Treviso","Nova Brasília.","-49.4986111","-28.4436111","-49.4986111","-28.4436111",NA,"555","555","Florística IFFSC 74 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: herbácea; flor amarela",NA,NA,"FURB34462","FURB34462",NA,NA,NA
