"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-30 12:47:56-03","EAO","IAN","11114","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Kutchubaea","duckei","Kutchubaea duckei","Steyerm.","Steyermark, JA","isotipo","Ducke, A","1557","1944","04","05","Southern America","Brasil","Amazonas","São Paulo de Olivença","Mata de terra firme.","-68.8724975585938","-3.37832999229431","362329","Árvore bastante grande, flor branca depois amarelada, perfumada.","IAN011114","IAN011114 IAN011114_e IAN011114_e1","auto",NA,NA,NA,NA
"2","2014-01-06 08:36:00-02","MO","MOBOT","3144498","PreservedSpecimen","Plantae",NA,"Rubiaceae","Kutchubaea","duckei","Kutchubaea duckei","Steyerm.","CMTaylor",NA,"José Eduardo L. da S. Ribeiro|E. da C. Pereira|J.R. Nascimento","Ribeiro 1237","1994","3","22","South America","Brazil","Amazonas",NA,"proximo ao alojamento. Solo argiloso. Floresta de Vertente. Árvore. 15m de altura. Tronco com fisuras longitudinais","-59.96666","-2.88333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2012-05-01 17:22:00-03","MO","MOBOT","3144714","PreservedSpecimen","Plantae",NA,"Rubiaceae","Kutchubaea","duckei","Kutchubaea duckei","Steyerm.","CMTaylor",NA,"Alberto Vicentini","Vicentini 584","1994","6","23","South America","Brazil","Amazonas",NA,"próximo ao acampamento do Igarapé do Acará Solo arenoso. Floresta Baixio. Árvore. 30cm DAP. Tronco circular com pequenas sapopemas (aresta reta, +/- simétricas, altura < comprimento (60x25cm), não ramificadas). Ritidoma marrom de +/-2mm de espessura, marrom-escuro; casca viva constituida por fibras alaranjadas unidas por substancia branca, facilmente destacável do alburno; este esbranquiçdo.","-59.9666667","-2.8833333",NA,NA,NA,NA,NA,"1",NA,NA,NA
"4","2019-11-13 11:30:11-03","USP","SPF","120307","PreservedSpecimen","Plantae",NA,"Rubiaceae","Kutchubaea","duckei","Kutchubaea duckei","Steyerm.","Zappi, DC",NA,"Vicentini, A","584","1994","06","23",NA,"Brasil","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-59.966667","-2.883333",NA,NA,"SPF00120307",NA,NA,NA,"2007","-59.966667","-2.883333"
"5","2019-11-13 11:30:11-03","USP","SPF","120528","PreservedSpecimen","Plantae",NA,"Rubiaceae","Kutchubaea","duckei","Kutchubaea duckei","Steyerm.","Zappi, DC",NA,"Ribeiro, JELS","1237","1994","03","22",NA,"Brasil","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-59.966667","-2.883333",NA,NA,"SPF00120528",NA,NA,NA,"2007","-59.966667","-2.883333"
