"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","180229","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.","probable isotype","L. Riedel","210","1832","02","South America","Brazil","Rio de Janeiro","In fruticetis as Corcovado et Alibi prope Rio de Janeiro","-43.212237","-22.951713","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00180229","NY00180229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-02 16:28:39-03","CPAN-UFMS","COR","13571","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,NA,NA,"1992","06",NA,"Brasil",NA,NA,NA,NA,NA,"Botão branco; folha discolor",NA,NA,"Esteves, R. L.","23","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:31-03","UFBA","ALCB","133000","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Santos, AA","2637","2005","08","Southern America","Brasil","Santa Catarina","Estrada que liga a Vila Petry - Balsa, Anita - Pinhal da Serra","-51.1300010681152","-27.6891994476318",NA,"ca 3,5m de altura, com flores de cor branca.; Mata Ombrófila mista","ALCB049800","ALCB049800","Bringel Júnior, JBA","31","Anita Garibaldi","2005","08","23768","auto",NA,NA,NA,NA,NA
"4","2020-11-04 11:01:41-03","ESALQ","ESA","20022","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","King & Rob.",NA,"Leitão Filho, H.F. et al.","33132.0","1995","02",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA020022","ESA020022","Esteves, R.L.","09","Eldorado Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:37:55-02","BGBM","B","B 10 0088456","S","Plantae",NA,NA,"Compositae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.","holotype","Riedel","s.n.",NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100088456 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100088456","B100088456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:24:23-03","UNICAMP","UEC","71961","S","Plantae","Magnoliopsida",NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Leitão Filho, HF; Rodrigues, RR; Rozza, AF; Sposito, T; Santos, K; Vieira, AP","33132","1995","02",NA,"Brazil","São Paulo","Brasil, São Paulo, Eldorado Paulista, Núcleo Caverna do Diabo-Parque Estadual de Jacupiranga.","-23.530556","-24.646639",NA,"3 m de altura, capítulos brancos.; Floresta; em trilha de cachoeira, na mata.","UEC162012","UEC162012","Esteves, R","09",NA,"2012","06",NA,NA,"-23.530556","-24.646639",NA,NA,NA
"7","2020-12-21 16:16:13-03","MBM","MBM","405237","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M. King & H. Rob.",NA,"Bovini, M.G.; Faria, M.; Faria, M.","3685","2012","04","Southern America","Brazil","Rio de Janeiro","Monumento Natural das Ilhas Cagarras, Ilha de Palmas","-43.205556","-23.033333",NA,"Arbusto heliófito ca. 1 m, frequente. Folhas membranáceas, concolores. Inflorescência alva.","MBM405237","MBM405237","Borges, R.","03","Rio de Janeiro","2012","05",NA,NA,"-43.205556","-23.033333",NA,NA,NA
"8","2018-04-24 14:13:03-03","MNHN","RECOLNAT_MNHN_P","P00148956","PreservedSpecimen",NA,NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00148956' target='other'> <mi>dwc_moreinfo</mi></a>","P00148956","P00148956_01","Esteves",NA,NA,NA,NA,NA,NA,NA,NA,"4055",NA,NA
"9","2015-09-04 06:05:10-03","MNHN","RECOLNAT_MNHN_P","P02410311","PreservedSpecimen",NA,NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Riedel",NA,NA,NA,NA,"Brasil",NA,"Brasilia. Brasil, América do Sul",NA,NA,"hb",". s.d. 923 1265. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02410311' target='other'> <mi>dwc_moreinfo</mi></a>","P02410311","P02410311_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,"210",NA,NA
"10","2015-09-04 06:05:10-03","MNHN","RECOLNAT_MNHN_P","P02410316","PreservedSpecimen",NA,NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.","isotype","Riedel, L.",NA,NA,NA,NA,"Brésil",NA,"Brasilia",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02410316' target='other'> <mi>dwc_moreinfo</mi></a>","P02410316","P02410316_01 P02410316_02","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
