"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","coordinatePrecision","geoFlag","fieldNumber","class","typeStatus","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01054988","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lupinus","decurrens","Lupinus decurrens","Gardner","R. Monteiro","H. S. Irwin","22891","1969","01","30","South America","Brazil","Minas Gerais","Ca. 15 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.17","1275","1275","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178466' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054988","NY01054988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01054964","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lupinus","decurrens","Lupinus decurrens","Gardner","R. Monteiro","H. S. Irwin","22891","1969","01","30","South America","Brazil","Minas Gerais","Ca. 15 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.17","1275","1275","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054964","NY01054964_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:41:48-03","EAO","IAN","99415","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Lupinus","decurrens","Lupinus decurrens","Gardner",NA,"Gardner, A","4503",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"IAN099415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:14:00-03","UNICAMP","UEC","8542","S","Plantae","Magnoliopsida",NA,"Fabaceae","Lupinus","decurrens","Lupinus decurrens","Gardner","Monteiro, R","Shepherd, GJ; Kinoshita, LS; Tamashiro, JY; Andrade, JB","3866","1976","12","01",NA,"Brazil","Minas Gerais","Estrada Diamantina a Corinto até 10km.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"fruto, Campo rupestre e campo limpo. Subarbusto até 40cm, flores azuis.","UEC157703","UEC157703","1984","11","Diamantina","101169","auto",NA,NA,NA,NA,NA,NA
"5","2016-11-14 15:38:45-02","MNHN","RECOLNAT_MNHN_P","P02953817","PreservedSpecimen",NA,NA,NA,"Fabaceae","Lupinus","decurrens","Lupinus decurrens","Gardner","Smith","Weddell, H.A.",NA,"1844","1","1",NA,"Brésil",NA,"s.l.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02953817' target='other'> <mi>dwc_moreinfo</mi></a>","P02953817","P02953817_01",NA,NA,NA,NA,NA,"1831",NA,NA,NA,NA,NA
"6","2015-09-04 02:15:20-03","MNHN","RECOLNAT_MNHN_P","P02953818","PreservedSpecimen",NA,NA,NA,"Fabaceae","Lupinus","decurrens","Lupinus decurrens","Gardner","Monteiro","Riedel, L.",NA,"1824","12",NA,NA,"Brésil",NA,"In fiesis montosis Tijuca",NA,NA,NA,NA,"hb","Reçu le 8 octobre 1892 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02953818' target='other'> <mi>dwc_moreinfo</mi></a>","P02953818","P02953818_01",NA,NA,NA,NA,NA,"1246",NA,NA,NA,NA,NA
"7","2019-11-13 11:22:32-03","USP","SPF","128146","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Lupinus","decurrens","Lupinus decurrens","Gardner","Planchuelo, AM","Sano, PT","758","1997","12","10",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"SPF00128146",NA,"2004",NA,"Diamantina","101169","auto",NA,NA,NA,NA,NA,NA
"8","2019-11-13 11:22:32-03","USP","SPF","44730","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Lupinus","decurrens","Lupinus decurrens","Gardner","Planchuelo, AM","Menezes, NL","CFCR10265","1986","09","09",NA,"Brasil","Minas Gerais","Pedra Menina","-43.0092010498047","-18.2936000823975","1570","1570",NA,NA,"SPF00044730",NA,"2004",NA,"Rio Vermelho","26996","auto",NA,NA,NA,NA,NA,NA
"9","2019-09-04 18:55:37-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Lupinus","decurrens","Lupinus decurrens",NA,NA,"G. Gardner","4503","1842",NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA,NA
"10","2015-02-26 09:29:38-03","NHMLondon","NHM-LONDON-BOT","BM000645962","S","Plantae",NA,NA,"Leguminosae","Lupinus","decurrens","Lupinus decurrens","Gardner",NA,"George Gardner; b.1812; d.1849; Gardner","4503",NA,NA,NA,NA,"Brasil",NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","-53.08982","-10.773109","NHMUK:ecatalogue:4987609"
