"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus","coordinatePrecision","geoFlag","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","778079","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","E. M. Woodgyer","W. Ganev","1939","1993","07","24","South America","Brazil","Bahia","Rio do Pires","Beira do Riacho da Forquilha","-42.48","-13.9","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778079","NY00778079_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:20:00-03","UFBA","ALCB","62701","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","Santos, AKA","Ganev, W","1939","1993","07","24","Southern America","Brasil","Bahia","Rio do Pires","Chapada Diamantina, beira do Riacho da Forquilha","-42.483333","-13.9","1500","1500",NA,"de até 80 cm. Folhas verdes. Cálice verde-claro com tom vináceo. Pétalas vermelhas com base amarela; anteras amarelas, estilete verde-claro com tom amarelo.; com mata ciliar, solo areno-argiloso.",NA,NA,"2002","05","-42.483333","-13.9",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:20:00-03","UFBA","ALCB","041469","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","Rodrigues, KF","Hind, DJN; Bautista, HP; M.M. da Silva; Queiroz, LP de","PCD4077","1996","11","05","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Pai Inácio, Três Morros","-41.883333","-13.05","1300","1300",NA,"de aproximadamente 90 cm. Folhas membranáceas a papiráceas. Frutos maduros castanhos. Ocasional.; Substrato gramíneo-lenhoso, com árvores esparsas ou aglomerados arbóreos. Arenoso.","ALCB061223",NA,"2011","01","-41.883333","-13.05",NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:20:00-03","UFBA","ALCB","14526","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","Santos, AKA","Ganev, W","1939","1993","07","24","Southern America","Brasil","Bahia","Rio do Pires","Chapada Diamantina, beira do Riacho da Forquilha","-42.483333","-13.9","1500","1500",NA,"de até 80 cm. Folhas verdes. Cálice verde-claro com tom vináceo. Pétalas vermelhas com base amarela; anteras amarelas, estilete verde-claro com tom amarelo.; com mata ciliar, solo areno-argiloso.","ALCB061224",NA,"2002","05","-42.483333","-13.9",NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:33:45-03","UNICAMP","UEC","154902","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins",NA,"Hind, DJN","4077","1996","11","05",NA,"Brazil","Bahia","Piatã","Pai Inácio. Três Morros.","-41.886444","-13.060722","1300","1300",NA,"Arbusto 90cm alt. Folhas membranáceas a papiráceas. Frutos maduros castanhos. Cerrado arbóreo aberto. Substrato gramíneo-lenhoso com árvores esparsas ou aglomerados arbóreos. Arenoso.","UEC045547","UEC045547",NA,NA,"-41.886444","-13.060722",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:33:45-03","UNICAMP","UEC","171569","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins",NA,"Santos, AKA; Miranda, EB; Nascimento, FHF","862","2006","08","18",NA,"Brazil","Bahia","Rio de Contas","Pico das Almas. Próximo ao riacho após a mata do Campo do Queiroz, no caminho para o Pico das Almas (Margem esquerda do riacho).","-41.956667","-13.524167",NA,NA,NA,"Arbusto, ca. 1,2 m alt. Folhas verdes, concolores, face abaxial mais clara. Cálice e hipanto verdes com nervuras vináceas. Pétalas bicolores (amarelo e laranja) e estames amarelos.; Área sombreada.","UEC003639","UEC003639",NA,NA,"-41.956667","-13.524167",NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3036013","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B. Martins",NA,"S. A. Mori, J. Hage, T. S. Santos & J. Hage","12528","1979","7","24","South America - Neotropics","Brazil","Bahia","Rio de Contas","Pico das Almas, a 18km ao SNW de Rio de Contas","-41.95","-13.55","1300","1600",NA,NA,"US01894111","US01894111_01 US01894111_02",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2954468","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B. Martins",NA,"S. A. Mori, R. M. King, T. S. Santos & J. L. Hage","12528","1979","7","24","South America - Neotropics","Brazil","Bahia","Rio de Contas","Pico das Almas, 18 km ao SW de Rio de Contas.","-41.95","-13.55","1300","1600",NA,NA,"US00479224","US00479224_01",NA,NA,NA,NA,"Dicotyledonae","1","Isotype",NA,NA,NA
"9","2019-11-13 11:25:12-03","USP","SPF","124020","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","Santos, AKA","Hind, DJN","PCD4077","1996","11","05",NA,"Brasil","Bahia","Piatã",NA,"-41.886444","-13.060722","1300","1300",NA,NA,"SPF00124020",NA,"2004","08","-41.886444","-13.060722",NA,NA,NA,NA,NA,NA
"10","2019-11-13 11:25:12-03","USP","SPF","82395","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","Santos, AKA","Ganev, W","1939","1993","07","24",NA,"Brasil","Bahia","Rio do Pires",NA,"-42.483333","-13.9","1500","1500",NA,NA,"SPF00082395",NA,"2004","08","-42.483333","-13.9",NA,NA,NA,NA,NA,NA
