"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","971669","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A.Schwarz","A. Rapini","A. Rapini","614","1998","03","20","South America","Brazil","Minas Gerais","Ouro Preto","Camarinhas.","-43.5081","-20.2878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971669","NY00971669_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:20:56-03","MN","R","5914","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A. Schwarz","Rapini, A.","s.col.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Herbario H. Barboza",NA,NA,"1999","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:20:56-03","MN","R","95267","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A. Schwarz","Rapini, A.","Ule, E.H.G.","141","1892",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"1998","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-05 16:43:01-03","UFOP","OUPR","24639","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A.Schwarz","Tonaco, A.C.","Tonaco, A.C.; Roberto, B.G. & Ávila, R.","100","2010","10","15",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Lagoa Seca. Dolina 20m de profundidade","-43.488889","-20.431944",NA,"Subarbusto volúvel. Flores com pétalas verde-claro, cálice verde, anteras alvas. Botões florais verde-claro. Presença de látex branco",NA,NA,"2011","01","-43.488889","-20.431944","1600","1600",NA,NA,NA,NA,NA,NA
"5","2019-11-06 10:13:51-03","UFOP","OUPR","30701","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A.Schwarz","Pedrosa, L.G.","Pira, J.C.; Echternacht, L.; Pedrosa, L.G. & Dias, J.V.","22","2018","10","02",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Borda da trilha para o Pico Itacolomi.","-43.496792","-20.429519",NA,"Liana.",NA,NA,"2018","10","-43.496792","-20.429519","1464","1464","02",NA,NA,NA,NA,NA
"6","2020-03-12 10:28:54-03","UFOP","OUPR","35088","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A.Schwarz","Pira, J.C.","Pira, J.C.; Echternacht, L. & Rosa, R.M.S.","44","2019","03","07",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Em capão de mata na borda da trilha do Pico Itacolomi.","-43.4825","-20.429444",NA,"Trepadeira ca de 2m, apresenta latéx branco, flores creme/esverdeadas com corona creme/translúcida, cálice verde pubescente e folhas revolutas",NA,NA,"2019","03","-43.4825","-20.429444","1589","1589","07",NA,NA,NA,NA,NA
"7","2019-11-05 16:43:01-03","UFOP","OUPR","839","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A.Schwarz","Fontella, J.","Badini, J.","s.n.","1982","09","30",NA,"Brasil","Minas Gerais","Ouro Preto","Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,"Trepadeira, flores amareladas. Entre rochas de quartzito, como epífita.",NA,NA,"1983","11",NA,NA,NA,NA,"11","44599","auto",NA,NA,NA
"8","2019-11-05 16:43:01-03","UFOP","OUPR","737","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A.Schwarz","Rapini, A.","Badini, J.","s.n.","1976","03","21",NA,"Brasil","Minas Gerais","Ouro Preto","Camarinhas","-43.5080986022949","-20.2875003814697",NA,"Trepadeira, flores amareladas. Cerrado.",NA,NA,"1998","03",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA
"9","2019-11-05 16:43:01-03","UFOP","OUPR","829","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A.Schwarz","Rapini, A.","Fontella, J.; Badini, J.","s.n.","1978","05","26",NA,"Brasil","Minas Gerais","Ouro Preto","Camarinhas","-43.5080986022949","-20.2875003814697",NA,"Escandente.",NA,NA,"1998","03",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA
"10","2019-11-05 16:43:01-03","UFOP","OUPR","840","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & E.A.Schwarz","Fontella, J.","Badini, J.","s.n.","1976","03","21",NA,"Brasil","Minas Gerais","Ouro Preto","Camarinhas","-43.5080986022949","-20.2875003814697",NA,"Trepadeira, flores amareladas. Cerrado.",NA,NA,"1980","03",NA,NA,NA,NA,"03","44599","auto",NA,NA,NA
