"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:44-03","UNESC","CRI","1586","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","Marcos Sobral","R. Negrelle","1992","10","16","Brasil","Santa Catarina","Itapoá","-48.670556","-26.071667","48º40'14''W","26º4'18''S","CRI004985","CRI004985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","167711","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata",NA,NA,"Vilela, E.A. et al.","1990","10","20","BR",NA,NA,NA,NA,NA,NA,"E00167711",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:176718","<a href=http://data.rbge.org.uk/herb/E00167711 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1017349","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","L. R. Landrum","G. Plácido","1980","09","11","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"NY01017349","NY01017349_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206387' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","5","Restinga do Recreio, próximo à Pedra de Itaúna.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1017343","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"L. H. Soares-Silva","1989","08","30","Brazil","Paraná","Londrina","-51.1628","-23.3106",NA,NA,"NY01017343","NY01017343_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206376' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","230","Parque Estadual Mata do Godoy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017344","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","L. R. Landrum","M. Rossato","1988","11","08","Brazil","Rio Grande do Sul","Nova Prata","-51.61","-28.7842",NA,NA,"NY01017344","NY01017344_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206377' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","4862","Sede Campestre - G. Pratense.","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1921349","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","M. Sobral","W. Hoehne","1964","10","24","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY01921349","NY01921349_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2272012' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","5868","Guanabara, Km. 5, Estrada Rio Santos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1017348","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","G. G. Hatschbach","R. Kummrow","1975","11","12","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"NY01017348","NY01017348_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206385' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","987","Ilha do Malha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01459616","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","I. Bemerguy","U. N. Maciel","1979","12","13","Brazil","Pará","Paragominas","-47.538503","-4.436442",NA,NA,"NY01459616","NY01459616_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1335142' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","510","Itinga do Pará, Fazenda Caboré.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1017347","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY01017347","NY01017347_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206383' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02862408","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"L. Quintanilha","2012","10","03","Brazil","Rio de Janeiro","Iguaba Grande","-42.189167","-22.850278",NA,NA,"NY02862408","NY02862408_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3270592' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","113","BR 106.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
