"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032112","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","G. F. J. Pabst","G. G. Hatschbach","24037","1970","03","17","South America","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190535' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032112","NY01032112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:46:55-02","IPA","IPA","26372","S","Plantae","Plantae",NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","Burle, A.","Caldasso, A.; Nogueira, C.; Nogueira, C.","6101","1979","12",NA,"Southern America","Brasil","Pernambuco","Bonito","mata da chuva. Sobre ramos e casca de árvore viva. Pouco comum.","-35.75","-8.5","550","550",NA,"Epífita. Flores verde-amareladas.","IPA0026372",NA,"1981","04","-35.75","-8.5",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:40:53-03","UFJF","CESJ","67724","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","L. Menini Neto","E. Caglioni; et al.","530","2015","03","25","América do Sul","Brasil","Santa Catarina","Ilhota","Parque Botânico Morro do Baú, Floresta Ombrófila Densa","-48.933914","-26.803464","540","540",NA,"Epífito em floresta secundária, coletado no subosque; Com flores membranáceas de coloração rósea e creme.","CESJ067724",NA,NA,NA,"-48.933914","-26.803464",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:20:15-03","UNICAMP","UEC","198643","S","Plantae","Liliopsida",NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Romanini, RP","Romanini, RP; Nunes, CEP; Borges, DNAF","422","2017","02","16",NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM, Núcleo Santa Virgínia, trilha de Pirapitinga.",NA,NA,NA,NA,NA,"Bainhas do caule lepantiformes. Folha coriácea/carnosa. Flores sequenciais, amarelo citrino; sépalas dorsal e pétalas com linhas vinosas na base, labelo tb na face abaxial.; Epífita em área mais clara da floresta em regeneração","UEC161261","UEC161261","2017","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:04:10-03","FURB","FURB","13884","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Mancinelli, WS","Souza, N.L. de; Brogni, E. & Dallacorte, F.","200","2009","08","14",NA,"Brasil","Santa Catarina","Blumenau","Comunidade Nova Rússia.","-49.1127778","-27.0377777","264","264",NA,"Coleta próxima aos limites do Parque Nacional da Serra do Itajaí. Habitat: Floresta Ombrófila Densa; borda da mata Habito: epífita; flor inflorescência esverdeada","FURB35506","FURB35506","2010","01","-49.1127778","-27.0377777","25",NA,NA,NA,NA,NA,NA,NA
"6","2020-10-14 10:04:10-03","FURB","FURB","15108","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Mancinelli, WS","Schmitt, J.L.; Cadorin, T.J. & Caglioni, E.","296","2009","10","13",NA,"Brasil","Santa Catarina","Botuverá","Cinema.","-49.23","-27.27","569","569",NA,"Epífita IFFSC e466a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","FURB35509","FURB35509","2010","01","-49.2300000","-27.2700000","25",NA,NA,NA,NA,NA,NA,NA
"7","2020-10-14 10:04:10-03","FURB","FURB","20206","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Mancinelli, WS","Korte, A.; Kniess, A.","1988","2010","02","22",NA,"Brasil","Santa Catarina","Rio do Campo","Anta Branca (Antigo Alto Rio do Oeste).","-50.2202778","-26.91","786","786",NA,"Florística IFFSC 681 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; flor rosa","FURB35507","FURB35507","2010","10","-50.2202778","-26.9100000","10",NA,NA,NA,NA,NA,NA,NA
"8","2020-10-14 10:04:10-03","FURB","FURB","23745","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Siqueira, CE","Stival-Santos, A.; Legal, E. & Silveira, S.","2294","2010","03","30",NA,"Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta.","-49.14","-27.27","639","639",NA,"Florística IFFSC 467 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor rosa claro","FURB35505","FURB35505_1 FURB35505_2","2012","07","-49.1400000","-27.2700000","23",NA,NA,NA,NA,NA,NA,NA
"9","2020-10-14 10:04:10-03","FURB","FURB","29212","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Ceolin, LM","Korte, A.; Kniess, A.","3245","2010","05","14",NA,"Brasil","Santa Catarina","Indaial","Warnow Alto.","-49.2308334","-27","357","357",NA,"Florística IFFSC 635 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor amarela","FURB04336","FURB04336","2010","07","-49.2308334","-27.0000000","13",NA,NA,NA,NA,NA,NA,NA
"10","2020-10-14 10:04:10-03","FURB","FURB","31049","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Mancinelli, WS; Engels, ME; Smidt, EC","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2717","2010","06","21",NA,"Brasil","Santa Catarina","Florianópolis","Vargem Grande.","-48.43","-27.4791667","211","211",NA,"Epífita IFFSC e8005b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: epífita de arbórea; flor amarela clara","FURB35504","FURB35504","2012","04","-48.4300000","-27.4791667",NA,NA,NA,NA,NA,NA,NA,NA
